DATE,VWAP,VOLUME
2024-01-25,9888.25,718817
2024-01-24,9892.98,459092
2024-01-23,9902.81,956269
2024-01-20,10000.49,92601
2024-01-19,10014.13,377018
2024-01-18,9920.1,614860
2024-01-17,10070.6,610250
2024-01-16,10187.24,536823
2024-01-15,10023.92,463380
2024-01-12,9971.01,850190
2024-01-11,10056.45,1024815
2024-01-10,10004.8,481699
2024-01-09,9973.98,666469
2024-01-08,9984.92,600153
2024-01-05,10008.08,673131
2024-01-04,10012.71,711733
2024-01-03,10101.72,521046
2024-01-02,10202.56,776837
2024-01-01,10274.79,411724
2023-12-29,10326.68,705227
2023-12-28,10253.57,584234
2023-12-27,10266.37,397675
2023-12-26,10222.88,395273
2023-12-22,10207.12,652545
2023-12-21,10021.63,739806
2023-12-20,10182.4,964051
2023-12-19,10250.8,585734
2023-12-18,10293.03,652498
2023-12-15,10266.04,1244681
2023-12-14,10360.25,635475
2023-12-13,10335.43,603469
2023-12-12,10443.84,1088687
2023-12-11,10567.15,579749
2023-12-08,10626.93,548373
2023-12-07,10751.25,704413
2023-12-06,10660.78,464163
2023-12-05,10692.55,580996
2023-12-04,10537.27,625235
2023-12-01,10654.73,591519
2023-11-30,10595.76,665660
2023-11-29,10566.92,343341
2023-11-28,10531.85,268026
2023-11-24,10514.92,380306
2023-11-23,10455.13,453820
2023-11-22,10473.07,378891
2023-11-21,10538.17,312242
2023-11-20,10554.12,234246
2023-11-17,10545.91,403772
2023-11-16,10482.19,488715
2023-11-15,10425.13,436538
2023-11-13,10395.1,261891
2023-11-12,10434.43,27259
2023-11-10,10376.76,206395
2023-11-09,10401.96,310536
2023-11-08,10310.09,287006
2023-11-07,10281.51,264935
2023-11-06,10286.44,490459
2023-11-03,10297.15,517582
2023-11-02,10274.45,569194
2023-11-01,10272.86,699116
2023-10-31,10411.82,439996
2023-10-30,10427.57,991168
2023-10-27,10665.75,1116713
2023-10-26,10461.87,506129
2023-10-25,10586.22,401105
2023-10-23,10606.83,227925
2023-10-20,10745.54,232512
2023-10-19,10763.76,286284
2023-10-18,10771.47,267435
2023-10-17,10720.02,474718
2023-10-16,10727.79,304196
2023-10-13,10668.82,625954
2023-10-12,10553.58,569237
2023-10-11,10407.0,193526
2023-10-10,10375.13,348342
2023-10-09,10260.09,230083
2023-10-06,10299.91,335700
2023-10-05,10178.13,377196
2023-10-04,10146.41,407793
2023-10-03,10381.57,623006
2023-09-29,10627.03,481725
2023-09-28,10617.43,598144
2023-09-27,10603.31,458359
2023-09-26,10557.15,452503
2023-09-25,10641.67,756801
2023-09-22,10466.18,986206
2023-09-21,10259.44,577252
2023-09-20,10392.1,545106
2023-09-18,10556.6,430213
2023-09-15,10523.66,544616
2023-09-14,10501.76,501196
2023-09-13,10468.27,301707
2023-09-12,10483.48,568773
2023-09-11,10488.38,598050
2023-09-08,10349.04,439721
2023-09-07,10242.15,445805
2023-09-06,10173.32,663758
2023-09-05,10320.89,507107
2023-09-04,10376.66,819552
2023-09-01,10210.53,1193178
2023-08-31,9989.32,1581818
2023-08-30,9729.82,543634
2023-08-29,9620.76,317224
2023-08-28,9612.36,325938
2023-08-25,9558.47,346449
2023-08-24,9606.93,385559
2023-08-23,9562.25,546842
2023-08-22,9474.32,435930
2023-08-21,9441.38,375347
2023-08-18,9430.89,400745
2023-08-17,9398.61,402798
2023-08-16,9346.2,336363
2023-08-14,9321.87,336864
2023-08-11,9387.37,498504
2023-08-10,9412.8,523490
2023-08-09,9460.76,404602
2023-08-08,9569.26,430636
2023-08-07,9498.87,366329
2023-08-04,9527.63,540470
2023-08-03,9593.72,614897
2023-08-02,9632.53,672815
2023-08-01,9742.7,1394528
2023-07-31,9766.65,600060
2023-07-28,9631.72,381151
2023-07-27,9754.92,256672
2023-07-26,9765.42,209861
2023-07-25,9718.0,240998
2023-07-24,9736.0,358506
2023-07-21,9774.8,328483
2023-07-20,9696.19,466813
2023-07-19,9614.98,450254
2023-07-18,9670.63,320985
2023-07-17,9614.12,444583
2023-07-14,9633.83,498441
2023-07-13,9720.05,519564
2023-07-12,9861.81,552967
2023-07-11,9896.29,568772
2023-07-10,9815.04,272008
2023-07-07,9867.18,457050
2023-07-06,9886.72,652120
2023-07-05,9885.78,815044
2023-07-04,9651.35,247673
2023-07-03,9697.47,398066
2023-06-30,9750.92,845006
2023-06-28,9527.27,482586
2023-06-27,9445.46,339375
2023-06-26,9418.77,405168
2023-06-23,9351.8,309138
2023-06-22,9429.94,288487
2023-06-21,9446.39,356331
2023-06-20,9476.15,612713
2023-06-19,9581.29,395006
2023-06-16,9603.49,682099
2023-06-15,9628.01,459978
2023-06-14,9544.05,328167
2023-06-13,9552.46,561014
2023-06-12,9561.79,316879
2023-06-09,9656.06,161389
2023-06-08,9680.9,273746
2023-06-07,9729.88,453747
2023-06-06,9718.17,542318
2023-06-05,9588.84,434649
2023-06-02,9428.06,445105
2023-06-01,9306.45,378706
2023-05-31,9357.38,1614766
2023-05-30,9367.82,372004
2023-05-29,9369.96,236834
2023-05-26,9385.38,346760
2023-05-25,9262.5,218979
2023-05-24,9277.46,470365
2023-05-23,9201.24,269008
2023-05-22,9144.98,182115
2023-05-19,9021.45,543472
2023-05-18,9090.66,272497
2023-05-17,9083.78,290482
2023-05-16,9112.41,448981
2023-05-15,9233.32,259316
2023-05-12,9275.88,403028
2023-05-11,9245.1,644550
2023-05-10,9115.25,366827
2023-05-09,9102.91,415394
