DATE,VWAP,VOLUME
2024-01-25,1092.76,928881
2024-01-24,1114.42,2174641
2024-01-23,1112.9,1288819
2024-01-20,1101.23,424326
2024-01-19,1074.37,843847
2024-01-18,1072.32,927129
2024-01-17,1101.38,647461
2024-01-16,1108.68,1509427
2024-01-15,1102.01,950039
2024-01-12,1108.36,1306539
2024-01-11,1117.72,820469
2024-01-10,1113.8,1348846
2024-01-09,1095.93,922305
2024-01-08,1108.99,1238667
2024-01-05,1104.9,616100
2024-01-04,1108.73,512069
2024-01-03,1097.68,444285
2024-01-02,1091.23,686566
2024-01-01,1115.0,563368
2023-12-29,1107.49,1411353
2023-12-28,1092.9,685526
2023-12-27,1081.93,502279
2023-12-26,1082.75,784200
2023-12-22,1076.46,624137
2023-12-21,1057.39,1214989
2023-12-20,1075.5,1312725
2023-12-19,1092.45,1062384
2023-12-18,1091.59,1780071
2023-12-15,1085.25,1322021
2023-12-14,1083.2,2077791
2023-12-13,1061.12,1473906
2023-12-12,1049.54,697698
2023-12-11,1046.78,569735
2023-12-08,1046.7,908224
2023-12-07,1065.21,832078
2023-12-06,1062.3,2379141
2023-12-05,1069.88,1249769
2023-12-04,1051.3,1137943
2023-12-01,1052.87,269341
2023-11-30,1048.87,2154075
2023-11-29,1046.11,645953
2023-11-28,1038.97,638605
2023-11-24,1052.14,457015
2023-11-23,1059.38,522209
2023-11-22,1055.69,435188
2023-11-21,1052.33,405678
2023-11-20,1059.54,481392
2023-11-17,1055.85,818777
2023-11-16,1036.03,1451826
2023-11-15,1049.07,1302729
2023-11-13,1044.27,1355917
2023-11-12,1056.91,567327
2023-11-10,1038.13,4108910
2023-11-09,1095.1,1940488
2023-11-08,1086.41,765818
2023-11-07,1077.6,389438
2023-11-06,1074.41,562008
2023-11-03,1066.86,1358472
2023-11-02,1050.26,905238
2023-11-01,1043.32,682202
2023-10-31,1028.71,469941
2023-10-30,1022.29,667943
2023-10-27,1028.39,702387
2023-10-26,1005.96,744678
2023-10-25,1016.77,487319
2023-10-23,1022.73,547657
2023-10-20,1040.24,660749
2023-10-19,1038.78,991916
2023-10-18,1061.37,889566
2023-10-17,1091.23,1988932
2023-10-16,1073.32,988255
2023-10-13,1069.04,1415702
2023-10-12,1053.44,911102
2023-10-11,1044.49,1406477
2023-10-10,1026.25,886292
2023-10-09,1016.17,1215500
2023-10-06,1018.78,466321
2023-10-05,1003.16,628247
2023-10-04,990.26,734244
2023-10-03,1001.22,330560
2023-09-29,1006.49,682357
2023-09-28,1005.09,974562
2023-09-27,1014.44,477461
2023-09-26,1015.67,334094
2023-09-25,1016.57,482925
2023-09-22,1017.57,865651
2023-09-21,1017.01,1000226
2023-09-20,1037.09,416251
2023-09-18,1041.26,515926
2023-09-15,1051.9,1025493
2023-09-14,1052.75,1450831
2023-09-13,1036.15,769157
2023-09-12,1043.68,1238905
2023-09-11,1064.47,932525
2023-09-08,1055.69,671258
2023-09-07,1056.06,1064869
2023-09-06,1049.91,2101361
2023-09-05,1029.85,660018
2023-09-04,1019.73,721197
2023-09-01,1014.05,466577
2023-08-31,1007.63,998409
2023-08-30,1014.76,604846
2023-08-29,1008.33,799395
2023-08-28,1001.66,403389
2023-08-25,1009.19,711399
2023-08-24,1022.56,651292
2023-08-23,1024.52,1057293
2023-08-22,1028.44,1504647
2023-08-21,999.8,516608
2023-08-18,1001.59,768977
2023-08-17,1000.4,1244731
2023-08-16,986.57,550173
2023-08-14,989.24,813223
2023-08-11,993.62,552202
2023-08-10,1011.76,280293
2023-08-09,1015.52,428259
2023-08-08,1015.84,860792
2023-08-07,1001.2,681753
2023-08-04,1003.34,382504
2023-08-03,1003.27,571218
2023-08-02,999.45,898416
2023-08-01,1020.94,958075
2023-07-31,1013.0,787817
2023-07-28,1005.84,1315502
2023-07-27,992.86,1192702
2023-07-26,986.65,1287267
2023-07-25,983.23,1475852
2023-07-24,992.01,6109585
2023-07-21,1019.47,8346024
2023-07-20,968.27,1466161
2023-07-19,971.73,1270000
2023-07-18,962.53,1098883
2023-07-17,965.15,2349402
2023-07-14,937.59,964936
2023-07-13,928.35,793742
2023-07-12,926.58,1160673
2023-07-11,918.2,680447
2023-07-10,913.6,896148
2023-07-07,925.25,1243755
2023-07-06,940.82,732653
2023-07-05,928.5,1040442
2023-07-04,918.67,527033
2023-07-03,918.68,691211
2023-06-30,914.34,460345
2023-06-28,915.6,747306
2023-06-27,909.78,784408
2023-06-26,902.55,811669
2023-06-23,900.92,953329
2023-06-22,899.33,538864
2023-06-21,899.59,689890
2023-06-20,892.55,585057
2023-06-19,904.74,414584
2023-06-16,905.64,701638
2023-06-15,895.54,465225
2023-06-14,898.24,719762
2023-06-13,891.48,568855
2023-06-12,881.39,692376
2023-06-09,881.11,1041577
2023-06-08,871.97,826968
2023-06-07,873.3,792531
2023-06-06,868.98,301807
2023-06-05,873.33,439560
2023-06-02,874.67,503772
2023-06-01,881.7,545741
2023-05-31,880.01,1533930
2023-05-30,865.59,770563
2023-05-29,863.52,1512222
2023-05-26,855.53,1750270
2023-05-25,839.23,666410
2023-05-24,831.75,892521
2023-05-23,822.48,1073977
