DATE,VWAP,VOLUME
2024-01-25,2489.14,785773
2024-01-24,2483.67,659038
2024-01-23,2468.26,690538
2024-01-20,2489.08,445592
2024-01-19,2509.49,941391
2024-01-18,2514.7,634910
2024-01-17,2540.05,801619
2024-01-16,2543.62,693370
2024-01-15,2550.55,893834
2024-01-12,2544.31,1107055
2024-01-11,2560.13,775667
2024-01-10,2587.07,1026468
2024-01-09,2602.81,813027
2024-01-08,2640.59,1032378
2024-01-05,2671.6,2577064
2024-01-04,26936.73,132390
2024-01-03,26871.83,101346
2024-01-02,27296.83,141577
2024-01-01,27082.93,131610
2023-12-29,26421.66,103408
2023-12-28,26137.84,157772
2023-12-27,25682.73,71416
2023-12-26,25501.71,61785
2023-12-22,25223.0,88828
2023-12-21,25049.71,110638
2023-12-20,25366.54,144488
2023-12-19,25297.53,352866
2023-12-18,24389.5,66324
2023-12-15,24377.52,159541
2023-12-14,24836.72,104726
2023-12-13,24947.86,44572
2023-12-12,25018.75,64123
2023-12-11,24974.7,53937
2023-12-08,24983.6,70076
2023-12-07,25000.5,60085
2023-12-06,24940.87,79608
2023-12-05,24554.18,67187
2023-12-04,24359.78,99392
2023-12-01,24257.36,63650
2023-11-30,24171.68,147203
2023-11-29,24118.68,62715
2023-11-28,24085.66,87697
2023-11-24,24196.2,40412
2023-11-23,24472.92,36814
2023-11-22,24356.91,36821
2023-11-21,24303.13,45329
2023-11-20,24275.48,54115
2023-11-17,24361.19,70051
2023-11-16,24142.98,69418
2023-11-15,24135.23,76697
2023-11-13,24095.37,28528
2023-11-12,24280.67,6358
2023-11-10,24134.23,28317
2023-11-09,24268.22,42223
2023-11-08,24302.32,36305
2023-11-07,24338.48,52965
2023-11-06,24274.55,74276
2023-11-03,24058.71,47714
2023-11-02,23954.33,107068
2023-11-01,23933.11,63690
2023-10-31,24227.75,51639
2023-10-30,24113.23,72614
2023-10-27,23850.53,130437
2023-10-26,23709.77,126940
2023-10-25,24376.32,111350
2023-10-23,24338.91,79230
2023-10-20,24442.94,207934
2023-10-19,23734.57,292412
2023-10-18,23303.35,35671
2023-10-17,23257.91,38166
2023-10-16,23128.9,86608
2023-10-13,23393.3,90791
2023-10-12,23094.69,54222
2023-10-11,23114.93,67338
2023-10-10,22907.73,39663
2023-10-09,22894.69,23755
2023-10-06,22949.42,38812
2023-10-05,22940.97,68000
2023-10-04,22889.91,213488
2023-10-03,22386.71,50013
2023-09-29,22561.31,45229
2023-09-28,22631.72,51981
2023-09-27,22845.06,41653
2023-09-26,22896.78,66001
2023-09-25,22603.06,34427
2023-09-22,22490.96,38301
2023-09-21,22509.62,46183
2023-09-20,22675.17,57450
2023-09-18,22722.55,57532
2023-09-15,22582.61,116141
2023-09-14,22405.05,81056
2023-09-13,22328.74,50825
2023-09-12,22253.64,49379
2023-09-11,22056.0,46977
2023-09-08,21893.11,30477
2023-09-07,21901.02,41159
2023-09-06,21982.23,56292
2023-09-05,21905.4,62313
2023-09-04,21730.57,74091
2023-09-01,21930.47,35849
2023-08-31,21936.93,233065
2023-08-30,22167.72,64832
2023-08-29,22040.18,52428
2023-08-28,22080.14,41507
2023-08-25,22164.96,41964
2023-08-24,22233.86,46020
2023-08-23,22123.99,61378
2023-08-22,22015.02,40522
2023-08-21,22001.54,37096
2023-08-18,21728.88,65667
2023-08-17,21693.27,69992
2023-08-16,21915.05,28930
2023-08-14,21900.01,40788
2023-08-11,21877.26,38363
2023-08-10,21976.78,70579
2023-08-09,22226.8,37285
2023-08-08,22200.96,58032
2023-08-07,22367.2,41246
2023-08-04,22517.61,41010
2023-08-03,22621.18,44971
2023-08-02,22795.02,104661
2023-08-01,22523.51,65019
2023-07-31,22547.8,48609
2023-07-28,22457.8,67211
2023-07-27,22368.79,179374
2023-07-26,22787.91,34462
2023-07-25,22785.01,62576
2023-07-24,22844.49,42081
2023-07-21,23052.51,36843
2023-07-20,22933.38,37792
2023-07-19,22907.52,27881
2023-07-18,22995.14,32584
2023-07-17,23137.35,41795
2023-07-14,22982.05,45457
2023-07-13,22922.41,43216
2023-07-12,23012.41,48090
2023-07-11,22792.78,68526
2023-07-10,22654.03,36388
2023-07-07,22963.44,56464
2023-07-06,23124.72,90367
2023-07-05,22791.68,38888
2023-07-04,22639.07,30149
2023-07-03,22672.15,55269
2023-06-30,22797.51,36862
2023-06-28,22719.25,55624
2023-06-27,22658.88,44133
2023-06-26,22594.75,35015
2023-06-23,22524.47,43515
2023-06-22,22617.64,49903
2023-06-21,22858.71,64642
2023-06-20,22870.22,68877
2023-06-19,22925.78,43331
2023-06-16,22992.26,73541
2023-06-15,22920.09,73757
2023-06-14,22645.61,72377
2023-06-13,22526.07,83347
2023-06-12,22232.89,62352
2023-06-09,22117.54,70915
2023-06-08,22250.25,72929
2023-06-07,22264.28,156812
2023-06-06,21736.48,78523
2023-06-05,21895.96,81509
2023-06-02,21987.28,58248
2023-06-01,21828.21,59866
2023-05-31,21659.79,424794
2023-05-30,21574.73,46981
2023-05-29,21675.61,53437
2023-05-26,21507.07,63159
2023-05-25,21486.89,81502
2023-05-24,21375.3,44364
2023-05-23,21489.99,55459
2023-05-22,21556.18,51095
2023-05-19,21630.0,73220
2023-05-18,21771.05,51175
2023-05-17,21750.14,66788
2023-05-16,21832.29,77257
2023-05-15,21813.66,72570
2023-05-12,21909.67,66961
2023-05-11,22030.57,68937
2023-05-10,22057.76,60441
2023-05-09,21999.05,43287
2023-05-08,21997.04,75656
2023-05-05,21944.58,55076
2023-05-04,21759.24,63534
2023-05-03,21849.85,57013
2023-05-02,21897.41,89170
2023-04-28,21546.92,166516
2023-04-27,21105.65,102232
2023-04-26,20835.11,124894
2023-04-25,20646.18,168464
2023-04-24,20542.34,57868
2023-04-21,20483.09,44305
2023-04-20,20499.47,52213
2023-04-19,20541.55,89874
2023-04-18,20486.45,139860
2023-04-17,20137.0,194351
2023-04-13,19531.51,46151
2023-04-12,19462.81,56882
2023-04-11,19591.59,44126
2023-04-10,19605.75,22414
2023-04-06,19698.67,40978
2023-04-05,19747.95,47151
2023-04-03,19653.1,63740
2023-03-31,19593.33,148444
2023-03-29,19007.64,48606
2023-03-28,18938.48,35481
2023-03-27,18985.78,35854
2023-03-24,18991.5,26299
2023-03-23,19048.22,56685
2023-03-22,18841.77,28248
2023-03-21,19034.85,97762
2023-03-20,18859.23,75645
2023-03-17,18783.84,133430
2023-03-16,18385.38,83043
2023-03-15,18060.45,77958
2023-03-14,18301.33,43879
2023-03-13,18341.66,36476
2023-03-10,18484.52,23634
2023-03-09,18515.03,56615
2023-03-08,18483.75,45746
2023-03-06,18491.81,52949
2023-03-03,18470.56,46018
2023-03-02,18578.06,39070
2023-03-01,18731.14,63926
2023-02-28,18628.48,109182
2023-02-27,18628.1,51625
2023-02-24,18721.57,38875
2023-02-23,18707.31,49268
2023-02-22,18750.51,42080
2023-02-21,18846.5,44954
2023-02-20,18862.61,65311
2023-02-17,19066.81,188435
2023-02-16,19588.54,174007
2023-02-15,19122.27,31998
2023-02-14,19151.34,38589
2023-02-13,19015.17,32489
2023-02-10,18985.71,26383
2023-02-09,19011.05,34734
2023-02-08,18990.51,23267
2023-02-07,18978.67,39873
2023-02-06,18948.58,69134
2023-02-03,18925.21,55578
2023-02-02,18954.48,70922
2023-02-01,19063.92,68805
2023-01-31,19014.34,117500
2023-01-30,19114.75,49830
