DATE,VWAP,VOLUME
2024-01-25,314.55,32525422
2024-01-24,306.5,23922028
2024-01-23,308.72,21652362
2024-01-20,311.67,10652125
2024-01-19,306.93,28651237
2024-01-18,300.37,32481018
2024-01-17,310.87,13502940
2024-01-16,312.59,10162832
2024-01-15,314.95,9706124
2024-01-12,311.97,12341629
2024-01-11,314.36,10316319
2024-01-10,311.84,14455000
2024-01-09,318.97,12229517
2024-01-08,316.15,10136462
2024-01-05,318.42,27456415
2024-01-04,317.24,40057506
2024-01-03,305.72,14259987
2024-01-02,306.02,13506040
2024-01-01,310.43,8024960
2023-12-29,310.9,12682889
2023-12-28,313.04,37591916
2023-12-27,306.72,12630732
2023-12-26,308.56,9917180
2023-12-22,304.34,15207726
2023-12-21,299.07,17868637
2023-12-20,306.04,23497233
2023-12-19,308.55,15650536
2023-12-18,303.77,13307504
2023-12-15,300.67,28843558
2023-12-14,295.73,24900443
2023-12-13,291.08,23629670
2023-12-12,284.23,8640883
2023-12-11,286.41,8071675
2023-12-08,286.35,20815064
2023-12-07,283.66,25133786
2023-12-06,282.17,13415314
2023-12-05,280.43,18883076
2023-12-04,275.68,20464526
2023-12-01,270.92,29121320
2023-11-30,259.76,21687673
2023-11-29,257.93,8637363
2023-11-28,256.12,6151585
2023-11-24,254.95,7149443
2023-11-23,253.36,8200025
2023-11-22,252.18,5275418
2023-11-21,249.85,6851869
2023-11-20,252.54,6283832
2023-11-17,251.86,5618928
2023-11-16,252.12,22145147
2023-11-15,247.35,10965645
2023-11-13,247.91,18792969
2023-11-12,245.07,2515164
2023-11-10,240.64,9589671
2023-11-09,237.98,13987058
2023-11-08,237.28,9777991
2023-11-07,238.17,7002346
2023-11-06,236.37,5338605
2023-11-03,234.46,6825146
2023-11-02,234.98,6057787
2023-11-01,233.88,6718059
2023-10-31,235.5,6583581
2023-10-30,233.97,8812268
2023-10-27,236.25,10519462
2023-10-26,230.56,17410264
2023-10-25,232.07,23949207
2023-10-23,237.69,7058625
2023-10-20,239.57,9040953
2023-10-19,240.25,11485237
2023-10-18,243.44,6987265
2023-10-17,245.68,10084205
2023-10-16,243.61,6936948
2023-10-13,242.26,11880728
2023-10-12,241.63,13170027
2023-10-11,238.37,14313043
2023-10-10,235.31,11665907
2023-10-09,233.75,10659145
2023-10-06,235.49,8825123
2023-10-05,233.51,22472389
2023-10-04,235.64,25424437
2023-10-03,243.26,14885044
2023-09-29,246.76,35038887
2023-09-28,237.66,32887087
2023-09-27,239.01,9679279
2023-09-26,241.55,10681642
2023-09-25,238.6,8027642
2023-09-22,237.79,7209300
2023-09-21,239.37,10134737
2023-09-20,243.18,18936709
2023-09-18,239.95,11163399
2023-09-15,236.53,14098284
2023-09-14,237.49,7568464
2023-09-13,236.4,9151928
2023-09-12,238.07,21174310
2023-09-11,242.12,22493483
2023-09-08,240.71,28856420
2023-09-07,233.45,30334731
2023-09-06,231.02,14623019
2023-09-05,234.01,13952922
2023-09-04,233.95,21895573
2023-09-01,226.9,29859815
2023-08-31,220.54,18532999
2023-08-30,220.76,5490930
2023-08-29,220.8,8799235
2023-08-28,218.38,4851793
2023-08-25,218.64,7413549
2023-08-24,220.87,11182959
2023-08-23,221.93,13507905
2023-08-22,221.41,16930149
2023-08-21,217.88,13336739
2023-08-18,215.08,14101163
2023-08-17,216.75,11865239
2023-08-16,215.6,9687712
2023-08-14,212.97,9283695
2023-08-11,214.3,7970536
2023-08-10,218.29,10970619
2023-08-09,217.96,12554174
2023-08-08,216.92,15314866
2023-08-07,219.09,12929354
2023-08-04,219.88,12879897
2023-08-03,221.41,29868065
2023-08-02,219.76,22647784
2023-08-01,224.12,63510580
2023-07-31,216.2,43494779
2023-07-28,207.87,39630520
2023-07-27,201.79,16013422
2023-07-26,201.15,13857423
2023-07-25,199.89,18028061
2023-07-24,195.1,9981788
2023-07-21,194.5,11031250
2023-07-20,192.66,8936996
2023-07-19,194.22,31761232
2023-07-18,187.67,7177677
2023-07-17,187.09,9058800
2023-07-14,186.19,12369394
2023-07-13,188.9,10612659
2023-07-12,192.28,9191559
2023-07-11,191.77,11236383
2023-07-10,191.14,10238356
2023-07-07,194.23,12652336
2023-07-06,196.01,16276609
2023-07-05,193.77,6558910
2023-07-04,193.0,13258826
2023-07-03,190.78,7352149
2023-06-30,189.39,9579059
2023-06-28,188.83,32476741
2023-06-27,186.05,6787438
2023-06-26,185.09,7231775
2023-06-23,186.61,15255365
2023-06-22,185.08,6683123
2023-06-21,187.49,5906854
2023-06-20,186.5,6035600
2023-06-19,186.11,5363723
2023-06-16,187.87,8562558
2023-06-15,186.55,9840499
2023-06-14,187.35,15061573
2023-06-13,185.7,8332566
2023-06-12,185.3,17450400
2023-06-09,182.16,10235269
2023-06-08,182.51,27382635
2023-06-07,176.48,6270083
2023-06-06,174.89,4889564
2023-06-05,174.6,12239684
2023-06-02,174.47,7262018
2023-06-01,173.63,11602551
2023-05-31,173.85,41785992
2023-05-30,176.72,9727639
2023-05-29,176.44,9943211
2023-05-26,175.08,6926193
2023-05-25,174.4,7986243
2023-05-24,174.73,8507023
2023-05-23,174.54,8359389
2023-05-22,175.16,13339834
2023-05-19,173.87,6657753
2023-05-18,176.51,6921939
2023-05-17,176.18,6639494
2023-05-16,176.96,7874923
2023-05-15,175.66,7980565
2023-05-12,175.85,8920297
2023-05-11,179.29,12125975
2023-05-10,176.23,6231734
2023-05-09,177.09,7918748
2023-05-08,176.68,6287186
2023-05-05,174.23,5958697
2023-05-04,176.05,4671155
2023-05-03,176.82,11194149
2023-05-02,174.47,8893428
2023-04-28,171.06,21552892
2023-04-27,170.15,9054900
2023-04-26,170.01,9032416
2023-04-25,171.54,9175412
2023-04-24,170.28,8088991
2023-04-21,169.12,6672391
2023-04-20,169.21,15498083
2023-04-19,167.88,16314641
2023-04-18,169.97,16199789
2023-04-17,170.52,17401126
2023-04-13,173.36,9944382
2023-04-12,176.3,7591360
2023-04-11,178.09,9208605
2023-04-10,177.04,10968456
