DATE,VWAP,VOLUME
2024-01-25,234.77,18291957
2024-01-24,231.95,14458601
2024-01-23,234.91,20282617
2024-01-20,242.68,15133785
2024-01-19,240.05,26391844
2024-01-18,230.91,19232183
2024-01-17,233.81,26010955
2024-01-16,235.6,34505065
2024-01-15,231.51,57884916
2024-01-12,220.38,39228118
2024-01-11,211.91,12586419
2024-01-10,211.39,16500666
2024-01-09,217.62,11951525
2024-01-08,218.93,19310595
2024-01-05,215.81,20743811
2024-01-04,213.53,31054419
2024-01-03,208.46,11650902
2024-01-02,207.92,21141219
2024-01-01,206.05,4820168
2023-12-29,205.44,12171663
2023-12-28,207.48,22010872
2023-12-27,207.03,20361303
2023-12-26,206.97,17052969
2023-12-22,203.57,9910694
2023-12-21,203.63,22823936
2023-12-20,207.29,57762576
2023-12-19,201.09,16739742
2023-12-18,199.39,8061011
2023-12-15,199.93,22863981
2023-12-14,195.01,15257294
2023-12-13,193.28,10892122
2023-12-12,195.98,10719911
2023-12-11,198.94,10108266
2023-12-08,197.09,10414387
2023-12-07,198.03,16425880
2023-12-06,201.16,12662213
2023-12-05,201.44,14557746
2023-12-04,201.9,28615290
2023-12-01,195.62,9935740
2023-11-30,194.6,14965403
2023-11-29,192.6,8791333
2023-11-28,191.74,9277764
2023-11-24,189.69,5751331
2023-11-23,190.4,6541617
2023-11-22,190.76,7538825
2023-11-21,191.89,10720353
2023-11-20,197.76,6423265
2023-11-17,197.39,13199928
2023-11-16,201.93,18629240
2023-11-15,200.67,19769385
2023-11-13,195.55,11181086
2023-11-12,197.47,2988611
2023-11-10,194.97,6025889
2023-11-09,193.79,5303833
2023-11-08,194.98,10186886
2023-11-07,195.57,13921916
2023-11-06,192.11,8962124
2023-11-03,189.03,7464912
2023-11-02,186.52,11471209
2023-11-01,187.06,9167869
2023-10-31,186.27,9404675
2023-10-30,187.01,7352638
2023-10-27,183.26,6422123
2023-10-26,181.78,8474867
2023-10-25,184.56,6812004
2023-10-23,185.28,4723090
2023-10-20,186.35,7912216
2023-10-19,186.04,9148124
2023-10-18,187.03,10181113
2023-10-17,186.28,4381065
2023-10-16,187.13,12376549
2023-10-13,185.23,7435899
2023-10-12,184.06,8677885
2023-10-11,183.66,8499601
2023-10-10,183.73,11819690
2023-10-09,182.73,14622727
2023-10-06,181.34,5759904
2023-10-05,182.72,11128340
2023-10-04,183.13,9360058
2023-10-03,184.86,22118500
2023-09-29,190.85,10085766
2023-09-28,187.75,14890642
2023-09-27,187.32,5630907
2023-09-26,186.9,12446655
2023-09-25,185.87,5540062
2023-09-22,185.68,7814821
2023-09-21,186.78,7814108
2023-09-20,188.05,12687099
2023-09-18,186.58,5022956
2023-09-15,187.18,19924829
2023-09-14,187.32,17746404
2023-09-13,183.16,10578786
2023-09-12,182.17,15524470
2023-09-11,183.64,10845871
2023-09-08,183.74,9737214
2023-09-07,182.27,11137801
2023-09-06,184.18,11954407
2023-09-05,184.3,13506519
2023-09-04,183.09,10998180
2023-09-01,181.02,22460960
2023-08-31,174.48,15823452
2023-08-30,176.02,5937955
2023-08-29,175.53,4596468
2023-08-28,175.24,4354221
2023-08-25,174.41,4757915
2023-08-24,174.03,7976333
2023-08-23,175.73,6379611
2023-08-22,176.66,5348036
2023-08-21,175.64,3599820
2023-08-18,175.73,6734650
2023-08-17,177.91,5199363
2023-08-16,178.11,8371665
2023-08-14,178.69,12876956
2023-08-11,177.56,4112277
2023-08-10,178.43,10430692
2023-08-09,175.11,4852294
2023-08-08,173.18,3631238
2023-08-07,173.05,2240015
2023-08-04,173.2,4605271
2023-08-03,173.04,6152393
2023-08-02,175.9,8975495
2023-08-01,176.04,5584773
2023-07-31,175.52,9277749
2023-07-28,172.54,9004252
2023-07-27,171.65,7731146
2023-07-26,172.77,9103949
2023-07-25,172.57,10480578
2023-07-24,171.49,8451631
2023-07-21,169.53,7842863
2023-07-20,167.1,5217131
2023-07-19,166.78,5968174
2023-07-18,167.16,4322257
2023-07-17,167.02,4968847
2023-07-14,168.98,9448062
2023-07-13,168.32,11350009
2023-07-12,167.75,15614026
2023-07-11,164.16,6343183
2023-07-10,163.36,5437687
2023-07-07,163.93,7597171
2023-07-06,164.57,9845699
2023-07-05,163.31,8795342
2023-07-04,160.94,5394282
2023-07-03,162.16,9548822
2023-06-30,160.0,7840112
2023-06-28,158.59,40243993
2023-06-27,158.06,9730174
2023-06-26,157.17,4273205
2023-06-23,157.01,8722650
2023-06-22,159.24,10629027
2023-06-21,159.04,8284206
2023-06-20,157.09,6059738
2023-06-19,157.7,4718221
2023-06-16,157.32,11466647
2023-06-15,157.14,7426254
2023-06-14,157.18,9695952
2023-06-13,155.64,10073644
2023-06-12,154.59,11017643
2023-06-09,154.45,11764248
2023-06-08,155.98,13850599
2023-06-07,153.51,12180164
2023-06-06,153.87,8118800
2023-06-05,155.34,11850547
2023-06-02,154.16,9851058
2023-06-01,154.2,13982606
2023-05-31,155.2,83741017
2023-05-30,159.62,16117505
2023-05-29,158.65,43253971
2023-05-26,163.71,14873707
2023-05-25,165.64,8077606
2023-05-24,165.86,6107980
2023-05-23,165.71,10119254
2023-05-22,165.74,7331865
2023-05-19,165.39,5969632
2023-05-18,166.99,7433090
2023-05-17,166.89,7360259
2023-05-16,167.9,12249266
2023-05-15,165.84,8559162
2023-05-12,166.18,16373574
2023-05-11,167.72,7877677
2023-05-10,166.89,10901429
2023-05-09,165.33,7600834
2023-05-08,164.05,9699470
2023-05-05,160.47,5488707
2023-05-04,160.34,9929482
2023-05-03,162.02,8029435
2023-05-02,163.46,16612560
2023-04-28,158.16,12656744
2023-04-27,160.35,6456825
2023-04-26,160.86,9177783
2023-04-25,160.92,10169778
2023-04-24,160.15,7028440
2023-04-21,159.23,3512214
2023-04-20,159.16,5733670
2023-04-19,159.69,11374283
2023-04-18,160.03,8008560
2023-04-17,159.26,9358885
2023-04-13,159.04,11610851
2023-04-12,157.73,7333339
2023-04-11,158.35,13305621
2023-04-10,155.55,17431401
2023-04-06,151.07,10670936
2023-04-05,154.49,15880397
2023-04-03,155.47,20016785
2023-03-31,151.52,7998472
2023-03-29,148.89,24012834
2023-03-28,147.81,8964539
2023-03-27,151.1,7437261
2023-03-24,151.28,8301726
2023-03-23,151.97,4484564
2023-03-22,151.69,4329409
2023-03-21,151.72,6148489
2023-03-20,152.73,8749355
2023-03-17,153.57,16593429
2023-03-16,151.03,18551936
2023-03-15,152.94,9832270
2023-03-14,154.83,7177342
2023-03-13,156.73,8785721
2023-03-10,155.47,4689681
2023-03-09,157.1,5314022
2023-03-08,157.95,7339476
2023-03-06,157.6,14491522
2023-03-03,154.85,8260104
2023-03-02,153.86,8219892
2023-03-01,153.78,7707977
2023-02-28,153.12,17607584
2023-02-27,154.61,11904749
2023-02-24,152.69,14648507
2023-02-23,154.91,18675946
2023-02-22,153.1,9599697
2023-02-21,154.6,7599927
2023-02-20,155.97,8348393
2023-02-17,156.55,19874561
2023-02-16,153.56,30949761
2023-02-15,147.07,12631259
2023-02-14,148.39,6991500
2023-02-13,147.8,6563018
2023-02-10,145.92,6396208
2023-02-09,144.73,8078404
2023-02-08,144.18,10325869
2023-02-07,143.8,8681511
2023-02-06,143.49,6436143
2023-02-03,142.48,9250428
2023-02-02,142.29,11886667
2023-02-01,144.48,11526089
2023-01-31,145.76,19050398
2023-01-30,145.28,12688399
