DATE,VWAP,VOLUME
2024-01-25,420.09,12426317
2024-01-24,413.75,26232960
2024-01-23,407.56,28172910
2024-01-20,421.31,16664726
2024-01-19,406.18,16111152
2024-01-18,389.02,11680203
2024-01-17,396.38,8845319
2024-01-16,404.68,11079183
2024-01-15,406.96,10263830
2024-01-12,398.32,8217329
2024-01-11,396.33,8305839
2024-01-10,387.97,12513678
2024-01-09,400.03,12629573
2024-01-08,406.41,8020666
2024-01-05,403.54,7735119
2024-01-04,405.17,19291259
2024-01-03,393.61,13107047
2024-01-02,388.62,11799148
2024-01-01,394.7,15293334
2023-12-29,383.33,10589854
2023-12-28,387.17,12371827
2023-12-27,387.79,11269286
2023-12-26,393.21,13629896
2023-12-22,388.5,13356416
2023-12-21,378.63,23330278
2023-12-20,394.69,22211254
2023-12-19,409.03,10528820
2023-12-18,412.23,14104514
2023-12-15,414.66,19759589
2023-12-14,422.5,22525232
2023-12-13,412.35,47230397
2023-12-12,388.73,9651220
2023-12-11,388.2,11743284
2023-12-08,384.56,22241955
2023-12-07,377.57,9186451
2023-12-06,380.38,15204248
2023-12-05,375.12,16714263
2023-12-04,376.99,33279982
2023-12-01,361.44,51298211
2023-11-30,333.49,42144243
2023-11-29,325.55,13325273
2023-11-28,316.2,12393794
2023-11-24,315.31,8179159
2023-11-23,320.42,7050700
2023-11-22,319.96,9908872
2023-11-21,321.69,22453701
2023-11-20,322.36,19353142
2023-11-17,315.56,15707486
2023-11-16,309.58,16593003
2023-11-15,308.43,29545189
2023-11-13,310.83,56941773
2023-11-12,295.85,5950101
2023-11-10,283.8,26451061
2023-11-09,276.56,46645094
2023-11-08,263.86,7008956
2023-11-07,262.84,12712137
2023-11-06,261.09,15066704
2023-11-03,260.48,13074986
2023-11-02,255.95,31788640
2023-11-01,244.8,11485017
2023-10-31,244.06,11247490
2023-10-30,237.14,8589899
2023-10-27,237.44,8633736
2023-10-26,229.07,19102624
2023-10-25,239.47,12354938
2023-10-23,245.14,16263512
2023-10-20,246.78,9772348
2023-10-19,247.94,10354590
2023-10-18,248.11,8849737
2023-10-17,252.12,7959854
2023-10-16,254.17,15828545
2023-10-13,250.57,6963745
2023-10-12,250.37,8856652
2023-10-11,251.01,16901311
2023-10-10,245.42,21120310
2023-10-09,241.63,12865038
2023-10-06,244.84,10502776
2023-10-05,241.9,6991188
2023-10-04,245.11,11248912
2023-10-03,251.02,20505684
2023-09-29,251.66,20556307
2023-09-28,246.58,17882450
2023-09-27,247.98,41395652
2023-09-26,235.89,10324176
2023-09-25,238.28,10640362
2023-09-22,235.66,19853464
2023-09-21,232.11,19969152
2023-09-20,288.72,19317559
2023-09-18,284.75,17422070
2023-09-15,280.6,13472361
2023-09-14,278.9,16183428
2023-09-13,279.84,18283366
2023-09-12,290.54,25657739
2023-09-11,307.51,26022898
2023-09-08,295.48,66232926
2023-09-07,265.57,19245292
2023-09-06,257.99,10458275
2023-09-05,262.72,14419281
2023-09-04,261.16,13959805
2023-09-01,255.97,25508836
2023-08-31,261.4,164551399
2023-08-30,272.92,15595914
2023-08-29,271.4,17289883
2023-08-28,271.86,16539232
2023-08-25,269.49,14712361
2023-08-24,273.12,8349667
2023-08-23,273.38,8628839
2023-08-22,274.79,12666246
2023-08-21,270.03,11693150
2023-08-18,269.85,12782606
2023-08-17,269.12,18261763
2023-08-16,263.48,8611451
2023-08-14,264.51,13095211
2023-08-11,267.03,19807328
2023-08-10,267.18,10308401
2023-08-09,268.94,10187822
2023-08-08,270.17,30634867
2023-08-07,264.32,15673718
2023-08-04,259.31,8195058
2023-08-03,257.96,11082737
2023-08-02,257.34,12897629
2023-08-01,259.04,8969904
2023-07-31,259.38,11389062
2023-07-28,255.39,13107446
2023-07-27,252.1,21043456
2023-07-26,241.36,9630578
2023-07-25,239.2,11801735
2023-07-24,239.04,22346371
2023-07-21,227.32,5645236
2023-07-20,226.81,5594049
2023-07-19,225.1,7651184
2023-07-18,222.94,11430982
2023-07-17,224.34,6350877
2023-07-14,224.63,6206024
2023-07-13,225.37,8495280
2023-07-12,228.07,9500728
2023-07-11,227.77,22017028
2023-07-10,222.32,9469488
2023-07-07,221.49,7226033
2023-07-06,224.71,7187154
2023-07-05,223.61,7708297
2023-07-04,221.16,11898079
2023-07-03,220.16,10227371
2023-06-30,216.4,13561395
2023-06-28,214.66,25675597
2023-06-27,205.18,15237777
2023-06-26,200.07,7424746
2023-06-23,200.56,7258270
2023-06-22,204.49,9326013
2023-06-21,208.39,16604952
2023-06-20,201.04,7781286
2023-06-19,197.66,7397549
2023-06-16,196.55,9861048
2023-06-15,201.6,8432262
2023-06-14,201.49,10438154
2023-06-13,201.66,11349466
2023-06-12,201.53,6765017
2023-06-09,198.19,6323263
2023-06-08,197.2,8465643
2023-06-07,196.31,6298160
2023-06-06,194.47,10567472
2023-06-05,194.23,15595565
2023-06-02,188.94,19369171
2023-06-01,183.2,6403213
2023-05-31,181.79,11030532
2023-05-30,178.16,15495553
2023-05-29,175.09,12923369
2023-05-26,170.5,3855560
2023-05-25,169.34,9463504
2023-05-24,166.22,4279187
2023-05-23,166.44,6000329
2023-05-22,165.27,6642266
2023-05-19,165.28,6348109
2023-05-18,166.68,9509302
2023-05-17,165.17,11594204
2023-05-16,170.21,18604245
2023-05-15,168.9,12142121
2023-05-12,162.66,22450063
2023-05-11,165.98,9679853
2023-05-10,165.32,9484903
2023-05-09,168.22,9199634
2023-05-08,171.08,5785580
2023-05-05,171.97,10043579
2023-05-04,174.96,10382525
2023-05-03,172.69,10413965
2023-05-02,173.55,21543413
2023-04-28,169.02,14809357
2023-04-27,164.66,8798861
2023-04-26,164.36,9213633
2023-04-25,163.03,7118333
2023-04-24,159.22,6578957
2023-04-21,157.46,5541581
2023-04-20,161.02,3885667
2023-04-19,162.7,6616433
2023-04-18,163.43,18948778
2023-04-17,163.85,8993538
2023-04-13,161.62,9703929
2023-04-12,167.72,6863425
2023-04-11,167.47,8313168
2023-04-10,164.45,13377897
2023-04-06,156.7,7883419
2023-04-05,155.7,5064582
2023-04-03,154.58,6140663
2023-03-31,151.79,6181930
2023-03-29,149.0,4503118
2023-03-28,147.07,3812086
2023-03-27,148.57,7189295
2023-03-24,150.05,4656997
2023-03-23,153.22,5895246
2023-03-22,154.84,4406016
2023-03-21,152.57,7056148
2023-03-20,151.59,8877659
2023-03-17,155.35,14793445
2023-03-16,157.65,8678550
2023-03-15,162.55,6066749
2023-03-14,162.13,8334483
2023-03-13,165.03,7303742
2023-03-10,167.08,7983167
2023-03-09,168.81,13023751
2023-03-08,166.4,19715015
2023-03-06,160.02,11987085
2023-03-03,154.32,8101353
2023-03-02,150.33,4288494
2023-03-01,147.89,4562532
2023-02-28,144.55,5613323
2023-02-27,142.41,3682043
2023-02-24,144.37,4283544
2023-02-23,147.34,4677848
2023-02-22,146.18,5416298
2023-02-21,149.63,5681867
2023-02-20,147.83,3601393
2023-02-17,148.95,2901156
2023-02-16,149.76,6202606
2023-02-15,145.96,6427779
2023-02-14,141.22,10422666
2023-02-13,142.01,7730299
2023-02-10,145.6,2253572
2023-02-09,143.92,4575492
2023-02-08,143.1,2315839
2023-02-07,143.81,5464542
2023-02-06,142.91,2878065
2023-02-03,138.67,5885945
2023-02-02,138.35,4900051
2023-02-01,140.0,7854818
2023-01-31,139.07,9501416
2023-01-30,136.06,7320674
