DATE,VWAP,VOLUME
2024-01-25,2590.51,757628
2024-01-24,2605.7,2141269
2024-01-23,2577.92,1269276
2024-01-20,2690.42,81777
2024-01-19,2688.23,627943
2024-01-18,2700.17,468132
2024-01-17,2742.23,761187
2024-01-16,2778.45,415738
2024-01-15,2740.0,719264
2024-01-12,2734.95,185626
2024-01-11,2724.2,232373
2024-01-10,2714.06,274833
2024-01-09,2724.86,273223
2024-01-08,2713.56,268950
2024-01-05,2736.77,377109
2024-01-04,2767.61,300002
2024-01-03,2766.89,347830
2024-01-02,2711.61,267832
2024-01-01,2705.64,130958
2023-12-29,2720.8,691045
2023-12-28,2708.92,409640
2023-12-27,2696.37,487539
2023-12-26,2661.05,213484
2023-12-22,2638.35,237427
2023-12-21,2599.54,201946
2023-12-20,2646.16,597865
2023-12-19,2641.37,389801
2023-12-18,2653.56,464591
2023-12-15,2648.11,515599
2023-12-14,2626.84,451306
2023-12-13,2616.75,631170
2023-12-12,2587.46,705500
2023-12-11,2548.6,252758
2023-12-08,2569.38,215930
2023-12-07,2605.1,418572
2023-12-06,2592.98,439281
2023-12-05,2568.02,364575
2023-12-04,2557.53,356930
2023-12-01,2560.13,300500
2023-11-30,2538.44,894422
2023-11-29,2503.7,385084
2023-11-28,2491.43,229294
2023-11-24,2497.76,247748
2023-11-23,2505.8,253442
2023-11-22,2493.51,143168
2023-11-21,2491.27,225993
2023-11-20,2488.64,208065
2023-11-17,2511.78,786838
2023-11-16,2458.28,175004
2023-11-15,2443.22,405307
2023-11-13,2430.22,181803
2023-11-12,2444.21,43122
2023-11-10,2432.14,326200
2023-11-09,2469.58,673878
2023-11-08,2465.95,350680
2023-11-07,2432.07,178637
2023-11-06,2436.12,325475
2023-11-03,2441.54,159963
2023-11-02,2413.17,237880
2023-11-01,2428.28,565676
2023-10-31,2440.12,2314742
2023-10-30,2310.22,311774
2023-10-27,2317.78,422263
2023-10-26,2301.44,280265
2023-10-25,2336.06,223852
2023-10-23,2363.99,147967
2023-10-20,2368.54,277143
2023-10-19,2382.44,324864
2023-10-18,2416.11,156214
2023-10-17,2427.75,299608
2023-10-16,2437.72,412888
2023-10-13,2465.32,146168
2023-10-12,2481.24,124308
2023-10-11,2480.14,449170
2023-10-10,2443.84,288124
2023-10-09,2425.83,370569
2023-10-06,2446.79,242397
2023-10-05,2429.31,231636
2023-10-04,2402.26,378833
2023-10-03,2424.55,382674
2023-09-29,2440.97,123353
2023-09-28,2442.25,475791
2023-09-27,2492.78,178583
2023-09-26,2500.63,128154
2023-09-25,2495.39,219117
2023-09-22,2513.11,348380
2023-09-21,2503.09,279691
2023-09-20,2498.97,337541
2023-09-18,2500.52,277306
2023-09-15,2487.3,504764
2023-09-14,2478.32,548954
2023-09-13,2476.91,395453
2023-09-12,2491.31,587884
2023-09-11,2513.39,419624
2023-09-08,2500.77,586237
2023-09-07,2504.93,210905
2023-09-06,2496.82,258925
2023-09-05,2494.93,360316
2023-09-04,2480.22,481518
2023-09-01,2501.43,468711
2023-08-31,2534.64,1248501
2023-08-30,2578.07,389197
2023-08-29,2567.05,566393
2023-08-28,2517.23,342150
2023-08-25,2523.02,431499
2023-08-24,2527.41,565703
2023-08-23,2531.27,879174
2023-08-22,2490.96,273033
2023-08-21,2485.24,272682
2023-08-18,2486.16,345376
2023-08-17,2519.19,252328
2023-08-16,2540.38,213059
2023-08-14,2531.98,149281
2023-08-11,2538.57,394433
2023-08-10,2541.63,747380
2023-08-09,2604.31,244304
2023-08-08,2613.61,294364
2023-08-07,2612.97,132591
2023-08-04,2607.63,176758
2023-08-03,2597.84,206189
2023-08-02,2624.46,182882
2023-08-01,2624.7,182792
2023-07-31,2611.0,221454
2023-07-28,2615.58,336411
2023-07-27,2607.76,141783
2023-07-26,2617.51,149847
2023-07-25,2615.04,218299
2023-07-24,2648.51,255346
2023-07-21,2673.21,211117
2023-07-20,2677.21,213260
2023-07-19,2675.75,401289
2023-07-18,2648.85,371797
2023-07-17,2636.3,231762
2023-07-14,2613.79,297136
2023-07-13,2629.17,325809
2023-07-12,2596.24,812161
2023-07-11,2651.09,633719
2023-07-10,2597.36,280989
2023-07-07,2632.22,310425
2023-07-06,2638.24,326780
2023-07-05,2607.73,543932
2023-07-04,2572.56,438598
2023-07-03,2585.58,473016
2023-06-30,2600.03,722273
2023-06-28,2605.97,770303
2023-06-27,2630.79,362724
2023-06-26,2637.97,243751
2023-06-23,2663.0,789589
2023-06-22,2658.21,163415
2023-06-21,2678.64,347029
2023-06-20,2686.04,447600
2023-06-19,2686.0,300224
2023-06-16,2688.77,435650
2023-06-15,2693.77,401002
2023-06-14,2702.6,513278
2023-06-13,2710.55,874863
2023-06-12,2637.9,234521
2023-06-09,2627.82,100618
2023-06-08,2647.69,164181
2023-06-07,2652.51,182315
2023-06-06,2629.07,127143
2023-06-05,2638.8,115456
2023-06-02,2634.56,263292
2023-06-01,2651.61,478918
2023-05-31,2606.62,495074
2023-05-30,2592.35,181279
2023-05-29,2579.99,219835
2023-05-26,2562.71,311970
2023-05-25,2511.67,359963
2023-05-24,2522.88,234361
2023-05-23,2540.05,183100
2023-05-22,2535.97,255297
2023-05-19,2563.25,313001
2023-05-18,2557.85,394341
