DATE,VWAP,VOLUME
2024-01-25,103.08,111791532
2024-01-24,101.21,65088374
2024-01-23,101.64,83723415
2024-01-20,104.14,51901229
2024-01-19,101.43,104194911
2024-01-18,97.47,60733225
2024-01-17,98.0,98759165
2024-01-16,98.6,60660256
2024-01-15,98.46,46701350
2024-01-12,97.57,78525419
2024-01-11,95.0,28709414
2024-01-10,94.18,54772377
2024-01-09,95.83,33881561
2024-01-08,95.74,47101702
2024-01-05,97.03,42729858
2024-01-04,97.19,37426897
2024-01-03,96.4,73009456
2024-01-02,97.37,50741670
2024-01-01,97.6,55329198
2023-12-29,95.62,65556029
2023-12-28,95.23,178967353
2023-12-27,90.57,62043155
2023-12-26,89.21,35937581
2023-12-22,89.6,32589619
2023-12-21,87.99,58814452
2023-12-20,88.83,75353864
2023-12-19,91.39,43084144
2023-12-18,91.42,35997452
2023-12-15,90.8,57382725
2023-12-14,90.01,46901038
2023-12-13,88.64,45083954
2023-12-12,88.82,50356234
2023-12-11,88.45,58983764
2023-12-08,86.49,64205639
2023-12-07,86.07,52407229
2023-12-06,85.7,74935960
2023-12-05,84.74,84479543
2023-12-04,83.57,98320541
2023-12-01,80.27,84958693
2023-11-30,78.18,57665048
2023-11-29,78.77,38404432
2023-11-28,77.86,43966316
2023-11-24,76.31,17112957
2023-11-23,76.69,15646955
2023-11-22,76.89,35533376
2023-11-21,78.15,23914987
2023-11-20,78.78,29074574
2023-11-17,77.36,52680056
2023-11-16,79.7,36649274
2023-11-15,79.7,56335226
2023-11-13,78.26,61511606
2023-11-12,76.47,4786113
2023-11-10,75.98,19806827
2023-11-09,76.06,25406922
2023-11-08,76.06,28074631
2023-11-07,75.82,45263683
2023-11-06,75.01,22781133
2023-11-03,74.86,33999204
2023-11-02,74.33,44074000
2023-11-01,73.45,39344724
2023-10-31,73.44,44305596
2023-10-30,73.09,45878932
2023-10-27,72.78,97582651
2023-10-26,68.79,96629399
2023-10-25,70.15,56157100
2023-10-23,71.5,64052095
2023-10-20,72.91,47312964
2023-10-19,74.2,40169623
2023-10-18,75.65,79079912
2023-10-17,75.78,25571754
2023-10-16,75.55,31664409
2023-10-13,75.09,33454518
2023-10-12,76.28,28874895
2023-10-11,76.51,59870131
2023-10-10,74.89,45297302
2023-10-09,73.77,73864732
2023-10-06,77.2,66525708
2023-10-05,77.79,134330537
2023-10-04,80.85,103799902
2023-10-03,81.77,67592455
2023-09-29,80.3,50000692
2023-09-28,80.61,153076293
2023-09-27,80.83,87175092
2023-09-26,80.09,81418694
2023-09-25,78.84,132629554
2023-09-22,76.69,96312592
2023-09-21,76.22,82446210
2023-09-20,76.52,87014740
2023-09-18,77.48,196740035
2023-09-15,73.93,85659070
2023-09-14,73.2,110388816
2023-09-13,70.4,196952754
2023-09-12,67.5,106038890
2023-09-11,68.59,97021497
2023-09-08,66.86,38692009
2023-09-07,66.52,39914471
2023-09-06,66.31,57072136
2023-09-05,67.62,70525265
2023-09-04,67.03,78454936
2023-09-01,65.12,120297728
2023-08-31,63.03,47388258
2023-08-30,63.51,36758499
2023-08-29,62.84,22724327
2023-08-28,62.54,51611750
2023-08-25,61.68,44154787
2023-08-24,63.46,40679832
2023-08-23,63.13,35562766
2023-08-22,62.51,16228098
2023-08-21,62.54,22537361
2023-08-18,63.17,52249781
2023-08-17,63.12,86494044
2023-08-16,61.89,32860991
2023-08-14,61.77,39105535
2023-08-11,62.51,63803349
2023-08-10,61.37,54154278
2023-08-09,61.48,50984674
2023-08-08,61.68,63023357
2023-08-07,60.43,31910875
2023-08-04,59.93,42677862
2023-08-03,59.31,48284251
2023-08-02,59.86,74149795
2023-08-01,61.57,30729374
