DATE,VWAP,VOLUME
2024-01-25,4380.13,1295034
2024-01-24,4235.45,1879874
2024-01-23,4281.75,1286472
2024-01-20,4382.2,512155
2024-01-19,4407.51,2042284
2024-01-18,4415.44,3940479
2024-01-17,4428.29,1928680
2024-01-16,4314.77,2599390
2024-01-15,4112.38,3860786
2024-01-12,3990.9,6218177
2024-01-11,3957.09,18029446
2024-01-10,4948.97,2695792
2024-01-09,5018.57,4167413
2024-01-08,5397.42,346476
2024-01-05,5398.51,140560
2024-01-04,5383.91,282732
2024-01-03,5384.07,250172
2024-01-02,5366.02,281635
2024-01-01,5483.47,146403
2023-12-29,5496.03,347319
2023-12-28,5457.45,233728
2023-12-27,5430.75,357111
2023-12-26,5384.68,682407
2023-12-22,5416.46,1898658
2023-12-21,5562.49,242120
2023-12-20,5568.34,345075
2023-12-19,5628.53,306765
2023-12-18,5677.11,310923
2023-12-15,5658.74,267973
2023-12-14,5660.7,351256
2023-12-13,5661.96,320345
2023-12-12,5644.69,524434
2023-12-11,5606.56,973960
2023-12-08,5455.11,419779
2023-12-07,5394.71,338949
2023-12-06,5343.79,393732
2023-12-05,5352.35,325063
2023-12-04,5326.38,487407
2023-12-01,5262.13,433155
2023-11-30,5265.3,6818392
2023-11-29,5177.2,637793
2023-11-28,5207.58,849883
2023-11-24,5265.55,637746
2023-11-23,5275.56,449488
2023-11-22,5342.82,569920
2023-11-21,5340.57,379315
2023-11-20,5300.04,339009
2023-11-17,5277.55,289947
2023-11-16,5221.43,528615
2023-11-15,5142.19,601215
2023-11-13,5120.7,337361
2023-11-12,5155.98,26021
2023-11-10,5111.76,283963
2023-11-09,5133.44,155776
2023-11-08,5130.01,183790
2023-11-07,5127.19,272225
2023-11-06,5113.81,613383
2023-11-03,5047.82,318145
2023-11-02,5015.75,624189
2023-11-01,4921.75,385779
2023-10-31,4929.4,347116
2023-10-30,4927.47,554716
2023-10-27,4950.39,652732
2023-10-26,4860.08,841759
2023-10-25,5070.15,694305
2023-10-23,5166.19,644285
2023-10-20,5262.32,705270
2023-10-19,5275.97,1423792
2023-10-18,5385.2,1211440
2023-10-17,5441.13,741605
2023-10-16,5414.77,727018
2023-10-13,5310.51,357812
2023-10-12,5244.47,433492
2023-10-11,5245.81,400950
2023-10-10,5211.71,331263
2023-10-09,5175.95,280349
2023-10-06,5277.81,384926
2023-10-05,5281.57,286121
2023-10-04,5318.31,553831
2023-10-03,5347.93,630157
2023-09-29,5323.03,533039
2023-09-28,5307.9,718228
2023-09-27,5257.85,883496
2023-09-26,5147.98,382174
2023-09-25,5194.71,702950
2023-09-22,5144.21,660080
2023-09-21,5276.39,788735
2023-09-20,5240.86,886432
2023-09-18,5151.39,188335
2023-09-15,5162.51,350026
2023-09-14,5125.41,513990
2023-09-13,4944.03,802559
2023-09-12,5028.1,693209
2023-09-11,5156.03,398409
2023-09-08,5193.48,372420
2023-09-07,5222.07,515569
2023-09-06,5300.72,374585
2023-09-05,5273.97,464679
2023-09-04,5191.97,355134
2023-09-01,5179.33,448449
2023-08-31,5091.45,484299
2023-08-30,5037.01,327971
2023-08-29,5049.62,425772
2023-08-28,5078.9,669023
2023-08-25,4994.89,479853
2023-08-24,5055.04,675077
2023-08-23,5110.44,975669
2023-08-22,4954.96,929778
2023-08-21,4810.72,329531
2023-08-18,4802.08,330161
2023-08-17,4842.34,653948
2023-08-16,4826.42,837609
2023-08-14,4702.27,448711
2023-08-11,4646.92,979085
2023-08-10,4624.35,327433
2023-08-09,4688.15,447877
2023-08-08,4649.45,421136
2023-08-07,4598.44,350693
2023-08-04,4626.12,375403
2023-08-03,4570.53,498305
2023-08-02,4621.82,879726
2023-08-01,4724.93,896053
2023-07-31,4816.82,702383
2023-07-28,4716.96,530565
2023-07-27,4701.26,693349
2023-07-26,4659.86,616591
2023-07-25,4712.57,845678
2023-07-24,4695.9,1450583
2023-07-21,4581.19,3034596
2023-07-20,4554.35,5530760
2023-07-19,4287.94,2988725
2023-07-18,4050.64,2882873
2023-07-17,3920.64,473022
2023-07-14,3855.04,389985
2023-07-13,3814.66,488118
2023-07-12,3782.84,535242
2023-07-11,3715.76,1485223
2023-07-10,3544.98,284687
2023-07-07,3517.12,153939
2023-07-06,3563.74,180300
2023-07-05,3548.83,246209
2023-07-04,3519.27,165447
2023-07-03,3545.11,223753
2023-06-30,3566.42,430346
2023-06-28,3572.28,885684
2023-06-27,3505.26,346501
2023-06-26,3459.75,204577
2023-06-23,3446.77,272568
2023-06-22,3508.36,899667
2023-06-21,3465.67,468855
2023-06-20,3537.61,275988
2023-06-19,3550.0,169991
2023-06-16,3558.4,223482
2023-06-15,3569.17,184254
2023-06-14,3587.1,153118
2023-06-13,3570.87,249758
2023-06-12,3535.32,243029
2023-06-09,3543.8,187230
2023-06-08,3510.37,297932
2023-06-07,3545.56,437956
2023-06-06,3574.14,196700
2023-06-05,3590.13,389947
2023-06-02,3532.52,428950
2023-06-01,3457.34,346059
2023-05-31,3431.65,1802492
2023-05-30,3436.58,340548
2023-05-29,3418.06,84643
2023-05-26,3413.49,140093
2023-05-25,3417.28,177428
2023-05-24,3397.31,180173
2023-05-23,3393.99,241794
2023-05-22,3430.82,91735
2023-05-19,3426.27,204182
2023-05-18,3432.77,168884
2023-05-17,3444.77,429840
2023-05-16,3407.04,460036
2023-05-15,3345.11,799715
2023-05-12,3339.96,1549977
2023-05-11,3247.48,528871
2023-05-10,3202.9,182938
2023-05-09,3230.74,292954
2023-05-08,3304.25,307218
2023-05-05,3309.36,210596
2023-05-04,3270.96,138245
2023-05-03,3290.05,331116
2023-05-02,3239.46,195103
2023-04-28,3201.63,192921
2023-04-27,3188.64,163208
2023-04-26,3170.48,128534
2023-04-25,3149.67,272892
2023-04-24,3132.85,120666
2023-04-21,3107.52,139730
2023-04-20,3142.27,201430
2023-04-19,3138.22,290136
2023-04-18,3095.97,165738
2023-04-17,3108.37,383771
2023-04-13,3078.42,250406
2023-04-12,3044.98,192138
2023-04-11,3025.75,475618
2023-04-10,2957.98,352557
2023-04-06,2923.9,193484
2023-04-05,2937.65,190853
2023-04-03,2938.52,303832
2023-03-31,2887.58,203707
2023-03-29,2828.42,245686
2023-03-28,2786.24,296813
2023-03-27,2809.3,378284
2023-03-24,2838.27,193270
2023-03-23,2874.1,162906
2023-03-22,2890.24,264831
2023-03-21,2875.05,228098
2023-03-20,2857.87,143701
2023-03-17,2877.56,289717
2023-03-16,2893.35,376887
2023-03-15,2912.85,363303
2023-03-14,2881.15,163628
2023-03-13,2922.51,293866
2023-03-10,2980.18,468768
2023-03-09,3095.73,191541
2023-03-08,3091.81,336445
2023-03-06,3069.2,165157
2023-03-03,3079.54,211402
2023-03-02,3090.86,212610
2023-03-01,3099.54,556955
2023-02-28,3044.21,362293
2023-02-27,3007.06,283462
2023-02-24,3077.98,460091
2023-02-23,3053.48,364256
2023-02-22,3034.93,328540
2023-02-21,3036.34,211481
2023-02-20,3003.18,218449
2023-02-17,3071.02,1067039
2023-02-16,3038.7,351094
2023-02-15,2984.97,216658
2023-02-14,2977.59,204187
2023-02-13,2942.7,196259
2023-02-10,2992.2,136904
2023-02-09,2980.76,172603
2023-02-08,2989.8,278608
2023-02-07,2978.14,186102
2023-02-06,2971.69,255641
2023-02-03,2961.12,378428
2023-02-02,3040.76,716169
2023-02-01,3002.27,936089
2023-01-31,2890.09,545851
2023-01-30,2828.41,426921
