DATE,VWAP,VOLUME
2024-01-25,245.86,20651484
2024-01-24,242.38,28309825
2024-01-23,242.57,27492163
2024-01-20,238.91,6491870
2024-01-19,233.86,20931080
2024-01-18,231.66,25522629
2024-01-17,239.36,13620300
2024-01-16,239.78,7478450
2024-01-15,239.77,12597366
2024-01-12,239.87,11296498
2024-01-11,241.01,18812468
2024-01-10,240.09,16872195
2024-01-09,243.19,8688409
2024-01-08,242.79,13585746
2024-01-05,241.84,16345257
2024-01-04,241.35,19663959
2024-01-03,237.26,8284439
2024-01-02,238.21,9128513
2024-01-01,238.3,5952776
2023-12-29,236.85,12665999
2023-12-28,238.2,39164340
2023-12-27,234.29,10231881
2023-12-26,234.41,6772092
2023-12-22,232.22,9735375
2023-12-21,229.57,17755207
2023-12-20,231.58,20400245
2023-12-19,232.97,12612164
2023-12-18,232.8,29051897
2023-12-15,234.09,41341690
2023-12-14,233.03,29972018
2023-12-13,235.34,26878281
2023-12-12,231.52,14355329
2023-12-11,230.58,19106395
2023-12-08,230.19,22206320
2023-12-07,229.36,24534268
2023-12-06,224.04,29544730
2023-12-05,217.95,40709207
2023-12-04,212.67,27914088
2023-12-01,211.17,20719909
2023-11-30,209.45,60354322
2023-11-29,210.56,10062023
2023-11-28,210.46,15629209
2023-11-24,210.7,7250200
2023-11-23,210.92,11382709
2023-11-22,211.42,13079580
2023-11-21,209.04,9608081
2023-11-20,209.85,11156900
2023-11-17,208.85,16705395
2023-11-16,207.42,27533260
2023-11-15,210.89,19182861
2023-11-13,213.28,11352269
2023-11-12,212.34,1008214
2023-11-10,211.12,12066023
2023-11-09,208.84,13777877
2023-11-08,207.59,7435543
2023-11-07,206.95,10730361
2023-11-06,207.02,9804415
2023-11-03,204.69,8684015
2023-11-02,202.06,12924797
2023-11-01,201.0,5598615
2023-10-31,202.01,7474770
2023-10-30,199.73,7679981
2023-10-27,200.92,9995487
2023-10-26,198.25,11070090
2023-10-25,199.47,16817158
2023-10-23,202.02,6988219
2023-10-20,202.71,22081120
2023-10-19,205.3,13192888
2023-10-18,205.61,14923328
2023-10-17,207.13,19378328
2023-10-16,201.54,18336656
2023-10-13,201.34,13105921
2023-10-12,199.96,21872719
2023-10-11,198.21,10031916
2023-10-10,197.58,7440527
2023-10-09,195.37,7853369
2023-10-06,196.49,12857229
2023-10-05,196.53,14575590
2023-10-04,197.83,14120040
2023-10-03,198.71,10830728
2023-09-29,200.13,16293959
2023-09-28,200.49,50185120
2023-09-27,198.96,6736870
2023-09-26,198.78,7440011
2023-09-25,198.82,11951847
2023-09-22,198.54,21193988
2023-09-21,202.34,20332556
2023-09-20,203.69,33369524
2023-09-18,197.52,25627043
2023-09-15,194.08,20516593
2023-09-14,194.63,10941807
2023-09-13,193.44,10692151
2023-09-12,195.28,29826173
2023-09-11,261.4,13262855
2023-09-08,259.12,12586314
2023-09-07,255.64,10320340
2023-09-06,254.23,7513855
2023-09-05,254.74,8169890
2023-09-04,254.23,7680024
2023-09-01,249.81,9840543
2023-08-31,246.03,15536865
2023-08-30,248.01,5061006
2023-08-29,251.43,9272491
2023-08-28,246.37,8931499
2023-08-25,243.24,9638508
2023-08-24,248.67,14236566
2023-08-23,248.81,6365715
2023-08-22,248.29,8330873
2023-08-21,245.89,6847145
2023-08-18,241.65,9219181
2023-08-17,244.18,11475857
2023-08-16,245.88,6893604
2023-08-14,243.57,6891365
2023-08-11,244.52,17899555
2023-08-10,241.23,7471838
2023-08-09,240.43,13831606
2023-08-08,242.03,11378795
2023-08-07,247.34,4759475
2023-08-04,247.28,5554793
2023-08-03,247.89,8161515
2023-08-02,249.85,15619054
2023-08-01,253.67,23546777
2023-07-31,264.27,18202301
2023-07-28,256.75,13138844
2023-07-27,251.18,8127580
2023-07-26,252.21,9673629
2023-07-25,250.06,7875013
2023-07-24,245.54,11119172
2023-07-21,244.73,13849807
2023-07-20,243.59,7686812
2023-07-19,243.7,17216156
2023-07-18,241.72,11205445
2023-07-17,241.23,8605621
2023-07-14,239.71,54064374
2023-07-13,245.38,22943588
2023-07-12,253.16,7043158
2023-07-11,253.25,5614534
2023-07-10,250.13,11489286
2023-07-07,257.69,9861888
2023-07-06,259.36,12528785
2023-07-05,252.3,4005681
2023-07-04,250.51,6478476
2023-07-03,251.12,9350430
2023-06-30,254.68,13244985
2023-06-28,250.39,13356538
2023-06-27,248.88,8357181
2023-06-26,248.3,5479022
2023-06-23,250.61,4195045
2023-06-22,255.01,5573224
2023-06-21,254.98,23379070
2023-06-20,247.5,10069774
2023-06-19,244.08,7823736
2023-06-16,245.9,7276771
2023-06-15,245.4,7299562
