DATE,VWAP,VOLUME
2024-01-25,468.6,12311262
2024-01-24,462.68,35198592
2024-01-23,447.16,39365502
2024-01-20,464.9,16839511
2024-01-19,444.83,22121350
2024-01-18,421.17,8956008
2024-01-17,431.88,7584545
2024-01-16,439.76,13609749
2024-01-15,437.69,11016779
2024-01-12,424.64,6411181
2024-01-11,424.71,7460083
2024-01-10,418.53,11436427
2024-01-09,431.49,11682652
2024-01-08,438.01,9463209
2024-01-05,435.22,7441404
2024-01-04,434.31,11523818
2024-01-03,423.53,10747906
2024-01-02,417.8,11435302
2024-01-01,425.54,12660166
2023-12-29,410.79,6932668
2023-12-28,411.86,8028672
2023-12-27,412.68,9149448
2023-12-26,417.29,13481039
2023-12-22,408.88,13716584
2023-12-21,401.71,20536948
2023-12-20,418.25,16918062
2023-12-19,433.05,10186585
2023-12-18,434.65,13171236
2023-12-15,432.81,20631949
2023-12-14,443.33,23742544
2023-12-13,433.76,43470874
2023-12-12,406.92,12696174
2023-12-11,407.52,9038725
2023-12-08,403.42,15781777
2023-12-07,397.02,10437035
2023-12-06,400.77,19441163
2023-12-05,390.25,17979133
2023-12-04,388.27,26066333
2023-12-01,372.39,39839613
2023-11-30,347.33,27118028
2023-11-29,342.62,8756635
2023-11-28,336.41,9994686
2023-11-24,339.59,7468477
2023-11-23,339.74,7836758
2023-11-22,338.37,6725503
2023-11-21,340.72,18413395
2023-11-20,345.41,10306588
2023-11-17,337.7,10484434
2023-11-16,331.85,7127417
2023-11-15,333.79,13163544
2023-11-13,337.22,23410469
2023-11-12,329.93,2738629
2023-11-10,321.93,11467991
2023-11-09,318.49,20491696
2023-11-08,310.33,8658346
2023-11-07,308.62,15973268
2023-11-06,303.98,9262299
2023-11-03,303.38,14619611
2023-11-02,301.63,58777830
2023-11-01,284.38,19583321
2023-10-31,283.8,14086055
2023-10-30,274.71,7839191
2023-10-27,272.92,9403379
2023-10-26,263.86,22159911
2023-10-25,274.92,14751988
2023-10-23,281.25,16531193
2023-10-20,288.61,9900926
2023-10-19,291.66,11059767
2023-10-18,290.64,6449758
2023-10-17,294.83,8283781
2023-10-16,295.55,9744816
2023-10-13,293.91,9635780
2023-10-12,292.32,9982500
2023-10-11,291.48,12689010
2023-10-10,285.57,16215694
2023-10-09,281.74,10063388
2023-10-06,284.02,11040241
2023-10-05,280.86,11888870
2023-10-04,285.48,17320364
2023-10-03,291.44,20802588
2023-09-29,288.02,23448560
2023-09-28,282.91,17643718
2023-09-27,280.78,44789295
2023-09-26,269.17,13775707
2023-09-25,269.78,15387154
2023-09-22,266.2,28891418
2023-09-21,259.91,28152219
2023-09-20,254.01,18170640
2023-09-18,247.45,22803288
2023-09-15,250.1,21570264
2023-09-14,246.51,19465778
2023-09-13,245.71,31677735
2023-09-12,253.66,49300899
2023-09-11,274.43,30479843
2023-09-08,264.16,63796670
2023-09-07,241.59,21384056
2023-09-06,236.09,16847543
2023-09-05,241.16,15883425
2023-09-04,241.93,10478574
2023-09-01,235.9,14221473
2023-08-31,239.47,158351032
2023-08-30,246.65,13806303
2023-08-29,244.81,18658395
2023-08-28,241.98,16039839
2023-08-25,240.33,21513620
2023-08-24,244.24,15816126
2023-08-23,239.38,12598059
2023-08-22,240.71,17249691
2023-08-21,237.57,18895677
2023-08-18,235.56,23001607
2023-08-17,231.02,32482447
2023-08-16,222.24,15393266
2023-08-14,221.27,19733602
2023-08-11,225.88,58045332
2023-08-10,216.4,16597765
2023-08-09,217.09,21739954
2023-08-08,215.2,52495107
2023-08-07,207.98,43892393
2023-08-04,199.37,8719652
2023-08-03,197.79,17437906
2023-08-02,197.08,20258835
2023-08-01,200.46,16275497
2023-07-31,199.57,28733969
2023-07-28,192.75,35054688
2023-07-27,184.8,59887084
2023-07-26,173.66,11027961
2023-07-25,172.56,12870386
2023-07-24,171.93,37880425
2023-07-21,161.78,6078651
2023-07-20,162.2,2955365
2023-07-19,162.03,5377036
2023-07-18,160.41,8351483
2023-07-17,160.89,5152924
2023-07-14,160.44,10445961
2023-07-13,165.91,10748152
2023-07-12,169.12,6928972
2023-07-11,169.27,17100113
2023-07-10,166.75,10949947
2023-07-07,165.53,6167119
2023-07-06,166.19,7090232
2023-07-05,165.91,5621375
2023-07-04,165.37,10877690
2023-07-03,166.39,9381695
2023-06-30,166.17,15082058
2023-06-28,164.56,22329032
2023-06-27,159.17,13863522
2023-06-26,156.3,10223521
2023-06-23,157.8,8520782
2023-06-22,158.81,14009571
2023-06-21,164.42,24747224
2023-06-20,157.12,15061901
2023-06-19,153.29,7123074
2023-06-16,152.39,7403920
2023-06-15,152.81,7666988
2023-06-14,153.88,7737722
2023-06-13,154.48,12418368
2023-06-12,153.32,14649620
2023-06-09,148.31,8270232
2023-06-08,146.03,6645263
2023-06-07,146.55,3927043
2023-06-06,145.02,5730697
2023-06-05,146.1,10772251
2023-06-02,143.65,11032233
2023-06-01,141.5,6036123
2023-05-31,141.5,13591196
2023-05-30,138.75,15899557
2023-05-29,136.31,11395309
2023-05-26,132.99,6649980
2023-05-25,132.26,7354404
2023-05-24,130.68,4991702
2023-05-23,130.2,9958429
2023-05-22,129.63,7575592
2023-05-19,129.06,7924933
2023-05-18,132.01,11351018
2023-05-17,132.67,9026909
2023-05-16,134.85,18848790
2023-05-15,135.29,8845743
2023-05-12,131.93,6697676
2023-05-11,132.38,7647215
2023-05-10,131.5,5728123
