DATE,VWAP,VOLUME
2024-01-25,2697.07,5904436
2024-01-24,2664.32,10959564
2024-01-23,2674.9,10027710
2024-01-20,2734.2,3641697
2024-01-19,2732.29,5211352
2024-01-18,2724.93,5139719
2024-01-17,2738.75,6098691
2024-01-16,2770.68,4534512
2024-01-15,2768.73,4305297
2024-01-12,2729.49,7506082
2024-01-11,2695.73,11862926
2024-01-10,2616.79,5551370
2024-01-09,2592.44,2701537
2024-01-08,2600.55,3867326
2024-01-05,2606.82,4043203
2024-01-04,2597.37,4806389
2024-01-03,2606.46,4518768
2024-01-02,2596.75,3724400
2024-01-01,2588.14,2015270
2023-12-29,2589.61,5432292
2023-12-28,2602.58,6151318
2023-12-27,2586.56,4602078
2023-12-26,2579.88,3732832
2023-12-22,2559.79,8270892
2023-12-21,2551.74,6882727
2023-12-20,2563.63,8868361
2023-12-19,2553.63,8410302
2023-12-18,2521.89,7082594
2023-12-15,2487.92,7966076
2023-12-14,2464.76,8486177
2023-12-13,2422.37,5015591
2023-12-12,2442.73,4598562
2023-12-11,2459.8,3533069
2023-12-08,2457.48,5102447
2023-12-07,2453.62,4071048
2023-12-06,2459.66,8211221
2023-12-05,2435.32,6346812
2023-12-04,2417.16,7795495
2023-12-01,2389.47,7171421
2023-11-30,2382.58,14219992
2023-11-29,2406.54,6265653
2023-11-28,2383.04,6896087
2023-11-24,2397.29,3374743
2023-11-23,2395.76,4265771
2023-11-22,2385.76,4267407
2023-11-21,2377.09,4107225
2023-11-20,2346.96,2245093
2023-11-17,2363.5,3879317
2023-11-16,2363.74,6567455
2023-11-15,2346.76,6110324
2023-11-13,2316.15,1927405
2023-11-12,2328.71,709922
2023-11-10,2308.66,3867477
2023-11-09,2316.51,7256805
2023-11-08,2335.8,3942247
2023-11-07,2328.29,3480102
2023-11-06,2334.2,5323652
2023-11-03,2325.94,4425078
2023-11-02,2316.45,5281052
2023-11-01,2301.86,5154595
2023-10-31,2302.76,6404219
2023-10-30,2310.35,8406652
2023-10-27,2262.35,5885542
2023-10-26,2232.86,7611267
2023-10-25,2261.49,5810344
2023-10-23,2283.24,3926981
2023-10-20,2302.59,4456656
2023-10-19,2310.08,6016278
2023-10-18,2341.91,4459160
2023-10-17,2350.51,3964090
2023-10-16,2346.59,2964518
2023-10-13,2344.56,5075158
2023-10-12,2350.76,6277225
2023-10-11,2333.86,4907059
2023-10-10,2309.03,5118016
2023-10-09,2302.95,3788439
2023-10-06,2318.8,2715513
2023-10-05,2317.43,5476841
2023-10-04,2304.24,5143193
2023-10-03,2322.04,4429528
2023-09-29,2350.92,6171007
2023-09-28,2352.03,7259173
2023-09-27,2355.73,5861389
2023-09-26,2342.35,5043891
2023-09-25,2343.52,7127442
2023-09-22,2363.47,9588393
2023-09-21,2370.7,6113091
2023-09-20,2377.79,28540942
2023-09-18,2442.35,3758150
2023-09-15,2458.32,12734296
2023-09-14,2454.2,4604818
2023-09-13,2451.78,6401669
2023-09-12,2451.73,8127833
2023-09-11,2468.87,6635537
2023-09-08,2435.83,11554644
2023-09-07,2424.86,6826286
2023-09-06,2427.46,4100185
2023-09-05,2423.22,4337938
2023-09-04,2413.56,4673813
2023-09-01,2413.4,9056421
2023-08-31,2410.24,10819300
2023-08-30,2426.59,6084473
2023-08-29,2425.23,8438322
2023-08-28,2465.38,6290413
2023-08-25,2475.31,11111200
2023-08-24,2505.26,7070010
2023-08-23,2528.38,4758976
2023-08-22,2522.49,3856522
2023-08-21,2528.76,4610873
2023-08-18,2543.13,9319989
2023-08-17,2550.82,6836872
2023-08-16,2568.15,5101556
2023-08-14,2563.04,4787906
2023-08-11,2535.53,11089665
2023-08-10,2533.24,7735299
2023-08-09,2499.68,5743293
2023-08-08,2514.67,4922036
2023-08-07,2518.85,2991435
2023-08-04,2497.26,11442805
2023-08-03,2474.27,5084175
2023-08-02,2485.51,6374107
2023-08-01,2524.85,4768316
2023-07-31,2540.69,4275587
2023-07-28,2518.8,10413926
2023-07-27,2509.19,8613449
2023-07-26,2526.43,6455506
2023-07-25,2492.71,6013010
2023-07-24,2491.6,11863933
2023-07-21,2549.83,15124619
2023-07-20,2614.0,19358812
2023-07-19,2826.91,18054869
2023-07-18,2814.75,11937761
2023-07-17,2780.3,10254545
2023-07-14,2739.02,6979790
2023-07-13,2774.19,6776172
2023-07-12,2781.6,8645662
2023-07-11,2755.34,9262001
2023-07-10,2729.55,15340262
2023-07-07,2645.39,6172684
2023-07-06,2628.55,8822948
2023-07-05,2585.9,4729479
2023-07-04,2588.64,3720447
2023-07-03,2596.46,5609248
2023-06-30,2543.75,5146441
2023-06-28,2525.48,5239872
2023-06-27,2496.25,4471687
2023-06-26,2500.04,5833893
2023-06-23,2521.55,3059084
2023-06-22,2551.25,3516244
2023-06-21,2561.96,3212779
2023-06-20,2548.6,3194085
2023-06-19,2555.84,3137532
2023-06-16,2574.79,11155180
2023-06-15,2551.63,5451926
2023-06-14,2541.35,6127509
2023-06-13,2509.06,5190958
2023-06-12,2479.76,2949893
2023-06-09,2493.99,2712243
2023-06-08,2504.11,5570815
2023-06-07,2487.06,4759238
2023-06-06,2473.7,3458161
2023-06-05,2470.14,5034355
2023-06-02,2459.32,7291995
2023-06-01,2472.06,6734525
2023-05-31,2477.34,12510304
2023-05-30,2524.94,5234564
2023-05-29,2519.76,4619754
2023-05-26,2489.54,5827017
2023-05-25,2430.14,5301647
2023-05-24,2447.77,3743804
2023-05-23,2460.13,2811473
2023-05-22,2455.77,3431208
2023-05-19,2432.71,3715280
2023-05-18,2443.67,4857531
2023-05-17,2444.63,4060722
2023-05-16,2474.17,4023000
2023-05-15,2492.24,3153587
2023-05-12,2473.5,3209889
2023-05-11,2494.02,4872451
2023-05-10,2493.65,5017544
2023-05-09,2476.94,2983468
2023-05-08,2468.41,4224469
2023-05-05,2447.86,4036548
2023-05-04,2438.2,3985159
2023-05-03,2423.03,3259053
2023-05-02,2438.83,5991101
2023-04-28,2409.46,7183342
2023-04-27,2373.05,4230627
2023-04-26,2363.34,3977129
2023-04-25,2365.75,4262471
2023-04-24,2360.7,5970048
2023-04-21,2348.7,3529236
2023-04-20,2342.63,3233882
2023-04-19,2347.73,5664207
2023-04-18,2341.54,4802172
2023-04-17,2371.58,8274452
2023-04-13,2354.04,5712541
2023-04-12,2347.57,8389646
2023-04-11,2333.1,4865301
2023-04-10,2337.29,5981688
2023-04-06,2341.09,8507771
2023-04-05,2325.64,7505339
2023-04-03,2327.86,4750238
2023-03-31,2315.77,13001005
2023-03-29,2228.64,8678073
2023-03-28,2246.61,5804018
2023-03-27,2237.36,6486068
2023-03-24,2221.83,5711497
2023-03-23,2253.68,7499082
2023-03-22,2281.22,5039622
2023-03-21,2256.48,9876263
2023-03-20,2194.09,9010595
2023-03-17,2226.05,15697554
2023-03-16,2229.58,8474595
2023-03-15,2263.32,10027725
2023-03-14,2285.47,7396699
2023-03-13,2307.72,5894088
2023-03-10,2324.06,6153681
2023-03-09,2377.08,7492509
2023-03-08,2407.08,7283694
2023-03-06,2412.27,4694338
2023-03-03,2366.67,6758115
2023-03-02,2333.58,4307425
2023-03-01,2336.64,5330852
2023-02-28,2333.98,10150245
2023-02-27,2366.2,5168667
2023-02-24,2381.54,4353814
2023-02-23,2377.1,4546655
2023-02-22,2395.74,5087729
2023-02-21,2428.09,6143298
2023-02-20,2429.58,4078245
2023-02-17,2433.17,5450092
2023-02-16,2445.33,7967558
2023-02-15,2417.55,15461902
2023-02-14,2365.58,6609564
2023-02-13,2323.49,4777674
2023-02-10,2331.77,4979789
2023-02-09,2354.91,6079228
2023-02-08,2344.97,9765490
2023-02-07,2312.27,6985001
2023-02-06,2311.92,6847679
2023-02-03,2318.88,11398850
2023-02-02,2324.91,6305317
2023-02-01,2351.35,8929007
2023-01-31,2354.47,10472167
2023-01-30,2340.91,10047822
