DATE,VWAP,VOLUME
2024-01-25,745.27,2201724
2024-01-24,740.91,1203579
2024-01-23,734.19,2495585
2024-01-20,746.89,487882
2024-01-19,750.27,1284550
2024-01-18,747.38,1465911
2024-01-17,758.33,1779825
2024-01-16,767.86,1288356
2024-01-15,768.17,1075144
2024-01-12,766.16,1173186
2024-01-11,761.43,2420685
2024-01-10,764.58,1720978
2024-01-09,765.75,2051681
2024-01-08,769.47,1183984
2024-01-05,774.48,1546574
2024-01-04,769.92,1580391
2024-01-03,773.21,1390145
2024-01-02,769.32,1493730
2024-01-01,766.74,1091156
2023-12-29,761.46,1796866
2023-12-28,760.24,2381444
2023-12-27,766.33,1591045
2023-12-26,769.12,1167036
2023-12-22,772.62,1847748
2023-12-21,761.39,1240258
2023-12-20,769.48,1969218
2023-12-19,776.11,1297167
2023-12-18,781.86,1673309
2023-12-15,775.55,2201691
2023-12-14,766.48,2641527
2023-12-13,750.34,1476097
2023-12-12,757.96,1262660
2023-12-11,759.15,1949464
2023-12-08,766.37,2668741
2023-12-07,765.43,5722975
2023-12-06,749.52,1747993
2023-12-05,750.07,2521921
2023-12-04,751.64,2611075
2023-12-01,742.78,1185861
2023-11-30,739.03,2464705
2023-11-29,737.55,1603465
2023-11-28,735.92,2366981
2023-11-24,740.29,930896
2023-11-23,738.76,840389
2023-11-22,734.38,1528078
2023-11-21,738.15,1949001
2023-11-20,743.01,4081166
2023-11-17,729.78,10087996
2023-11-16,771.64,1138172
2023-11-15,764.36,1588218
2023-11-13,752.06,1182457
2023-11-12,759.31,294337
2023-11-10,751.54,730509
2023-11-09,751.02,606163
2023-11-08,750.32,899849
2023-11-07,751.44,1317743
2023-11-06,752.51,1373751
2023-11-03,748.51,946847
2023-11-02,745.39,1205604
2023-11-01,751.18,1463292
2023-10-31,750.6,2268047
2023-10-30,744.16,7239819
2023-10-27,783.93,604104
2023-10-26,771.48,692713
2023-10-25,776.72,891012
2023-10-23,777.78,1041269
2023-10-20,787.95,490858
2023-10-19,793.47,576153
2023-10-18,802.98,652362
2023-10-17,804.21,643695
2023-10-16,797.95,1004989
2023-10-13,791.5,1030263
2023-10-12,802.31,517665
2023-10-11,799.25,596545
2023-10-10,783.8,2436105
2023-10-09,786.72,1207012
2023-10-06,797.16,1445403
2023-10-05,787.55,1335351
2023-10-04,788.85,1632453
2023-10-03,793.97,895753
2023-09-29,788.34,828018
2023-09-28,787.84,950392
2023-09-27,792.16,1426073
2023-09-26,784.76,3879843
2023-09-25,787.06,1742922
2023-09-22,803.12,2053947
2023-09-21,801.57,1365258
2023-09-20,811.96,1542580
2023-09-18,825.47,1737745
2023-09-15,836.16,1183960
2023-09-14,831.5,804452
2023-09-13,828.91,703092
2023-09-12,840.36,1054433
2023-09-11,850.28,1304770
2023-09-08,841.07,988318
2023-09-07,834.87,753245
2023-09-06,834.99,429487
2023-09-05,836.77,1087679
2023-09-04,842.53,641246
2023-09-01,830.68,2274771
2023-08-31,818.98,1432434
2023-08-30,830.61,1057451
2023-08-29,825.97,1187456
2023-08-28,821.9,518988
2023-08-25,824.4,749612
2023-08-24,835.36,2232562
2023-08-23,837.46,2052496
2023-08-22,835.73,2156377
2023-08-21,835.25,1520760
2023-08-18,843.06,670660
2023-08-17,850.06,450061
2023-08-16,850.05,385379
2023-08-14,851.09,1233152
2023-08-11,873.12,591283
2023-08-10,866.85,834193
2023-08-09,873.03,456756
2023-08-08,882.68,1002735
2023-08-07,882.58,907461
2023-08-04,872.42,1406495
2023-08-03,864.91,596541
2023-08-02,866.85,1473194
2023-08-01,872.01,1763679
2023-07-31,845.3,2948262
2023-07-28,854.07,957789
2023-07-27,866.62,1676111
2023-07-26,870.8,790932
2023-07-25,874.14,2156908
2023-07-24,856.39,1429401
2023-07-21,850.5,778546
2023-07-20,853.4,1007206
2023-07-19,860.55,1652584
2023-07-18,846.26,1315520
2023-07-17,844.99,1243191
2023-07-14,839.44,856217
2023-07-13,846.55,1335481
2023-07-12,830.53,1486327
2023-07-11,840.15,1099282
2023-07-10,832.69,1063996
2023-07-07,840.55,1137815
