DATE,VWAP,VOLUME
2024-01-25,1376.71,3230297
2024-01-24,1393.05,1255876
2024-01-23,1392.11,2880301
2024-01-20,1440.22,463302
2024-01-19,1432.19,570639
2024-01-18,1414.1,2296538
2024-01-17,1419.32,2628568
2024-01-16,1417.15,1729041
2024-01-15,1430.36,902104
2024-01-12,1428.67,557158
2024-01-11,1436.93,908421
2024-01-10,1472.65,2547856
2024-01-09,1444.87,1871763
2024-01-08,1432.9,738502
2024-01-05,1454.36,1258280
2024-01-04,1428.92,938454
2024-01-03,1428.04,550221
2024-01-02,1434.26,691712
2024-01-01,1430.89,158288
2023-12-29,1427.62,383858
2023-12-28,1431.68,1446654
2023-12-27,1417.14,718369
2023-12-26,1395.29,875367
2023-12-22,1398.29,1111420
2023-12-21,1393.4,1841616
2023-12-20,1420.38,1151553
2023-12-19,1430.59,1282514
2023-12-18,1451.68,1580916
2023-12-15,1454.95,1482700
2023-12-14,1468.46,2953215
2023-12-13,1464.81,2279728
2023-12-12,1479.26,1763549
2023-12-11,1461.33,731571
2023-12-08,1460.92,1654799
2023-12-07,1460.7,1244939
2023-12-06,1450.18,724418
2023-12-05,1459.8,1932719
2023-12-04,1442.06,2078827
2023-12-01,1426.52,808841
2023-11-30,1434.07,3027395
2023-11-29,1412.8,887709
2023-11-28,1402.65,1123470
2023-11-24,1409.04,387896
2023-11-23,1417.86,549853
2023-11-22,1427.55,865655
2023-11-21,1417.71,2049132
2023-11-20,1394.93,726211
2023-11-17,1417.83,3192944
2023-11-16,1359.05,577249
2023-11-15,1349.53,742427
2023-11-13,1332.85,1332535
2023-11-12,1361.21,67960
2023-11-10,1352.92,639801
2023-11-09,1347.04,493454
2023-11-08,1343.07,498283
2023-11-07,1332.63,1038346
2023-11-06,1330.82,377106
2023-11-03,1334.43,690163
2023-11-02,1347.01,637519
2023-11-01,1350.34,968893
2023-10-31,1359.34,2287988
2023-10-30,1320.33,1242401
2023-10-27,1306.3,654531
2023-10-26,1305.08,1107874
2023-10-25,1325.01,945901
2023-10-23,1348.7,976136
2023-10-20,1357.45,936229
2023-10-19,1346.24,595436
2023-10-18,1351.16,454861
2023-10-17,1343.5,1073063
2023-10-16,1323.96,578729
2023-10-13,1320.01,916350
2023-10-12,1309.9,726322
2023-10-11,1302.61,1374812
2023-10-10,1298.24,1221002
2023-10-09,1280.43,1345177
2023-10-06,1281.23,784191
2023-10-05,1274.76,979561
2023-10-04,1273.03,1139615
2023-10-03,1291.71,1282289
2023-09-29,1302.0,1294800
2023-09-28,1296.7,1026081
2023-09-27,1290.62,643756
2023-09-26,1294.0,749346
2023-09-25,1296.21,908011
2023-09-22,1328.01,1084861
2023-09-21,1334.75,783641
2023-09-20,1354.6,574012
2023-09-18,1380.22,1324270
2023-09-15,1366.31,878944
2023-09-14,1352.31,889229
2023-09-13,1342.68,438029
2023-09-12,1341.07,1139357
2023-09-11,1350.69,844034
2023-09-08,1340.96,1214231
2023-09-07,1336.49,1468196
2023-09-06,1315.9,1461738
2023-09-05,1314.03,1922115
2023-09-04,1317.08,542261
2023-09-01,1318.62,761000
2023-08-31,1294.68,1390078
2023-08-30,1302.89,812860
2023-08-29,1296.11,1011094
2023-08-28,1298.14,764751
2023-08-25,1289.69,487521
2023-08-24,1301.87,618797
2023-08-23,1295.19,583458
2023-08-22,1296.98,1405263
2023-08-21,1280.54,703317
2023-08-18,1276.86,886254
2023-08-17,1281.65,843146
2023-08-16,1288.75,395774
2023-08-14,1299.54,888959
2023-08-11,1314.63,891342
2023-08-10,1342.32,841571
2023-08-09,1357.43,1746764
2023-08-08,1335.15,3458915
2023-08-07,1290.88,1719680
2023-08-04,1264.35,1609140
2023-08-03,1258.88,871719
2023-08-02,1267.61,888107
2023-08-01,1273.05,1219778
2023-07-31,1283.3,1061701
2023-07-28,1289.4,1051700
2023-07-27,1298.09,1946045
2023-07-26,1287.04,2302730
2023-07-25,1300.79,1362929
2023-07-24,1312.01,1183272
2023-07-21,1306.05,524241
2023-07-20,1312.01,898725
2023-07-19,1311.49,659900
2023-07-18,1315.37,1427102
2023-07-17,1310.24,1055414
2023-07-14,1317.77,1321159
2023-07-13,1321.45,1579954
2023-07-12,1301.15,905809
2023-07-11,1299.13,821816
2023-07-10,1289.98,675354
2023-07-07,1300.73,939840
2023-07-06,1296.99,726222
2023-07-05,1298.75,960704
2023-07-04,1293.19,866223
2023-07-03,1299.48,599025
2023-06-30,1307.49,972782
2023-06-28,1300.53,2245575
2023-06-27,1269.54,1650539
2023-06-26,1269.02,1009927
2023-06-23,1267.71,1076729
2023-06-22,1290.51,556505
2023-06-21,1297.54,855234
2023-06-20,1297.06,1474323
2023-06-19,1282.77,741782
2023-06-16,1276.08,2049003
2023-06-15,1242.57,738348
2023-06-14,1239.09,713768
2023-06-13,1242.88,1253147
2023-06-12,1245.81,1402903
2023-06-09,1243.32,1904738
2023-06-08,1245.45,760962
2023-06-07,1241.7,1067618
2023-06-06,1218.04,793761
2023-06-05,1211.28,1599077
2023-06-02,1205.99,737046
2023-06-01,1220.44,1041761
2023-05-31,1232.41,2382996
2023-05-30,1211.36,745769
2023-05-29,1218.41,1370649
2023-05-26,1190.82,703725
2023-05-25,1175.54,1136179
2023-05-24,1173.5,995336
2023-05-23,1158.98,1139676
2023-05-22,1153.09,392404
2023-05-19,1149.78,333053
2023-05-18,1156.93,1133501
2023-05-17,1166.91,688730
2023-05-16,1189.79,926172
2023-05-15,1190.03,680497
2023-05-12,1186.11,1158276
2023-05-11,1186.02,621616
2023-05-10,1189.3,1420187
2023-05-09,1183.63,1412254
2023-05-08,1177.58,1221625
2023-05-05,1175.73,1360996
2023-05-04,1162.0,2409910
2023-05-03,1138.52,623440
2023-05-02,1150.1,916515
2023-04-28,1139.07,1380448
2023-04-27,1134.79,1895316
2023-04-26,1116.12,993607
2023-04-25,1111.96,1099269
2023-04-24,1100.49,1337055
2023-04-21,1114.58,835506
2023-04-20,1123.69,663526
2023-04-19,1131.29,1033060
2023-04-18,1146.89,521013
2023-04-17,1143.48,1053536
2023-04-13,1129.78,1508398
2023-04-12,1122.28,784276
2023-04-11,1116.39,913188
2023-04-10,1111.77,985731
2023-04-06,1113.73,959185
2023-04-05,1108.01,713828
2023-04-03,1106.38,1689388
2023-03-31,1104.53,959958
2023-03-29,1093.44,890212
2023-03-28,1096.36,609715
2023-03-27,1107.34,1078978
2023-03-24,1106.21,1019781
2023-03-23,1119.52,463672
2023-03-22,1117.5,1399723
2023-03-21,1092.04,842669
2023-03-20,1067.86,842875
2023-03-17,1075.62,1569036
2023-03-16,1067.99,1023855
2023-03-15,1071.54,1566147
2023-03-14,1080.18,1089923
2023-03-13,1078.3,875379
2023-03-10,1094.02,893708
2023-03-09,1108.43,1239659
2023-03-08,1124.83,959097
2023-03-06,1136.45,920574
2023-03-03,1120.02,922485
2023-03-02,1107.05,491880
2023-03-01,1115.5,675500
2023-02-28,1122.58,1219508
2023-02-27,1119.01,987563
2023-02-24,1129.89,973799
2023-02-23,1133.55,768179
2023-02-22,1131.95,944068
2023-02-21,1151.39,610755
2023-02-20,1157.22,488052
2023-02-17,1152.55,909951
2023-02-16,1175.31,356750
2023-02-15,1166.81,1243115
2023-02-14,1164.68,990530
2023-02-13,1178.07,812659
2023-02-10,1180.12,1655228
2023-02-09,1176.07,2186484
2023-02-08,1159.23,3265863
2023-02-07,1133.46,1741642
