DATE,VWAP,VOLUME
2024-01-25,612.47,22684904
2024-01-24,615.78,19221835
2024-01-23,613.88,30954343
2024-01-20,628.99,9886760
2024-01-19,629.47,11675202
2024-01-18,627.46,14695436
2024-01-17,628.6,30016308
2024-01-16,639.72,15025543
2024-01-15,640.23,16844018
2024-01-12,630.54,16620797
2024-01-11,621.85,15533860
2024-01-10,622.15,12742464
2024-01-09,629.7,13400235
2024-01-08,633.49,14739531
2024-01-05,645.02,15984585
2024-01-04,642.95,13883388
2024-01-03,643.21,14571772
2024-01-02,640.47,15164482
2024-01-01,643.93,8295548
2023-12-29,642.49,13221898
2023-12-28,650.46,16982092
2023-12-27,645.18,14417646
2023-12-26,639.19,10153089
2023-12-22,642.31,14998068
2023-12-21,639.02,19915516
2023-12-20,647.91,22542056
2023-12-19,652.88,19964008
2023-12-18,650.04,16221796
2023-12-15,638.08,29813572
2023-12-14,624.37,15813797
2023-12-13,616.9,13977914
2023-12-12,613.75,14494836
2023-12-11,615.99,11706255
2023-12-08,610.67,17722136
2023-12-07,609.73,10725706
2023-12-06,609.96,21439069
2023-12-05,606.37,36430152
2023-12-04,590.28,26077882
2023-12-01,571.83,10614230
2023-11-30,566.22,19758998
2023-11-29,567.58,10299034
2023-11-28,563.42,8153314
2023-11-24,560.63,6529851
2023-11-23,560.72,6376210
2023-11-22,559.0,14909071
2023-11-21,563.11,14280013
2023-11-20,564.68,12714585
2023-11-17,566.16,37173221
2023-11-16,585.4,8622660
2023-11-15,584.93,11397676
2023-11-13,578.71,11282362
2023-11-12,581.85,1947722
2023-11-10,578.7,6773038
2023-11-09,578.27,12434363
2023-11-08,580.52,15434808
2023-11-07,577.36,17923281
2023-11-06,575.7,16499138
2023-11-03,577.35,11371371
2023-11-02,571.18,11148516
2023-11-01,567.16,13575575
2023-10-31,566.37,13039696
2023-10-30,562.29,8593704
2023-10-27,558.49,10415296
2023-10-26,547.27,19424825
2023-10-25,557.67,12134624
2023-10-23,559.35,11875035
2023-10-20,565.15,11110988
2023-10-19,570.92,11441499
2023-10-18,573.26,11777454
2023-10-17,577.46,10765224
2023-10-16,576.02,11290293
2023-10-13,577.07,19064577
2023-10-12,588.33,11983797
2023-10-11,591.39,14220119
2023-10-10,590.68,10373508
2023-10-09,584.53,9189597
2023-10-06,595.04,8216780
2023-10-05,591.18,13248028
2023-10-04,590.41,24914612
2023-10-03,597.63,15322196
2023-09-29,597.22,12189735
2023-09-28,591.37,21960816
2023-09-27,590.74,9865347
2023-09-26,593.8,8327427
2023-09-25,594.79,9712784
2023-09-22,598.12,18784139
2023-09-21,593.29,23453425
2023-09-20,602.78,21314600
2023-09-18,605.18,19305055
2023-09-15,598.23,11756389
2023-09-14,598.77,13178911
2023-09-13,592.24,19377172
2023-09-12,588.44,16093060
2023-09-11,590.12,10946134
2023-09-08,584.57,14032068
2023-09-07,575.6,12390597
2023-09-06,570.55,20609936
2023-09-05,574.05,14444729
2023-09-04,572.87,12108655
2023-09-01,567.55,18121168
2023-08-31,564.43,27898476
2023-08-30,571.91,15281416
2023-08-29,574.01,13144855
2023-08-28,571.84,9711932
2023-08-25,571.2,12271885
2023-08-24,578.0,24131644
2023-08-23,572.66,18579297
2023-08-22,570.63,14073413
2023-08-21,572.74,9380810
2023-08-18,571.79,18253227
2023-08-17,568.81,27910162
2023-08-16,563.54,15725767
2023-08-14,561.45,28084093
2023-08-11,575.36,18221179
2023-08-10,573.33,27325801
2023-08-09,571.15,15769111
2023-08-08,571.54,25038671
2023-08-07,569.52,32736325
2023-08-04,582.94,52725616
2023-08-03,590.78,27774877
2023-08-02,601.63,14977497
2023-08-01,614.09,13493453
2023-07-31,618.92,8605483
2023-07-28,616.59,11930586
2023-07-27,616.65,17444742
2023-07-26,613.49,9999125
2023-07-25,610.43,18503305
2023-07-24,618.22,11756364
2023-07-21,616.02,21040281
2023-07-20,607.09,34038351
2023-07-19,598.2,17556585
2023-07-18,597.04,25757209
2023-07-17,594.72,19378986
2023-07-14,584.92,12190152
2023-07-13,591.82,20024503
2023-07-12,590.82,16029716
2023-07-11,591.37,13221177
2023-07-10,595.13,11417363
2023-07-07,590.44,11707209
2023-07-06,591.75,11323509
2023-07-05,590.5,13598114
2023-07-04,590.37,24799250
2023-07-03,581.26,15421985
2023-06-30,572.3,8718232
2023-06-28,571.17,18028934
2023-06-27,560.63,10694768
2023-06-26,556.75,8360264
2023-06-23,556.89,12215712
2023-06-22,564.62,14979063
2023-06-21,567.46,14946871
2023-06-20,565.75,14549152
2023-06-19,568.29,17903691
2023-06-16,570.69,12660226
2023-06-15,571.49,17934877
2023-06-14,576.96,8948696
2023-06-13,576.44,12612098
2023-06-12,579.37,8786066
2023-06-09,580.81,18870272
2023-06-08,591.21,15971917
2023-06-07,588.49,11113781
2023-06-06,585.23,11199940
2023-06-05,587.86,12920507
2023-06-02,586.45,11323908
2023-06-01,584.03,17820226
2023-05-31,581.09,28797643
2023-05-30,593.57,15031640
2023-05-29,593.5,18432231
2023-05-26,585.13,9788076
2023-05-25,580.06,16479436
2023-05-24,583.06,17616658
2023-05-23,580.66,16120548
2023-05-22,577.12,21484049
2023-05-19,576.07,42293962
2023-05-18,583.0,45656620
2023-05-17,584.82,23739774
2023-05-16,586.03,22178229
2023-05-15,581.35,11410243
2023-05-12,576.81,11319335
2023-05-11,574.59,16016715
2023-05-10,568.87,18561315
2023-05-09,576.83,18959065
2023-05-08,582.04,12990869
2023-05-05,582.81,18163461
2023-05-04,576.93,12533761
2023-05-03,572.27,9699527
2023-05-02,577.47,13667511
2023-04-28,572.14,16183423
2023-04-27,564.04,17845169
2023-04-26,562.67,23143882
2023-04-25,562.34,38142390
2023-04-24,550.47,23335611
2023-04-21,542.35,22599418
2023-04-20,541.56,25588577
2023-04-19,543.32,21156372
2023-04-18,545.32,22283456
2023-04-17,539.11,32476990
2023-04-13,530.4,28597560
2023-04-12,529.65,21292441
2023-04-11,533.07,26414406
2023-04-10,527.28,17335453
2023-04-06,528.66,25125879
2023-04-05,522.57,13574801
2023-04-03,525.94,14210949
2023-03-31,522.06,17356345
2023-03-29,512.21,24203789
2023-03-28,507.96,15833599
2023-03-27,509.28,15674218
2023-03-24,510.24,14416984
2023-03-23,517.21,22097792
2023-03-22,523.63,11619538
2023-03-21,520.33,29485180
2023-03-20,518.98,14275315
2023-03-17,526.55,18787379
2023-03-16,521.02,20040008
2023-03-15,524.47,11282329
2023-03-14,524.87,14750800
2023-03-13,537.53,14373729
2023-03-10,548.4,11522371
2023-03-09,561.63,8993423
2023-03-08,561.23,12637578
2023-03-06,563.48,16162268
2023-03-03,557.8,27656538
2023-03-02,535.45,10376913
2023-03-01,532.39,13510198
2023-02-28,523.97,15768010
2023-02-27,525.49,11048799
2023-02-24,522.25,12253035
2023-02-23,518.82,15535085
2023-02-22,516.6,14763050
2023-02-21,525.46,10223218
2023-02-20,526.99,12570032
2023-02-17,532.32,14192008
2023-02-16,542.25,12767016
2023-02-15,541.31,12796579
2023-02-14,536.92,18559909
2023-02-13,539.69,18488732
2023-02-10,553.81,13824475
2023-02-09,548.33,15061047
2023-02-08,549.76,15502847
2023-02-07,546.83,16195947
2023-02-06,545.24,25338586
