DATE,VWAP,VOLUME
2024-01-25,27707.04,25490
2024-01-24,27617.3,46946
2024-01-23,27759.53,38128
2024-01-20,27365.02,36549
2024-01-19,26640.88,52520
2024-01-18,26112.73,28106
2024-01-17,26673.64,48405
2024-01-16,27034.5,26736
2024-01-15,26835.71,11395
2024-01-12,26865.25,14382
2024-01-11,26873.0,19750
2024-01-10,26946.31,14247
2024-01-09,27506.85,18242
2024-01-08,27378.3,34058
2024-01-05,27363.21,78459
2024-01-04,28316.8,14453
2024-01-03,28227.77,9011
2024-01-02,28137.97,16850
2024-01-01,28555.35,5760
2023-12-29,28596.79,11742
2023-12-28,28618.88,9507
2023-12-27,28760.32,27058
2023-12-26,28596.69,15472
2023-12-22,28174.72,21741
2023-12-21,28250.08,32973
2023-12-20,28423.58,15113
2023-12-19,28566.44,11149
2023-12-18,28622.51,9633
2023-12-15,28760.71,18437
2023-12-14,28678.57,16406
2023-12-13,28524.94,16860
2023-12-12,28584.43,19543
2023-12-11,28108.56,22308
2023-12-08,27842.08,21927
2023-12-07,27953.24,19069
2023-12-06,27794.66,14937
2023-12-05,27813.01,20686
2023-12-04,27556.39,29221
2023-12-01,26893.92,16305
2023-11-30,26581.89,42932
2023-11-29,26066.74,15622
2023-11-28,26050.07,16523
2023-11-24,25799.93,13597
2023-11-23,25940.18,57461
2023-11-22,25962.98,39407
2023-11-21,25939.63,12026
2023-11-20,26084.42,19776
2023-11-17,26268.62,18638
2023-11-16,26164.86,16298
2023-11-15,26262.96,15802
2023-11-13,26194.23,10644
2023-11-12,26319.71,2144
2023-11-10,26225.57,41966
2023-11-09,26012.01,23367
2023-11-08,26400.09,28452
2023-11-07,26590.28,17181
2023-11-06,26372.1,20370
2023-11-03,26002.82,7457
2023-11-02,25813.88,15029
2023-11-01,25610.04,12977
2023-10-31,25683.06,22304
2023-10-30,25695.17,25503
2023-10-27,25487.52,19096
2023-10-26,25570.05,56816
2023-10-25,25712.42,39909
2023-10-23,25875.49,16692
2023-10-20,26096.93,22799
2023-10-19,26257.57,26692
2023-10-18,26761.98,21203
2023-10-17,26706.66,22537
2023-10-16,26969.38,28766
2023-10-13,26777.15,14489
2023-10-12,26600.26,21583
2023-10-11,26550.64,31504
2023-10-10,26019.38,11972
2023-10-09,25655.49,6134
2023-10-06,25744.1,9701
2023-10-05,25739.72,26035
2023-10-04,25453.52,16317
2023-10-03,25571.8,14992
2023-09-29,25484.46,22812
2023-09-28,25988.43,46905
2023-09-27,26293.88,16809
2023-09-26,26048.4,15228
2023-09-25,25833.48,25519
2023-09-22,26053.36,50277
2023-09-21,26262.37,29874
2023-09-20,26201.03,28131
2023-09-18,26504.06,20562
2023-09-15,26783.24,57876
2023-09-14,26276.94,88963
2023-09-13,26086.24,40313
2023-09-12,25909.51,46577
2023-09-11,25846.06,20820
2023-09-08,25867.78,30009
2023-09-07,25701.46,22670
2023-09-06,25659.82,37280
2023-09-05,25645.18,41937
2023-09-04,25299.91,119316
2023-09-01,24004.12,27413
2023-08-31,23877.68,61972
2023-08-30,24078.99,17040
2023-08-29,24124.99,15323
2023-08-28,23978.09,13891
2023-08-25,23786.92,21989
2023-08-24,23770.14,48660
2023-08-23,23877.39,40294
2023-08-22,23815.17,16676
2023-08-21,23621.07,24001
2023-08-18,23625.86,19865
2023-08-17,23896.22,22943
2023-08-16,23705.1,17783
2023-08-14,23779.78,16303
2023-08-11,24135.93,12901
2023-08-10,24034.4,37905
2023-08-09,24151.85,30445
2023-08-08,24278.15,20046
2023-08-07,24214.47,8891
2023-08-04,24200.73,18589
2023-08-03,24103.7,24563
2023-08-02,24028.41,34126
2023-08-01,24044.69,47864
2023-07-31,24136.58,30798
2023-07-28,24048.76,22865
2023-07-27,23942.06,36633
2023-07-26,24071.99,87313
2023-07-25,23542.92,32141
2023-07-24,23221.26,35964
2023-07-21,23168.43,37839
2023-07-20,23529.42,101108
2023-07-19,24018.95,29499
2023-07-18,23974.73,17119
2023-07-17,24183.65,36264
2023-07-14,24201.68,20770
2023-07-13,24238.44,32096
2023-07-12,24080.55,62988
2023-07-11,24094.13,105568
2023-07-10,23965.57,24408
2023-07-07,23927.94,35053
2023-07-06,24343.5,22295
2023-07-05,24361.27,43292
2023-07-04,24068.58,17326
2023-07-03,24091.19,30015
2023-06-30,23944.1,46765
2023-06-28,24038.08,71538
2023-06-27,23979.56,154928
2023-06-26,23300.69,438935
2023-06-23,25262.17,25869
2023-06-22,25740.27,35342
2023-06-21,25598.54,62343
2023-06-20,25911.24,18089
2023-06-19,26123.17,33881
2023-06-16,26239.68,31673
2023-06-15,26140.74,23905
2023-06-14,26217.39,26924
2023-06-13,26053.61,34032
2023-06-12,25575.18,17611
2023-06-09,25606.9,21413
2023-06-08,25816.81,36793
2023-06-07,25673.32,39831
2023-06-06,25461.64,77331
2023-06-05,24905.63,37650
2023-06-02,25102.3,43663
2023-06-01,25222.29,31272
2023-05-31,25214.0,208322
2023-05-30,25610.19,54929
2023-05-29,25217.05,32876
2023-05-26,24760.58,48742
2023-05-25,24146.78,37451
2023-05-24,24064.58,76229
2023-05-23,24998.53,64597
2023-05-22,24602.03,33885
2023-05-19,24120.04,29803
2023-05-18,24270.25,17375
2023-05-17,24586.57,28274
2023-05-16,24497.24,12024
2023-05-15,24739.16,19341
2023-05-12,24651.91,41410
2023-05-11,24768.42,19207
2023-05-10,24322.62,14179
2023-05-09,24317.49,23539
2023-05-08,24605.61,16402
2023-05-05,24487.8,26761
2023-05-04,24453.67,22757
2023-05-03,24157.94,28202
2023-05-02,24156.37,34660
2023-04-28,24084.41,33989
2023-04-27,23773.17,31520
2023-04-26,23972.32,35697
2023-04-25,24041.89,45207
2023-04-24,23793.36,29799
2023-04-21,23991.74,21807
2023-04-20,24405.18,37209
2023-04-19,25003.32,20893
2023-04-18,25550.85,31230
2023-04-17,25719.13,19918
2023-04-13,25911.97,27530
2023-04-12,26214.43,25784
2023-04-11,26282.13,45833
2023-04-10,26245.03,28668
2023-04-06,26314.64,18301
2023-04-05,26414.91,21471
2023-04-03,26071.69,39037
2023-03-31,26198.31,42060
2023-03-29,25603.85,41315
2023-03-28,25255.88,23209
2023-03-27,25631.12,37651
2023-03-24,25385.03,35202
2023-03-23,25474.6,27917
2023-03-22,25502.93,52197
2023-03-21,25063.69,29461
2023-03-20,24993.64,35356
2023-03-17,25291.67,41257
2023-03-16,25387.62,40517
2023-03-15,25399.73,36837
2023-03-14,25351.93,50043
2023-03-13,25718.18,36270
2023-03-10,25869.39,67356
2023-03-09,25923.79,45802
2023-03-08,25849.09,36651
2023-03-06,25538.32,64371
2023-03-03,25807.22,93972
2023-03-02,26548.86,45919
2023-03-01,26249.77,29240
2023-02-28,25949.23,63139
2023-02-27,25325.5,38186
2023-02-24,25550.86,31612
2023-02-23,25875.52,78884
2023-02-22,26140.03,93446
2023-02-21,26669.19,128006
2023-02-20,26545.74,187893
2023-02-17,25608.0,132205
2023-02-16,25030.11,50403
2023-02-15,24746.24,54111
2023-02-14,24506.08,75478
2023-02-13,24241.72,77436
2023-02-10,23633.26,70017
2023-02-09,23511.9,72685
2023-02-08,24173.65,81785
2023-02-07,24225.26,38892
2023-02-06,24160.73,30089
2023-02-03,24539.15,54355
2023-02-02,24408.97,72967
2023-02-01,24147.44,111351
2023-01-31,23332.79,82554
2023-01-30,22480.99,54148
