DATE,VWAP,VOLUME
2024-01-25,2311.59,1065564
2024-01-24,2276.85,1700346
2024-01-23,2279.03,2199854
2024-01-20,2304.8,100445
2024-01-19,2302.81,1059357
2024-01-18,2245.37,1576710
2024-01-17,2290.47,1061729
2024-01-16,2316.68,1329590
2024-01-15,2305.11,556738
2024-01-12,2288.3,1037456
2024-01-11,2256.23,2932789
2024-01-10,2150.73,494145
2024-01-09,2181.46,1092689
2024-01-08,2200.28,1497595
2024-01-05,2150.95,1622887
2024-01-04,2139.62,1539021
2024-01-03,2073.2,1357534
2024-01-02,2028.34,1077927
2024-01-01,2051.11,304722
2023-12-29,2053.08,1058202
2023-12-28,2046.15,657669
2023-12-27,2051.32,750019
2023-12-26,2047.3,964595
2023-12-22,2049.84,1385775
2023-12-21,2016.49,1881198
2023-12-20,2052.2,1887125
2023-12-19,2061.5,2214192
2023-12-18,2061.86,840682
2023-12-15,2091.31,2245653
2023-12-14,2094.54,2384904
2023-12-13,1993.82,1594654
2023-12-12,2003.87,1431809
2023-12-11,2047.28,989693
2023-12-08,2033.91,843673
2023-12-07,2046.26,780832
2023-12-06,2061.48,719690
2023-12-05,2063.45,1659380
2023-12-04,2069.02,1872166
2023-12-01,2012.65,606990
2023-11-30,2002.33,2200458
2023-11-29,1970.37,659944
2023-11-28,1956.76,720833
2023-11-24,1959.96,475859
2023-11-23,1978.96,305865
2023-11-22,1975.99,527815
2023-11-21,1999.92,1017891
2023-11-20,1992.06,572596
2023-11-17,1997.24,1093774
2023-11-16,2034.39,636899
2023-11-15,2018.5,1269373
2023-11-13,1956.23,555900
2023-11-12,1962.82,46003
2023-11-10,1949.63,486020
2023-11-09,1956.66,995069
2023-11-08,1979.96,705075
2023-11-07,1979.43,1761418
2023-11-06,1997.21,1126831
2023-11-03,2006.36,1864454
2023-11-02,1944.93,857752
2023-11-01,1892.06,758859
2023-10-31,1883.17,1691067
2023-10-30,1888.76,2037598
2023-10-27,1947.66,5011333
2023-10-26,1785.39,958593
2023-10-25,1838.07,1369841
2023-10-23,1894.52,2073056
2023-10-20,1877.59,441245
2023-10-19,1862.35,619940
2023-10-18,1870.96,504913
2023-10-17,1882.27,675654
2023-10-16,1871.92,492792
2023-10-13,1877.57,596784
2023-10-12,1890.56,662797
2023-10-11,1902.71,912283
2023-10-10,1869.76,1675512
2023-10-09,1822.99,1070824
2023-10-06,1845.87,1262390
2023-10-05,1838.12,1479477
2023-10-04,1859.67,1340167
2023-10-03,1922.04,2207907
2023-09-29,1909.56,1381785
2023-09-28,1874.16,4327334
2023-09-27,1899.39,643299
2023-09-26,1902.41,1194660
2023-09-25,1909.94,2065421
2023-09-22,1901.31,560957
2023-09-21,1903.88,500996
2023-09-20,1927.39,805659
2023-09-18,1912.7,633362
2023-09-15,1918.78,1354629
2023-09-14,1915.64,1045117
2023-09-13,1901.41,1303584
2023-09-12,1922.81,1380614
2023-09-11,1953.17,1313092
2023-09-08,1942.87,1457511
2023-09-07,1883.48,1207095
2023-09-06,1899.87,1381672
2023-09-05,1898.71,1358719
2023-09-04,1910.57,1579913
2023-09-01,1918.05,751207
2023-08-31,1920.96,2527974
2023-08-30,1900.28,728983
2023-08-29,1862.16,583981
2023-08-28,1856.43,934029
2023-08-25,1865.12,961277
2023-08-24,1896.82,1617054
2023-08-23,1842.45,495096
2023-08-22,1843.5,978416
2023-08-21,1843.65,1373050
2023-08-18,1822.58,857330
2023-08-17,1846.76,1361032
2023-08-16,1794.7,1808084
2023-08-14,1801.26,919664
2023-08-11,1823.29,1026658
2023-08-10,1852.72,1079592
2023-08-09,1849.3,1268060
2023-08-08,1856.15,1971951
2023-08-07,1851.41,985237
2023-08-04,1824.67,1091120
2023-08-03,1814.15,763341
2023-08-02,1831.41,1526197
2023-08-01,1860.15,1069042
2023-07-31,1872.41,1555772
2023-07-28,1815.1,1181146
2023-07-27,1822.62,2325312
2023-07-26,1825.45,799002
2023-07-25,1815.65,1404057
2023-07-24,1802.84,6030098
2023-07-21,1834.29,3110254
2023-07-20,1783.91,575685
2023-07-19,1784.17,1193625
2023-07-18,1786.28,1561175
2023-07-17,1768.76,844775
2023-07-14,1787.75,898440
2023-07-13,1809.35,1243663
2023-07-12,1794.26,1307460
2023-07-11,1762.8,1217122
2023-07-10,1716.0,1285015
2023-07-07,1730.67,1341026
2023-07-06,1783.03,923275
2023-07-05,1804.81,2631621
2023-07-04,1773.04,1789715
2023-07-03,1756.31,1569786
2023-06-30,1737.89,2669645
2023-06-28,1700.28,1811702
2023-06-27,1688.14,1850182
2023-06-26,1673.21,1805538
2023-06-23,1670.18,5355116
2023-06-22,1723.93,4139057
2023-06-21,1723.59,13465423
2023-06-20,1522.12,2762920
2023-06-19,1469.88,3194059
2023-06-16,1399.84,1379509
2023-06-15,1412.87,549578
2023-06-14,1417.45,723458
2023-06-13,1446.6,660172
2023-06-12,1437.53,590220
2023-06-09,1424.87,487176
2023-06-08,1420.09,806116
2023-06-07,1410.67,759808
2023-06-06,1408.34,355440
2023-06-05,1406.95,502008
2023-06-02,1413.35,736009
2023-06-01,1412.1,580575
2023-05-31,1400.13,1216121
2023-05-30,1413.96,789757
2023-05-29,1409.48,1175769
2023-05-26,1376.48,524563
2023-05-25,1373.42,475274
2023-05-24,1368.71,998284
2023-05-23,1358.51,724363
2023-05-22,1317.64,744812
2023-05-19,1345.81,691565
2023-05-18,1342.84,637838
2023-05-17,1337.83,375324
2023-05-16,1341.65,1007426
2023-05-15,1348.86,662823
2023-05-12,1358.29,373700
2023-05-11,1360.8,335168
2023-05-10,1347.45,544299
2023-05-09,1368.67,943591
2023-05-08,1344.88,629269
2023-05-05,1328.62,373515
2023-05-04,1324.44,521108
2023-05-03,1321.72,480881
2023-05-02,1336.53,889058
2023-04-28,1328.42,3075649
2023-04-27,1400.19,1071163
2023-04-26,1405.18,936077
2023-04-25,1417.32,2292627
2023-04-24,1387.38,696858
2023-04-21,1351.1,306722
2023-04-20,1351.8,394557
2023-04-19,1359.28,529941
2023-04-18,1336.43,520458
2023-04-17,1317.4,585482
2023-04-13,1297.69,154923
2023-04-12,1303.46,536120
2023-04-11,1292.35,463230
2023-04-10,1302.04,126077
2023-04-06,1298.97,285678
2023-04-05,1283.94,342106
2023-04-03,1278.19,459492
2023-03-31,1268.9,897987
2023-03-29,1245.3,329827
2023-03-28,1216.65,521025
2023-03-27,1214.74,389678
2023-03-24,1238.06,858054
2023-03-23,1256.9,428237
2023-03-22,1253.4,362950
2023-03-21,1245.56,1015872
2023-03-20,1223.38,680483
2023-03-17,1248.94,836522
2023-03-16,1246.69,797714
2023-03-15,1237.59,397410
2023-03-14,1238.38,628358
2023-03-13,1267.73,736766
2023-03-10,1269.95,289325
2023-03-09,1298.04,1604402
2023-03-08,1233.08,10340585
2023-03-06,1240.57,629184
2023-03-03,1220.02,367345
2023-03-02,1204.53,544128
2023-03-01,1221.64,582647
2023-02-28,1202.92,2652122
2023-02-27,1205.31,287505
2023-02-24,1213.09,492821
2023-02-23,1202.22,328241
2023-02-22,1204.75,650647
2023-02-21,1230.55,432710
2023-02-20,1244.36,461821
2023-02-17,1243.5,415463
2023-02-16,1256.78,660983
2023-02-15,1270.24,247214
2023-02-14,1262.72,210017
2023-02-13,1260.9,357878
2023-02-10,1282.26,671726
2023-02-09,1311.76,287531
2023-02-08,1301.32,343154
2023-02-07,1291.0,388156
2023-02-06,1287.67,417671
2023-02-03,1265.31,520118
2023-02-02,1273.09,510516
2023-02-01,1327.04,1587326
2023-01-31,1271.46,1210700
2023-01-30,1238.5,1181135
