DATE,VWAP,VOLUME
2024-01-25,4188.42,163965
2024-01-24,4145.39,219206
2024-01-23,4073.94,479654
2024-01-20,4105.43,50912
2024-01-19,4121.78,111523
2024-01-18,4042.67,187562
2024-01-17,4101.79,177690
2024-01-16,4146.87,188669
2024-01-15,4147.95,153484
2024-01-12,4149.47,160204
2024-01-11,4167.84,130818
2024-01-10,4187.18,267109
2024-01-09,4171.89,653704
2024-01-08,4024.55,168440
2024-01-05,4080.07,140037
2024-01-04,4107.16,221232
2024-01-03,4084.33,347303
2024-01-02,4019.45,210466
2024-01-01,4031.69,127992
2023-12-29,4003.98,191945
2023-12-28,3973.54,755352
2023-12-27,4017.71,423652
2023-12-26,3992.22,180722
2023-12-22,4001.06,624973
2023-12-21,3911.46,344486
2023-12-20,4003.8,431656
2023-12-19,4041.39,517133
2023-12-18,4117.51,1644295
2023-12-15,3909.53,373182
2023-12-14,3917.37,213194
2023-12-13,3912.69,260174
2023-12-12,3866.22,133309
2023-12-11,3867.73,182945
2023-12-08,3831.96,158838
2023-12-07,3830.38,140310
2023-12-06,3875.44,436674
2023-12-05,3816.82,322252
2023-12-04,3795.34,612081
2023-12-01,3719.42,401008
2023-11-30,3649.15,504344
2023-11-29,3626.08,796758
2023-11-28,3620.42,270594
2023-11-24,3624.85,230400
2023-11-23,3594.09,314273
2023-11-22,3549.22,163675
2023-11-21,3582.75,176350
2023-11-20,3581.23,109320
2023-11-17,3552.92,308682
2023-11-16,3515.26,385606
2023-11-15,3489.48,1195689
2023-11-13,3413.63,96279
2023-11-12,3424.53,12735
2023-11-10,3398.07,268510
2023-11-09,3401.79,405330
2023-11-08,3402.17,193004
2023-11-07,3339.7,401922
2023-11-06,3353.43,449246
2023-11-03,3369.2,253889
2023-11-02,3361.92,119480
2023-11-01,3335.95,351542
2023-10-31,3308.4,1172326
2023-10-30,3435.57,127405
2023-10-27,3425.11,155625
2023-10-26,3394.25,404993
2023-10-25,3421.12,239914
2023-10-23,3441.47,190279
2023-10-20,3441.02,249749
2023-10-19,3459.54,414268
2023-10-18,3539.01,530718
2023-10-17,3600.14,227304
2023-10-16,3601.99,288192
2023-10-13,3583.59,157863
2023-10-12,3586.08,226781
2023-10-11,3586.33,467975
2023-10-10,3583.48,235853
2023-10-09,3524.97,272565
2023-10-06,3529.4,438595
2023-10-05,3531.39,279328
2023-10-04,3545.71,778630
2023-10-03,3584.33,693631
2023-09-29,3666.78,179693
2023-09-28,3659.58,265805
2023-09-27,3695.91,220587
2023-09-26,3686.69,193606
2023-09-25,3685.9,144144
2023-09-22,3709.71,143688
2023-09-21,3765.54,272125
2023-09-20,3773.07,293039
2023-09-18,3787.12,148796
2023-09-15,3819.23,394857
2023-09-14,3820.08,167009
2023-09-13,3829.48,141144
2023-09-12,3852.1,342079
2023-09-11,3965.91,311575
2023-09-08,3944.5,157838
2023-09-07,3954.45,217067
2023-09-06,3928.4,234195
2023-09-05,3903.98,229345
2023-09-04,3863.69,193728
2023-09-01,3877.45,267339
2023-08-31,3935.21,700970
2023-08-30,3867.83,249576
2023-08-29,3868.9,313378
2023-08-28,3830.02,274489
2023-08-25,3816.91,391052
2023-08-24,3804.43,731596
2023-08-23,3707.12,322157
2023-08-22,3670.69,179180
2023-08-21,3650.45,307091
2023-08-18,3611.52,394702
2023-08-17,3595.37,225812
2023-08-16,3606.26,224293
2023-08-14,3601.18,272162
2023-08-11,3679.1,215348
2023-08-10,3693.7,295237
2023-08-09,3720.69,857170
2023-08-08,3764.79,380453
2023-08-07,3833.58,347153
2023-08-04,3795.32,262969
2023-08-03,3792.29,446910
2023-08-02,3833.38,322264
2023-08-01,3924.03,328095
2023-07-31,3980.57,1607883
2023-07-28,3818.88,406503
2023-07-27,3763.38,175794
2023-07-26,3737.76,204966
2023-07-25,3701.11,338623
2023-07-24,3675.95,275127
2023-07-21,3633.91,349749
2023-07-20,3637.92,665457
2023-07-19,3721.03,298054
2023-07-18,3700.42,296474
2023-07-17,3706.61,328623
2023-07-14,3696.88,480955
2023-07-13,3774.68,437516
2023-07-12,3837.75,915976
2023-07-11,3741.6,401637
2023-07-10,3661.58,237350
2023-07-07,3709.57,181797
2023-07-06,3738.76,217269
2023-07-05,3722.98,229547
2023-07-04,3702.3,251167
2023-07-03,3749.2,136744
2023-06-30,3756.35,195272
2023-06-28,3740.13,435094
2023-06-27,3705.71,205417
2023-06-26,3678.43,214506
2023-06-23,3671.66,172186
2023-06-22,3721.97,347354
2023-06-21,3824.39,359152
2023-06-20,3815.42,319316
2023-06-19,3817.69,228208
2023-06-16,3778.13,306264
2023-06-15,3748.48,249510
2023-06-14,3750.63,248920
2023-06-13,3703.64,301398
2023-06-12,3659.6,120613
2023-06-09,3659.84,273260
2023-06-08,3650.49,395757
2023-06-07,3633.67,576222
2023-06-06,3561.76,310048
2023-06-05,3542.59,217131
2023-06-02,3555.4,233641
2023-06-01,3532.41,197495
2023-05-31,3550.55,1927298
2023-05-30,3559.05,797193
2023-05-29,3515.9,497135
2023-05-26,3517.92,443484
2023-05-25,3469.08,735424
2023-05-24,3433.15,861660
2023-05-23,3402.34,1031482
2023-05-22,3377.13,4935790
2023-05-19,3781.37,737307
2023-05-18,3853.97,403526
2023-05-17,3879.23,373120
2023-05-16,3878.35,362842
2023-05-15,3852.15,472666
2023-05-12,3869.61,1229943
2023-05-11,3771.12,516601
2023-05-10,3724.48,561123
2023-05-09,3687.2,474423
2023-05-08,3667.6,323554
2023-05-05,3622.83,349447
2023-05-04,3572.9,400532
2023-05-03,3523.44,347080
2023-05-02,3502.71,344626
2023-04-28,3448.57,451470
2023-04-27,3454.71,482821
2023-04-26,3403.73,722630
2023-04-25,3331.15,417207
2023-04-24,3266.15,128145
2023-04-21,3255.24,192726
2023-04-20,3277.69,192813
2023-04-19,3283.91,270513
2023-04-18,3328.98,236426
2023-04-17,3343.63,176644
2023-04-13,3329.9,242172
2023-04-12,3344.04,153590
2023-04-11,3359.17,218439
2023-04-10,3386.69,247172
2023-04-06,3346.8,277991
2023-04-05,3354.28,243713
2023-04-03,3338.91,152708
2023-03-31,3326.36,194894
2023-03-29,3321.76,355763
2023-03-28,3275.13,160740
2023-03-27,3317.72,284756
2023-03-24,3329.09,332004
2023-03-23,3320.21,251727
2023-03-22,3306.42,359675
2023-03-21,3304.85,226226
2023-03-20,3285.25,143653
2023-03-17,3290.91,364837
2023-03-16,3243.29,225349
2023-03-15,3288.78,262448
2023-03-14,3243.67,245234
2023-03-13,3272.25,275162
2023-03-10,3287.92,218702
2023-03-09,3302.96,323171
2023-03-08,3260.84,312648
2023-03-06,3207.09,231496
2023-03-03,3157.43,302396
2023-03-02,3162.59,565788
2023-03-01,3249.34,220349
2023-02-28,3229.08,393706
2023-02-27,3193.02,306078
2023-02-24,3245.05,160499
2023-02-23,3254.42,316425
2023-02-22,3279.77,514766
