DATE,VWAP,VOLUME
2024-01-25,2285.81,432584
2024-01-24,2282.97,485502
2024-01-23,2259.02,463257
2024-01-20,2299.52,152834
2024-01-19,2322.58,514147
2024-01-18,2291.17,328660
2024-01-17,2326.85,323931
2024-01-16,2357.88,471010
2024-01-15,2338.16,452044
2024-01-12,2345.79,570104
2024-01-11,2318.9,310878
2024-01-10,2293.35,685064
2024-01-09,2343.54,938885
2024-01-08,2420.25,495983
2024-01-05,2487.6,644040
2024-01-04,2505.7,356989
2024-01-03,2507.43,527559
2024-01-02,2461.13,602156
2024-01-01,2483.01,158733
2023-12-29,2485.75,446931
2023-12-28,2470.34,277494
2023-12-27,2476.77,358521
2023-12-26,2494.05,923702
2023-12-22,2442.56,448639
2023-12-21,2388.39,241109
2023-12-20,2443.94,898142
2023-12-19,2427.77,249747
2023-12-18,2446.97,229075
2023-12-15,2455.48,621693
2023-12-14,2414.23,507202
2023-12-13,2394.63,501631
2023-12-12,2410.01,472046
2023-12-11,2431.07,768537
2023-12-08,2424.13,316577
2023-12-07,2446.2,651430
2023-12-06,2476.29,693194
2023-12-05,2454.91,941927
2023-12-04,2428.17,365372
2023-12-01,2417.77,1117033
2023-11-30,2359.9,554716
2023-11-29,2355.36,169254
2023-11-28,2348.28,262258
2023-11-24,2367.85,272673
2023-11-23,2350.15,138094
2023-11-22,2345.92,110135
2023-11-21,2347.86,105600
2023-11-20,2335.52,119747
2023-11-17,2366.0,249581
2023-11-16,2354.58,179132
2023-11-15,2355.78,256187
2023-11-13,2340.2,106449
2023-11-12,2351.07,35217
2023-11-10,2343.74,122114
2023-11-09,2340.65,110366
2023-11-08,2349.94,293823
2023-11-07,2339.87,230686
2023-11-06,2323.16,845207
2023-11-03,2253.51,224509
2023-11-02,2227.55,317319
2023-11-01,2182.0,364774
2023-10-31,2195.32,273868
2023-10-30,2179.41,510094
2023-10-27,2142.2,869519
2023-10-26,2101.58,520179
2023-10-25,2160.23,295526
2023-10-23,2192.21,337697
2023-10-20,2244.21,287602
2023-10-19,2242.02,416271
2023-10-18,2246.22,346382
2023-10-17,2274.51,466647
2023-10-16,2254.95,386468
2023-10-13,2251.46,304818
2023-10-12,2262.75,252564
2023-10-11,2257.13,551311
2023-10-10,2218.32,374416
2023-10-09,2215.39,363638
2023-10-06,2249.25,191139
2023-10-05,2256.04,210258
2023-10-04,2239.18,454546
2023-10-03,2250.44,432577
2023-09-29,2249.51,172256
2023-09-28,2247.87,642092
2023-09-27,2250.41,392260
2023-09-26,2249.96,568665
2023-09-25,2247.64,597945
2023-09-22,2279.28,359377
2023-09-21,2322.84,335304
2023-09-20,2332.95,580839
2023-09-18,2351.34,528852
2023-09-15,2378.92,405072
2023-09-14,2399.74,460211
2023-09-13,2383.65,149596
2023-09-12,2398.08,319884
2023-09-11,2442.56,256721
2023-09-08,2459.65,431834
2023-09-07,2461.41,309914
2023-09-06,2447.09,682571
2023-09-05,2419.17,386564
2023-09-04,2410.83,722079
2023-09-01,2383.54,510493
2023-08-31,2362.92,648345
2023-08-30,2375.86,443739
2023-08-29,2364.71,1162898
2023-08-28,2309.33,227518
2023-08-25,2309.42,270711
2023-08-24,2322.93,345769
2023-08-23,2316.9,420237
2023-08-22,2300.28,180191
2023-08-21,2299.83,257609
2023-08-18,2279.25,306479
2023-08-17,2302.6,258200
2023-08-16,2284.87,389707
2023-08-14,2283.36,253654
2023-08-11,2296.26,414625
2023-08-10,2299.41,597471
2023-08-09,2293.28,404765
2023-08-08,2274.25,551151
2023-08-07,2286.03,454625
2023-08-04,2271.34,305218
2023-08-03,2257.41,403126
2023-08-02,2271.56,1539747
2023-08-01,2218.66,1623153
