DATE,VWAP,VOLUME
2024-01-25,1365.03,1870910
2024-01-24,1379.25,1719845
2024-01-23,1373.21,4129729
2024-01-20,1332.75,284105
2024-01-19,1335.53,1605745
2024-01-18,1323.59,2842572
2024-01-17,1299.42,2544642
2024-01-16,1314.79,824502
2024-01-15,1332.09,1475983
2024-01-12,1321.5,1538242
2024-01-11,1320.43,1320281
2024-01-10,1321.18,1278475
2024-01-09,1322.86,1712486
2024-01-08,1303.79,1678133
2024-01-05,1295.13,2960339
2024-01-04,1316.97,2851729
2024-01-03,1298.5,1699057
2024-01-02,1289.19,3174447
2024-01-01,1258.17,733452
2023-12-29,1259.28,1840160
2023-12-28,1258.81,2043365
2023-12-27,1249.16,2005268
2023-12-26,1247.08,1796483
2023-12-22,1243.73,2058127
2023-12-21,1225.51,1916222
2023-12-20,1237.83,1837031
2023-12-19,1246.62,2187458
2023-12-18,1257.73,2135393
2023-12-15,1238.91,3474624
2023-12-14,1231.71,2341190
2023-12-13,1222.73,2448178
2023-12-12,1225.99,2832873
2023-12-11,1235.6,1172972
2023-12-08,1238.84,1612113
2023-12-07,1235.1,1478355
2023-12-06,1245.17,1704590
2023-12-05,1234.34,930042
2023-12-04,1228.9,1615837
2023-12-01,1231.97,1749751
2023-11-30,1217.95,4672807
2023-11-29,1197.17,1813462
2023-11-28,1192.5,886708
2023-11-24,1198.78,1376695
2023-11-23,1200.82,1177434
2023-11-22,1206.95,1401782
2023-11-21,1198.46,999135
2023-11-20,1190.86,1054810
2023-11-17,1194.23,891965
2023-11-16,1189.46,2205723
2023-11-15,1177.5,2246320
2023-11-13,1180.36,816825
2023-11-12,1182.66,127953
2023-11-10,1178.24,957539
2023-11-09,1177.24,1849169
2023-11-08,1177.88,1702301
2023-11-07,1165.48,1811831
2023-11-06,1148.12,1428537
2023-11-03,1142.69,1741756
2023-11-02,1128.63,3454692
2023-11-01,1107.12,3973264
2023-10-31,1085.36,6475786
2023-10-30,1112.57,1078813
2023-10-27,1113.58,1250965
2023-10-26,1104.21,2223975
2023-10-25,1120.21,1800673
2023-10-23,1131.31,702730
2023-10-20,1141.48,957910
2023-10-19,1144.25,1765065
2023-10-18,1153.23,2178517
2023-10-17,1139.44,798807
2023-10-16,1139.54,1144308
2023-10-13,1138.38,1934884
2023-10-12,1127.54,1221965
2023-10-11,1127.81,1456045
2023-10-10,1125.19,1092093
2023-10-09,1124.18,1080276
2023-10-06,1128.11,1056281
2023-10-05,1118.29,2348562
2023-10-04,1122.31,1803871
2023-10-03,1146.39,1946966
2023-09-29,1159.67,2288577
2023-09-28,1142.96,2685663
2023-09-27,1137.06,2332018
2023-09-26,1123.56,1966198
2023-09-25,1126.52,1009279
2023-09-22,1132.96,1585418
2023-09-21,1147.77,2088934
2023-09-20,1152.45,2303191
2023-09-18,1148.33,962842
2023-09-15,1149.88,2404169
2023-09-14,1144.0,2065163
2023-09-13,1149.55,2115524
2023-09-12,1147.07,3989578
2023-09-11,1132.03,2032253
2023-09-08,1131.97,1789037
2023-09-07,1132.78,1863837
2023-09-06,1141.31,2960249
2023-09-05,1126.54,1698118
2023-09-04,1106.15,1205294
2023-09-01,1109.55,2715249
2023-08-31,1109.73,4782404
2023-08-30,1114.43,1543173
2023-08-29,1114.35,1749707
2023-08-28,1117.08,1959645
2023-08-25,1109.55,1515282
