DATE,VWAP,VOLUME
2024-01-25,1144.68,1125321
2024-01-24,1150.26,1040096
2024-01-23,1151.5,933643
2024-01-20,1156.27,332777
2024-01-19,1157.28,900162
2024-01-18,1138.7,1218211
2024-01-17,1142.18,1272932
2024-01-16,1152.47,1449691
2024-01-15,1152.01,4237485
2024-01-12,1153.09,6018282
2024-01-11,1118.51,1084035
2024-01-10,1109.59,933127
2024-01-09,1114.28,998355
2024-01-08,1105.43,1722755
2024-01-05,1124.24,1207155
2024-01-04,1117.08,2777186
2024-01-03,1090.99,1100701
2024-01-02,1093.86,2635193
2024-01-01,1083.11,936544
2023-12-29,1076.92,5017576
2023-12-28,1034.62,2052402
2023-12-27,1019.9,1799498
2023-12-26,1008.7,1804990
2023-12-22,991.21,1491449
2023-12-21,977.01,1588905
2023-12-20,989.81,4465789
2023-12-19,969.38,3897491
2023-12-18,952.34,999922
2023-12-15,954.2,1155502
2023-12-14,950.95,1980762
2023-12-13,954.12,899820
2023-12-12,952.95,732063
2023-12-11,949.2,476174
2023-12-08,950.64,649090
2023-12-07,955.83,933106
2023-12-06,954.7,982484
2023-12-05,949.96,792716
2023-12-04,947.77,1112904
2023-12-01,945.03,1129388
2023-11-30,940.05,2982505
2023-11-29,934.26,1047897
2023-11-28,930.4,904835
2023-11-24,928.36,521207
2023-11-23,931.59,907511
2023-11-22,930.7,885449
2023-11-21,927.11,804344
2023-11-20,933.21,1169030
2023-11-17,929.17,961365
2023-11-16,925.5,1315309
2023-11-15,924.9,1564164
2023-11-13,915.35,904887
2023-11-12,917.51,157797
2023-11-10,905.88,3846444
2023-11-09,903.18,3194352
2023-11-08,921.42,1090425
2023-11-07,919.58,819721
2023-11-06,919.22,742374
2023-11-03,915.48,901911
2023-11-02,911.35,1082513
2023-11-01,909.76,2678745
2023-10-31,898.64,1082510
2023-10-30,890.14,1147541
2023-10-27,889.25,797507
2023-10-26,880.14,1966650
2023-10-25,888.92,1531972
2023-10-23,892.78,973113
2023-10-20,894.95,2295312
2023-10-19,890.24,1430475
2023-10-18,899.24,1218914
2023-10-17,919.34,3228492
2023-10-16,912.31,1524935
2023-10-13,909.59,5120134
2023-10-12,890.43,775364
2023-10-11,892.67,1062565
2023-10-10,888.1,870512
2023-10-09,877.7,1200788
2023-10-06,872.73,960117
2023-10-05,861.69,749977
2023-10-04,863.56,623081
2023-10-03,871.55,1183376
2023-09-29,878.73,817204
2023-09-28,880.81,1801983
2023-09-27,891.92,1233749
2023-09-26,901.55,2064298
2023-09-25,892.27,2700627
2023-09-22,879.44,1518828
2023-09-21,869.5,1165593
2023-09-20,870.63,924868
2023-09-18,881.52,1084407
2023-09-15,877.34,1104866
2023-09-14,886.54,2205160
2023-09-13,879.65,2812359
2023-09-12,865.27,1795152
2023-09-11,860.96,1039583
2023-09-08,855.86,901217
2023-09-07,858.74,3458930
2023-09-06,868.21,3618782
2023-09-05,847.59,745626
2023-09-04,843.01,705024
2023-09-01,842.7,661741
2023-08-31,836.89,2025392
2023-08-30,846.21,604884
2023-08-29,838.92,606053
2023-08-28,837.08,649996
2023-08-25,836.2,1149261
2023-08-24,847.26,1482572
2023-08-23,843.94,516482
2023-08-22,849.15,782931
2023-08-21,846.19,680778
2023-08-18,843.26,1145798
2023-08-17,841.71,1105325
2023-08-16,840.15,360863
2023-08-14,840.85,754694
2023-08-11,840.05,909080
2023-08-10,852.62,941390
2023-08-09,854.13,1704615
2023-08-08,842.8,1252297
2023-08-07,835.85,1106208
2023-08-04,835.09,887582
2023-08-03,837.71,1375222
2023-08-02,842.78,1604731
2023-08-01,857.53,987812
2023-07-31,858.27,1454789
2023-07-28,856.61,2365708
2023-07-27,856.8,3203072
2023-07-26,876.3,1940116
2023-07-25,864.06,873678
2023-07-24,860.58,1149904
2023-07-21,861.91,1230534
2023-07-20,867.29,1381298
2023-07-19,859.9,952601
2023-07-18,855.77,1412514
2023-07-17,853.68,1200820
2023-07-14,845.61,1705168
2023-07-13,842.65,985928
2023-07-12,844.08,1435731
2023-07-11,834.86,2167322
2023-07-10,827.56,1177214
2023-07-07,842.86,1811594
2023-07-06,844.91,2363769
2023-07-05,847.13,2537154
2023-07-04,856.17,759030
2023-07-03,859.75,1226135
2023-06-30,858.1,1394632
2023-06-28,856.23,914411
2023-06-27,858.59,1131450
2023-06-26,860.23,3022935
2023-06-23,840.92,806171
2023-06-22,847.55,988651
2023-06-21,864.57,1439299
2023-06-20,855.82,1178858
2023-06-19,861.56,1308412
2023-06-16,862.1,1754715
2023-06-15,864.61,3106263
2023-06-14,854.38,7652583
2023-06-13,814.45,2697513
2023-06-12,801.7,3168760
2023-06-09,805.11,835145
2023-06-08,814.49,1117198
2023-06-07,814.78,3971089
2023-06-06,790.05,744002
2023-06-05,795.15,774985
2023-06-02,796.57,697200
2023-06-01,797.5,703293
2023-05-31,797.6,2201928
2023-05-30,791.66,601270
2023-05-29,793.64,1171159
2023-05-26,788.11,961268
2023-05-25,777.91,980266
2023-05-24,770.75,861728
2023-05-23,768.44,826476
2023-05-22,764.75,548104
2023-05-19,762.9,1233831
2023-05-18,780.23,1004449
2023-05-17,777.85,907649
2023-05-16,786.93,658173
2023-05-15,787.96,803643
2023-05-12,789.31,747655
2023-05-11,788.44,968940
2023-05-10,789.28,476497
2023-05-09,788.89,652399
2023-05-08,785.76,1048005
2023-05-05,777.69,617459
2023-05-04,775.25,1001352
2023-05-03,781.22,1189150
2023-05-02,774.77,1438425
2023-04-28,760.21,1261145
2023-04-27,750.83,1664942
2023-04-26,737.11,3725680
2023-04-25,733.08,1783879
2023-04-24,725.14,6009290
2023-04-21,699.91,966029
2023-04-20,700.51,1263116
2023-04-19,700.86,1235220
2023-04-18,710.59,1323608
2023-04-17,714.32,1180651
2023-04-13,720.31,502380
2023-04-12,718.89,702063
2023-04-11,718.53,776167
2023-04-10,722.7,916628
2023-04-06,728.22,738748
2023-04-05,723.95,947741
2023-04-03,714.89,797533
2023-03-31,707.58,972962
2023-03-29,698.82,1160832
2023-03-28,696.35,1113702
2023-03-27,705.43,3695292
2023-03-24,703.36,960470
2023-03-23,709.67,587643
2023-03-22,711.09,776214
2023-03-21,702.7,721243
2023-03-20,697.72,1018438
2023-03-17,704.68,2111478
2023-03-16,693.66,974834
2023-03-15,692.33,1119482
2023-03-14,694.88,1501579
2023-03-13,698.08,1158330
2023-03-10,705.77,970983
2023-03-09,714.41,905544
2023-03-08,718.46,1026628
2023-03-06,715.33,739338
2023-03-03,709.24,873264
2023-03-02,711.54,969963
2023-03-01,714.0,991540
2023-02-28,713.93,2395442
2023-02-27,707.41,1064436
2023-02-24,716.65,1040351
2023-02-23,717.93,1165270
2023-02-22,724.26,1690647
2023-02-21,726.17,673449
2023-02-20,720.71,1316763
2023-02-17,729.34,624402
2023-02-16,732.11,837121
2023-02-15,722.54,727403
2023-02-14,720.07,563171
2023-02-13,721.39,599763
2023-02-10,724.39,651630
2023-02-09,722.59,688243
2023-02-08,723.3,1521104
2023-02-07,727.86,1244247
2023-02-06,728.11,852170
2023-02-03,727.19,1752697
2023-02-02,737.67,704702
2023-02-01,740.45,933031
2023-01-31,729.7,2189899
2023-01-30,735.21,1295677
