DATE,VWAP,VOLUME
2024-01-25,809.73,10109720
2024-01-24,803.01,7217542
2024-01-23,810.46,9436209
2024-01-20,821.45,2837388
2024-01-19,822.98,5706888
2024-01-18,812.7,11500495
2024-01-17,808.24,7895439
2024-01-16,821.11,10159066
2024-01-15,814.14,4835856
2024-01-12,815.16,7664094
2024-01-11,813.62,11075167
2024-01-10,803.37,9980044
2024-01-09,802.08,12872757
2024-01-08,793.09,7668471
2024-01-05,795.04,11091198
2024-01-04,796.06,14298444
2024-01-03,782.06,8559060
2024-01-02,787.89,13791090
2024-01-01,791.96,12570717
2023-12-29,785.47,41170191
2023-12-28,748.29,14906199
2023-12-27,735.95,15052800
2023-12-26,721.73,7229143
2023-12-22,724.5,12062238
2023-12-21,707.01,7702232
2023-12-20,717.08,8107602
2023-12-19,729.07,4511101
2023-12-18,731.89,5450397
2023-12-15,729.16,12082079
2023-12-14,720.82,6732352
2023-12-13,718.31,5807736
2023-12-12,718.41,6461539
2023-12-11,721.13,6403209
2023-12-08,717.12,8557203
2023-12-07,722.07,10451801
2023-12-06,715.64,12148825
2023-12-05,709.54,9601509
2023-12-04,707.35,9348036
2023-12-01,705.97,10565415
2023-11-30,705.84,24275245
2023-11-29,705.36,16122864
2023-11-28,690.87,16015860
2023-11-24,674.64,6951690
2023-11-23,680.52,5885370
2023-11-22,681.31,9279642
2023-11-21,679.23,7291057
2023-11-20,677.12,8324354
2023-11-17,684.01,9563220
2023-11-16,680.37,17501373
2023-11-15,664.2,11324434
2023-11-13,651.93,3279829
2023-11-12,654.18,2245583
2023-11-10,648.99,6425792
2023-11-09,650.01,10155047
2023-11-08,645.25,6551864
2023-11-07,646.17,6588073
2023-11-06,646.7,10801301
2023-11-03,652.41,23087856
2023-11-02,633.82,9934305
2023-11-01,629.5,8785264
2023-10-31,632.2,11395766
2023-10-30,628.05,12786883
2023-10-27,635.03,10232856
2023-10-26,628.33,8889373
2023-10-25,643.25,8229559
2023-10-23,654.7,8564004
2023-10-20,669.28,11759568
2023-10-19,666.13,10633043
2023-10-18,664.73,14908778
2023-10-17,661.44,10263992
2023-10-16,669.55,20005816
2023-10-13,657.36,28011678
2023-10-12,637.46,5928732
2023-10-11,635.1,7701931
2023-10-10,629.02,9833429
2023-10-09,617.82,6381189
2023-10-06,622.95,7922379
2023-10-05,618.39,7893892
2023-10-04,613.73,7612709
2023-10-03,621.92,6894577
2023-09-29,628.64,8969405
2023-09-28,617.93,6768196
2023-09-27,618.76,5960490
2023-09-26,621.89,6271108
2023-09-25,620.6,6390681
2023-09-22,625.62,6551917
2023-09-21,631.47,9266854
2023-09-20,642.84,11777925
2023-09-18,640.37,11108349
2023-09-15,633.2,18917805
2023-09-14,626.87,5722295
2023-09-13,625.18,6988358
2023-09-12,624.3,12541377
2023-09-11,633.71,8780510
2023-09-08,624.03,16190749
2023-09-07,613.64,6520293
2023-09-06,608.59,6520064
2023-09-05,612.62,8560651
2023-09-04,609.08,8392665
2023-09-01,609.91,10297492
2023-08-31,603.88,10544271
2023-08-30,609.24,5676055
2023-08-29,607.69,6956667
2023-08-28,604.74,7479254
2023-08-25,606.07,16075509
2023-08-24,613.96,7096025
2023-08-23,615.89,8248333
2023-08-22,622.7,8534395
2023-08-21,620.41,9580365
2023-08-18,615.76,11190760
2023-08-17,614.99,12119293
2023-08-16,610.75,14562074
2023-08-14,602.18,14492164
2023-08-11,616.76,9347707
2023-08-10,605.43,53116980
2023-08-09,614.69,13362350
2023-08-08,609.23,8863640
2023-08-07,611.74,9893466
2023-08-04,617.24,11806739
2023-08-03,620.1,11458920
2023-08-02,626.67,15762687
2023-08-01,647.67,8924219
2023-07-31,642.98,7502361
2023-07-28,636.11,9299530
2023-07-27,643.67,11696851
2023-07-26,650.43,31673714
2023-07-25,638.97,13988137
2023-07-24,630.31,12247844
2023-07-21,626.12,12914610
2023-07-20,620.11,7834891
2023-07-19,618.79,11128348
2023-07-18,612.34,10359400
2023-07-17,620.26,7580645
2023-07-14,622.85,7010179
2023-07-13,622.04,9689708
2023-07-12,624.84,10785502
2023-07-11,625.88,12051173
2023-07-10,625.48,23802524
2023-07-07,607.47,21066726
2023-07-06,597.4,14356681
2023-07-05,588.78,8715919
2023-07-04,592.93,6917886
2023-07-03,594.87,11131048
2023-06-30,594.94,12488047
2023-06-28,584.81,16720940
2023-06-27,573.44,9404450
2023-06-26,563.79,6986621
2023-06-23,561.07,9362695
2023-06-22,575.59,11229179
2023-06-21,580.49,9146332
2023-06-20,576.62,18074902
2023-06-19,568.5,6280388
2023-06-16,569.1,8736313
2023-06-15,570.84,12475759
2023-06-14,567.76,12713256
2023-06-13,564.83,12845897
2023-06-12,564.2,7599572
2023-06-09,562.97,9361533
2023-06-08,565.72,21527339
2023-06-07,565.55,20855239
2023-06-06,552.52,15395092
2023-06-05,544.66,15008325
2023-06-02,536.06,12294728
2023-06-01,530.62,12511265
2023-05-31,525.17,12327284
2023-05-30,520.08,5134688
2023-05-29,522.06,6596504
2023-05-26,516.76,8360570
2023-05-25,512.49,11543712
2023-05-24,523.7,7648284
2023-05-23,527.44,12256902
2023-05-22,522.43,9978339
2023-05-19,517.71,19343560
2023-05-18,512.17,12293322
2023-05-17,518.54,13684847
2023-05-16,529.8,16514882
2023-05-15,531.67,38270067
2023-05-12,515.57,19766717
2023-05-11,509.78,11454020
2023-05-10,507.76,12481404
2023-05-09,507.14,19818780
2023-05-08,495.55,23515333
2023-05-05,480.72,4830674
2023-05-04,482.26,5650101
2023-05-03,482.03,8529233
2023-05-02,479.39,11542592
2023-04-28,484.2,9947813
2023-04-27,480.37,7085793
2023-04-26,477.25,7791425
2023-04-25,474.31,6888352
2023-04-24,472.67,8020593
2023-04-21,470.72,8478118
2023-04-20,473.98,14264206
2023-04-19,471.98,7368610
2023-04-18,475.72,16140056
2023-04-17,470.18,10710167
2023-04-13,468.31,12733670
2023-04-12,464.15,13552440
2023-04-11,459.17,14495222
2023-04-10,465.71,50462653
2023-04-06,433.76,10907492
2023-04-05,426.05,8821326
2023-04-03,422.32,6948329
2023-03-31,417.42,11037881
2023-03-29,406.81,10478506
2023-03-28,405.25,9553659
2023-03-27,413.4,7433933
2023-03-24,417.52,6877960
2023-03-23,420.0,9817460
2023-03-22,416.03,5728054
2023-03-21,411.33,7391950
2023-03-20,409.3,10075022
2023-03-17,418.77,8658701
2023-03-16,412.66,11854885
2023-03-15,416.48,7681009
2023-03-14,418.3,9189043
2023-03-13,426.9,8780169
2023-03-10,435.35,10417015
2023-03-09,435.16,5696737
2023-03-08,438.57,7850052
2023-03-06,437.38,11307064
2023-03-03,426.38,8027522
2023-03-02,422.29,5661103
2023-03-01,425.74,7595114
2023-02-28,421.85,9652088
2023-02-27,418.13,10438928
2023-02-24,429.41,7895024
2023-02-23,432.39,9278920
2023-02-22,431.2,7209130
2023-02-21,440.11,8957930
2023-02-20,441.37,9717197
2023-02-17,440.3,6955445
2023-02-16,443.43,7670688
2023-02-15,441.35,9857016
2023-02-14,439.74,8565559
2023-02-13,441.95,8333767
2023-02-10,440.73,14798390
2023-02-09,436.02,7349418
2023-02-08,437.21,8668267
2023-02-07,436.64,9023645
2023-02-06,442.71,6795084
2023-02-03,445.83,13067403
2023-02-02,444.35,11344554
2023-02-01,452.16,23798589
2023-01-31,450.19,25154475
2023-01-30,443.81,18316743
