DATE,VWAP,VOLUME
2024-01-25,362.89,19949672
2024-01-24,354.16,19810051
2024-01-23,352.56,25989141
2024-01-20,347.93,5631401
2024-01-19,348.36,13483525
2024-01-18,343.71,16863929
2024-01-17,351.08,12084011
2024-01-16,355.51,14129539
2024-01-15,357.2,12869181
2024-01-12,359.1,20933438
2024-01-11,355.04,33499272
2024-01-10,345.01,23432704
2024-01-09,341.5,14504090
2024-01-08,340.23,14548833
2024-01-05,344.28,37557423
2024-01-04,335.8,26968463
2024-01-03,327.27,9954264
2024-01-02,327.63,15689859
2024-01-01,332.85,10096386
2023-12-29,331.53,19909151
2023-12-28,327.48,16182026
2023-12-27,325.49,10349372
2023-12-26,327.94,11314266
2023-12-22,328.16,15179674
2023-12-21,325.84,26393082
2023-12-20,334.39,40678163
2023-12-19,334.71,11713755
2023-12-18,337.35,15561817
2023-12-15,334.41,17080409
2023-12-14,337.18,16560229
2023-12-13,336.82,33632037
2023-12-12,331.54,22627713
2023-12-11,330.91,40351523
2023-12-08,326.16,74992149
2023-12-07,318.48,152381610
2023-12-06,291.62,45934967
2023-12-05,280.4,21565252
2023-12-04,281.64,28890541
2023-12-01,275.51,32159928
2023-11-30,267.6,20403510
2023-11-29,273.45,26392589
2023-11-28,267.11,24745437
2023-11-24,258.79,7153583
2023-11-23,261.02,5466513
2023-11-22,261.63,4537969
2023-11-21,262.97,6931541
2023-11-20,261.73,4859705
2023-11-17,263.1,6452353
2023-11-16,263.37,13551131
2023-11-15,259.93,8436750
2023-11-13,255.51,10251490
2023-11-12,253.23,2568352
2023-11-10,250.27,6974541
2023-11-09,249.38,15388769
2023-11-08,253.77,13131393
2023-11-07,250.39,7066697
2023-11-06,249.1,9389448
2023-11-03,244.95,5030180
2023-11-02,242.55,9816661
2023-11-01,238.54,4027707
2023-10-31,239.89,6266858
2023-10-30,237.67,5661460
2023-10-27,237.05,7031353
2023-10-26,233.03,9272278
2023-10-25,237.5,9555885
2023-10-23,242.37,9550108
2023-10-20,248.8,7678941
2023-10-19,251.61,4782988
2023-10-18,253.97,6003534
2023-10-17,257.6,6338761
2023-10-16,255.03,6720120
2023-10-13,254.42,4300916
2023-10-12,255.76,5375168
2023-10-11,254.64,6245802
2023-10-10,253.29,5951928
2023-10-09,251.53,11210941
2023-10-06,258.88,3828731
2023-10-05,258.19,6675848
2023-10-04,257.35,12531396
2023-10-03,263.11,7137959
2023-09-29,262.97,10214222
2023-09-28,260.45,11266992
2023-09-27,258.94,5650167
2023-09-26,261.2,9193002
2023-09-25,256.77,5384845
2023-09-22,257.3,6831744
2023-09-21,258.46,7948656
2023-09-20,263.35,9016803
2023-09-18,264.86,8425365
2023-09-15,265.17,7612098
2023-09-14,265.53,7915449
2023-09-13,264.52,11803636
2023-09-12,266.45,23738913
2023-09-11,271.56,16450404
2023-09-08,271.02,53019645
2023-09-07,262.51,17703150
2023-09-06,257.35,9250338
2023-09-05,259.45,14987193
2023-09-04,258.57,18767431
2023-09-01,253.3,28052910
2023-08-31,246.91,11641155
2023-08-30,248.9,8228142
2023-08-29,247.32,7267365
2023-08-28,245.18,7395680
2023-08-25,248.03,15076489
2023-08-24,250.41,28698029
2023-08-23,246.22,23010389
2023-08-22,241.82,22416067
2023-08-21,236.27,14519170
2023-08-18,231.17,6814759
2023-08-17,233.51,6535775
2023-08-16,232.02,6716135
2023-08-14,230.98,10730311
2023-08-11,236.61,6875382
2023-08-10,238.61,25155361
2023-08-09,234.16,10515447
2023-08-08,233.75,9464101
2023-08-07,233.94,7286281
2023-08-04,235.97,7710303
2023-08-03,235.04,10784942
2023-08-02,237.63,22636262
2023-08-01,242.49,27535144
2023-07-31,237.08,18682254
2023-07-28,232.05,57651036
2023-07-27,221.39,7845672
2023-07-26,221.53,8511027
2023-07-25,219.53,7602866
2023-07-24,217.88,4387406
2023-07-21,218.1,5715378
2023-07-20,218.69,6910107
2023-07-19,218.92,14481130
2023-07-18,222.26,6695221
2023-07-17,223.26,7071156
2023-07-14,220.15,10191602
2023-07-13,223.95,9389403
2023-07-12,226.21,7366992
2023-07-11,225.69,5156417
2023-07-10,226.18,7143637
2023-07-07,229.3,16592198
2023-07-06,227.74,30885511
2023-07-05,222.1,5879342
