DATE,VWAP,VOLUME
2024-01-25,134.19,61358839
2024-01-24,133.35,39340119
2024-01-23,132.31,35373970
2024-01-20,134.26,16578179
2024-01-19,133.63,32653013
2024-01-18,130.47,45273496
2024-01-17,133.28,58982971
2024-01-16,136.59,56361287
2024-01-15,134.79,34158775
2024-01-12,135.58,32883921
2024-01-11,135.05,23113349
2024-01-10,133.72,27213624
2024-01-09,133.81,30736868
2024-01-08,133.63,39559717
2024-01-05,134.34,71330190
2024-01-04,134.42,43913498
2024-01-03,136.44,45176618
2024-01-02,139.16,27764060
2024-01-01,140.16,21186105
2023-12-29,139.52,49202910
2023-12-28,137.88,34661176
2023-12-27,137.4,48101400
2023-12-26,135.43,25936447
2023-12-22,133.44,37357334
2023-12-21,130.01,34914399
2023-12-20,132.87,39495961
2023-12-19,135.81,27726431
2023-12-18,136.73,38461877
2023-12-15,135.24,77377446
2023-12-14,132.33,43372143
2023-12-13,130.59,22767972
2023-12-12,130.87,30696410
2023-12-11,129.82,24038059
2023-12-08,129.66,34393711
2023-12-07,130.51,34686333
2023-12-06,132.0,40753593
2023-12-05,131.38,35192149
2023-12-04,131.07,41230928
2023-12-01,129.41,31192397
2023-11-30,127.97,40165104
2023-11-29,127.6,23092165
2023-11-28,126.49,18377843
2023-11-24,126.15,14719450
2023-11-23,126.78,30736851
2023-11-22,126.11,19588063
2023-11-21,125.95,29643312
2023-11-20,124.89,18780290
2023-11-17,125.16,23319439
2023-11-16,124.48,30836413
2023-11-15,123.38,38344393
2023-11-13,120.74,17951775
2023-11-12,120.92,3984034
2023-11-10,119.81,23584510
2023-11-09,119.7,22979112
2023-11-08,119.11,22552386
2023-11-07,119.62,25818033
2023-11-06,118.62,27883152
2023-11-03,117.73,31747230
2023-11-02,116.7,72538804
2023-11-01,117.78,24717941
2023-10-31,119.02,22319950
2023-10-30,119.37,18753217
2023-10-27,120.34,28424007
2023-10-26,119.81,36298907
2023-10-25,121.79,27346103
2023-10-23,120.97,30699479
2023-10-20,124.01,30746140
2023-10-19,125.46,30941319
2023-10-18,127.42,20926079
2023-10-17,127.9,24241710
2023-10-16,126.51,23868700
2023-10-13,124.93,26912800
2023-10-12,126.09,19361688
2023-10-11,125.48,24455932
2023-10-10,124.78,28745957
2023-10-09,123.88,21457836
2023-10-06,125.85,21928671
2023-10-05,125.31,27063441
2023-10-04,125.49,33272725
2023-10-03,127.82,18613557
2023-09-29,128.73,28406435
2023-09-28,127.69,29982233
2023-09-27,127.79,33277329
2023-09-26,129.5,48936598
2023-09-25,127.29,23466981
2023-09-22,127.09,34059194
2023-09-21,128.19,29826091
2023-09-20,129.55,43627379
2023-09-18,131.81,62420823
2023-09-15,131.48,85058495
2023-09-14,132.32,58800620
2023-09-13,129.32,23371459
2023-09-12,130.05,38065283
2023-09-11,130.71,33377857
2023-09-08,130.24,34313523
2023-09-07,130.0,30268235
