DATE,VWAP,VOLUME
2024-01-25,3803.09,2205154
2024-01-24,3842.01,2657709
2024-01-23,3881.8,2618854
2024-01-20,3896.81,516477
2024-01-19,3942.73,2941975
2024-01-18,3887.98,2239110
2024-01-17,3882.57,3458696
2024-01-16,3873.57,1432672
2024-01-15,3922.67,2801505
2024-01-12,3873.63,6813450
2024-01-11,3738.42,1777909
2024-01-10,3706.94,1292227
2024-01-09,3716.16,1370944
2024-01-08,3696.43,1067805
2024-01-05,3721.7,1963127
2024-01-04,3668.32,3598144
2024-01-03,3711.76,1803075
2024-01-02,3787.05,1344068
2024-01-01,3804.27,825907
2023-12-29,3796.92,1574996
2023-12-28,3811.22,1682889
2023-12-27,3792.62,1293976
2023-12-26,3806.25,1285231
2023-12-22,3805.11,2413058
2023-12-21,3783.4,1517562
2023-12-20,3841.02,2586083
2023-12-19,3814.98,2004435
2023-12-18,3872.72,2521612
2023-12-15,3810.1,8531230
2023-12-14,3664.15,3290396
2023-12-13,3596.72,3850968
2023-12-12,3673.19,2236866
2023-12-11,3638.96,1102503
2023-12-08,3622.26,1641155
2023-12-07,3615.53,1967653
2023-12-06,3573.48,1896572
2023-12-05,3520.66,1377656
2023-12-04,3514.58,1625213
2023-12-01,3503.53,1172141
2023-11-30,3492.69,3266235
2023-11-29,3503.48,1441634
2023-11-28,3454.1,1689195
2023-11-24,3474.52,1989733
2023-11-23,3516.84,2729804
2023-11-22,3510.71,1798051
2023-11-21,3525.61,1807236
2023-11-20,3518.2,1475621
2023-11-17,3510.08,2021292
2023-11-16,3484.46,3951984
2023-11-15,3390.15,2059802
2023-11-13,3333.43,1030990
2023-11-12,3355.7,173346
2023-11-10,3331.7,1338557
2023-11-09,3363.59,2112352
2023-11-08,3387.91,992899
2023-11-07,3378.26,1191144
2023-11-06,3374.03,1099852
2023-11-03,3362.79,1402598
2023-11-02,3363.98,1245384
2023-11-01,3347.22,1563475
2023-10-31,3368.0,999811
2023-10-30,3368.57,910972
2023-10-27,3351.03,1108851
2023-10-26,3346.35,1984471
2023-10-25,3398.15,1518537
2023-10-23,3442.6,1106272
2023-10-20,3485.4,1481211
2023-10-19,3461.86,1514545
2023-10-18,3500.28,1408245
2023-10-17,3516.16,1672065
2023-10-16,3539.03,1671104
2023-10-13,3562.28,2890357
2023-10-12,3555.4,4241281
2023-10-11,3625.72,2426417
2023-10-10,3623.9,1848148
2023-10-09,3652.75,4233074
2023-10-06,3606.29,2075691
2023-10-05,3589.48,2990768
2023-10-04,3504.95,1788138
2023-10-03,3508.19,1948148
2023-09-29,3536.95,2243791
2023-09-28,3558.09,1755753
2023-09-27,3587.16,1541134
2023-09-26,3561.51,1726062
2023-09-25,3579.7,1238778
2023-09-22,3605.09,1989083
2023-09-21,3559.97,2004073
2023-09-20,3612.14,1649396
2023-09-18,3605.1,1395753
2023-09-15,3591.93,2952897
2023-09-14,3563.35,2604721
2023-09-13,3568.13,1754929
2023-09-12,3550.35,4476016
2023-09-11,3471.77,1783604
2023-09-08,3446.91,1518917
2023-09-07,3443.88,1885092
2023-09-06,3424.44,1314818
2023-09-05,3430.4,1501842
2023-09-04,3405.13,1828332
2023-09-01,3379.92,1277950
2023-08-31,3369.12,3417652
2023-08-30,3397.7,1188200
2023-08-29,3375.62,944517
2023-08-28,3374.18,1037485
2023-08-25,3371.84,1158046
2023-08-24,3392.89,1152881
2023-08-23,3392.66,1330046
2023-08-22,3379.46,1222012
2023-08-21,3396.9,1375579
2023-08-18,3373.82,2526749
2023-08-17,3435.28,1843241
2023-08-16,3453.07,1328445
2023-08-14,3434.19,1190425
2023-08-11,3444.54,1679974
2023-08-10,3442.07,1096701
2023-08-09,3449.06,1794589
2023-08-08,3470.86,1634225
2023-08-07,3467.58,1853889
2023-08-04,3445.2,2248493
2023-08-03,3397.85,2026351
2023-08-02,3435.39,1914899
2023-08-01,3443.71,1956167
2023-07-31,3406.98,2743678
2023-07-28,3352.74,2599831
2023-07-27,3395.09,1701769
2023-07-26,3399.91,1066803
2023-07-25,3396.67,1272980
2023-07-24,3397.83,1680132
2023-07-21,3396.22,3770223
2023-07-20,3453.22,1715404
2023-07-19,3476.09,2405370
2023-07-18,3496.72,2600090
2023-07-17,3512.83,2743228
2023-07-14,3443.41,6306101
2023-07-13,3338.97,4585146
2023-07-12,3266.42,1515240
2023-07-11,3277.42,1110172
2023-07-10,3283.62,1407431
2023-07-07,3334.15,1789326
2023-07-06,3314.41,1848238
2023-07-05,3318.57,1453008
2023-07-04,3298.36,1656681
2023-07-03,3286.37,1687264
2023-06-30,3280.38,2672406
2023-06-28,3215.84,1575872
2023-06-27,3194.42,863542
2023-06-26,3189.39,1978803
2023-06-23,3221.22,1119505
2023-06-22,3246.23,1529603
2023-06-21,3247.51,1645987
2023-06-20,3218.86,1528452
2023-06-19,3194.51,1468186
2023-06-16,3175.76,4156189
2023-06-15,3225.77,2273810
2023-06-14,3244.95,1658544
2023-06-13,3249.64,1371928
2023-06-12,3238.21,2324605
2023-06-09,3219.25,1775689
2023-06-08,3246.4,1759366
2023-06-07,3261.2,1567196
2023-06-06,3235.85,2022849
2023-06-05,3301.42,1861468
2023-06-02,3310.69,2030661
2023-06-01,3325.54,1177314
2023-05-31,3294.05,5815424
2023-05-30,3311.75,1344224
2023-05-29,3333.7,1210372
2023-05-26,3310.97,1791115
2023-05-25,3287.2,1374917
2023-05-24,3302.83,1016555
2023-05-23,3310.23,1687418
2023-05-22,3272.82,1333243
2023-05-19,3219.92,1152449
2023-05-18,3203.72,1369364
2023-05-17,3216.79,1588815
2023-05-16,3266.6,986306
2023-05-15,3272.51,1150390
2023-05-12,3274.1,1027479
2023-05-11,3293.2,1719623
2023-05-10,3286.72,1559987
2023-05-09,3267.91,1107375
2023-05-08,3245.43,928235
2023-05-05,3226.43,1710027
2023-05-04,3210.2,1953253
2023-05-03,3184.78,2468285
2023-05-02,3222.28,2321159
2023-04-28,3213.13,2931312
2023-04-27,3182.88,2434446
2023-04-26,3197.96,2000029
2023-04-25,3176.72,2024090
2023-04-24,3151.83,1640676
2023-04-21,3135.53,1929184
2023-04-20,3094.26,2419999
2023-04-19,3098.63,3298034
2023-04-18,3127.6,2617302
2023-04-17,3111.19,5505048
2023-04-13,3193.66,4174070
2023-04-12,3232.53,2417727
2023-04-11,3223.89,2348779
2023-04-10,3251.36,2203187
2023-04-06,3229.19,1703464
2023-04-05,3240.85,2655065
2023-04-03,3191.35,1521830
2023-03-31,3189.41,2382581
2023-03-29,3125.35,1740616
2023-03-28,3129.98,1303530
2023-03-27,3134.0,1524217
2023-03-24,3144.39,1329577
2023-03-23,3128.36,1372218
2023-03-22,3124.38,1123939
2023-03-21,3117.9,1815297
2023-03-20,3125.39,2289468
2023-03-17,3178.88,6739966
2023-03-16,3193.73,1901060
2023-03-15,3225.94,1780522
2023-03-14,3244.96,2670334
2023-03-13,3313.09,1901233
2023-03-10,3318.6,1024404
2023-03-09,3354.42,1648500
2023-03-08,3369.8,1844590
2023-03-06,3381.71,1334132
2023-03-03,3345.34,1043190
2023-03-02,3331.05,1556538
2023-03-01,3367.54,1669307
2023-02-28,3325.11,4116217
2023-02-27,3336.69,1128022
2023-02-24,3410.96,977592
2023-02-23,3428.53,1441570
2023-02-22,3416.58,1218430
2023-02-21,3473.05,1139541
2023-02-20,3492.93,1296082
2023-02-17,3514.92,1061369
2023-02-16,3559.64,1618931
2023-02-15,3496.1,1429449
2023-02-14,3511.8,1579818
2023-02-13,3493.53,1087939
2023-02-10,3530.08,1187821
2023-02-09,3534.02,1655427
2023-02-08,3525.1,1986946
2023-02-07,3478.55,1455647
2023-02-06,3457.05,1138714
2023-02-03,3483.2,1804469
2023-02-02,3449.08,1813847
2023-02-01,3383.69,2205161
2023-01-31,3371.06,2820375
2023-01-30,3423.78,1953798
