DATE,VWAP,VOLUME
2024-01-25,1330.7,8424862
2024-01-24,1389.95,2008135
2024-01-23,1388.46,2683661
2024-01-20,1391.79,1001018
2024-01-19,1384.55,4463826
2024-01-18,1342.32,4533782
2024-01-17,1323.31,2313059
2024-01-16,1319.87,1883106
2024-01-15,1357.16,6012767
2024-01-12,1299.39,5023455
2024-01-11,1251.8,930492
2024-01-10,1239.46,808638
2024-01-09,1242.22,994439
2024-01-08,1234.56,1320667
2024-01-05,1257.02,1756868
2024-01-04,1240.56,3355191
2024-01-03,1252.06,2231707
2024-01-02,1279.52,1615064
2024-01-01,1291.24,1776828
2023-12-29,1276.35,1187193
2023-12-28,1281.95,2284964
2023-12-27,1278.07,1584695
2023-12-26,1277.64,1720830
2023-12-22,1260.36,2297352
2023-12-21,1246.37,3337533
2023-12-20,1276.83,2860865
2023-12-19,1279.39,1717860
2023-12-18,1310.58,2671348
2023-12-15,1303.86,5900381
2023-12-14,1257.45,5287733
2023-12-13,1209.76,3025706
2023-12-12,1233.14,1114846
2023-12-11,1234.74,1558876
2023-12-08,1226.87,2642571
2023-12-07,1225.03,1076885
2023-12-06,1226.76,2637916
2023-12-05,1215.83,1499843
2023-12-04,1226.55,1581599
2023-12-01,1218.63,1017856
2023-11-30,1219.13,2978406
2023-11-29,1224.63,1898448
2023-11-28,1196.31,910795
2023-11-24,1204.11,884921
2023-11-23,1212.3,651637
2023-11-22,1213.47,750622
2023-11-21,1207.39,1129326
2023-11-20,1212.79,1077366
2023-11-17,1204.41,1176628
2023-11-16,1199.1,2294942
2023-11-15,1169.37,2816201
2023-11-13,1132.03,435537
2023-11-12,1143.18,86328
2023-11-10,1132.75,706806
2023-11-09,1123.02,6042108
2023-11-08,1144.63,806162
2023-11-07,1145.36,902481
2023-11-06,1139.82,572330
2023-11-03,1131.25,1108121
2023-11-02,1120.94,2493118
2023-11-01,1129.19,1288497
2023-10-31,1127.11,1194765
2023-10-30,1127.06,2255915
2023-10-27,1121.23,1382498
2023-10-26,1108.93,7099401
2023-10-25,1151.54,1555285
2023-10-23,1162.07,1203959
2023-10-20,1165.75,2962470
2023-10-19,1176.08,3107691
2023-10-18,1186.94,2337078
2023-10-17,1195.97,1163897
2023-10-16,1188.36,2638043
2023-10-13,1189.6,3266079
2023-10-12,1208.07,2452842
2023-10-11,1231.55,1622663
2023-10-10,1222.54,1503359
2023-10-09,1217.43,1451064
2023-10-06,1215.73,1446719
2023-10-05,1209.0,2497613
2023-10-04,1198.55,2340603
2023-10-03,1220.74,1622290
2023-09-29,1224.44,2861162
2023-09-28,1240.18,6570797
2023-09-27,1282.97,1568115
2023-09-26,1284.99,1141475
2023-09-25,1304.2,2100302
2023-09-22,1307.75,3252940
2023-09-21,1284.82,2960250
2023-09-20,1277.1,2843560
2023-09-18,1291.25,1967717
2023-09-15,1291.49,4316210
2023-09-14,1280.89,3288631
2023-09-13,1260.96,1204376
2023-09-12,1268.98,2335224
2023-09-11,1268.32,1293853
2023-09-08,1265.0,1731105
2023-09-07,1265.07,2554884
2023-09-06,1247.15,1753376
2023-09-05,1258.03,2199985
2023-09-04,1248.66,3466873
2023-09-01,1219.65,1686038
2023-08-31,1205.94,2817747
2023-08-30,1210.53,2016339
2023-08-29,1199.85,1419344
2023-08-28,1187.63,950013
2023-08-25,1186.85,1213340
2023-08-24,1205.54,1218843
2023-08-23,1206.55,1569035
2023-08-22,1213.26,1003208
2023-08-21,1218.61,1175945
2023-08-18,1213.26,1794430
2023-08-17,1226.28,2636308
2023-08-16,1230.28,2341456
2023-08-14,1215.07,1842625
2023-08-11,1228.23,2933959
2023-08-10,1232.55,3715680
2023-08-09,1224.66,3396984
2023-08-08,1198.12,5137402
2023-08-07,1184.46,1694290
2023-08-04,1168.3,3580506
2023-08-03,1135.27,2348236
2023-08-02,1135.95,2357217
2023-08-01,1138.39,3805214
2023-07-31,1106.37,4766331
2023-07-28,1091.03,4244321
2023-07-27,1102.58,17594818
2023-07-26,1154.2,3170213
2023-07-25,1153.55,2557865
2023-07-24,1176.82,2669308
2023-07-21,1200.51,5032086
2023-07-20,1247.39,2000345
2023-07-19,1247.28,2293881
2023-07-18,1242.0,2666872
2023-07-17,1247.7,4880073
2023-07-14,1214.78,6033106
2023-07-13,1179.36,3215610
2023-07-12,1161.83,1274203
2023-07-11,1157.97,1212566
2023-07-10,1146.24,2088505
2023-07-07,1165.81,2261102
2023-07-06,1172.53,2520085
2023-07-05,1169.6,3732838
2023-07-04,1141.83,2773593
2023-07-03,1122.89,1899656
2023-06-30,1125.69,2478834
2023-06-28,1114.89,1876800
2023-06-27,1114.91,1227245
2023-06-26,1117.85,1432154
2023-06-23,1110.94,3492348
2023-06-22,1118.55,2360795
2023-06-21,1115.47,1985965
2023-06-20,1104.87,3318866
2023-06-19,1083.61,2188899
2023-06-16,1077.7,4392418
2023-06-15,1078.89,1389325
2023-06-14,1077.86,1321534
2023-06-13,1082.38,1846534
