DATE,VWAP,VOLUME
2024-01-25,3758.21,646135
2024-01-24,3743.75,636988
2024-01-23,3776.58,1053510
2024-01-20,3804.62,238575
2024-01-19,3791.66,2566367
2024-01-18,3767.81,1293580
2024-01-17,3832.63,723356
2024-01-16,3819.21,1170685
2024-01-15,3756.91,661292
2024-01-12,3690.93,990582
2024-01-11,3711.64,392818
2024-01-10,3709.12,556311
2024-01-09,3721.15,572612
2024-01-08,3728.58,1202148
2024-01-05,3708.38,963628
2024-01-04,3715.36,545228
2024-01-03,3688.0,356757
2024-01-02,3680.89,453685
2024-01-01,3680.15,286683
2023-12-29,3677.33,709614
2023-12-28,3710.23,1033648
2023-12-27,3672.37,666625
2023-12-26,3649.38,526101
2023-12-22,3608.9,777099
2023-12-21,3565.38,816722
2023-12-20,3613.45,849001
2023-12-19,3613.7,577926
2023-12-18,3628.73,699850
2023-12-15,3599.83,906271
2023-12-14,3593.77,992762
2023-12-13,3579.52,717618
2023-12-12,3587.68,1075941
2023-12-11,3622.36,620604
2023-12-08,3615.84,1562141
2023-12-07,3573.45,820214
2023-12-06,3553.24,474140
2023-12-05,3527.07,713651
2023-12-04,3495.64,808838
2023-12-01,3487.48,655263
2023-11-30,3472.42,1480088
2023-11-29,3439.16,819200
2023-11-28,3434.96,733524
2023-11-24,3402.54,589530
2023-11-23,3420.9,517362
2023-11-22,3422.08,980779
2023-11-21,3387.08,1038863
2023-11-20,3334.31,497379
2023-11-17,3346.39,633405
2023-11-16,3319.3,1055389
2023-11-15,3283.54,747863
2023-11-13,3263.02,275538
2023-11-12,3282.02,204514
2023-11-10,3240.29,1170763
2023-11-09,3291.41,1317398
2023-11-08,3305.4,632305
2023-11-07,3273.49,433992
2023-11-06,3269.6,1137606
2023-11-03,3258.61,1355614
2023-11-02,3200.03,774180
2023-11-01,3188.18,756820
2023-10-31,3150.09,1235478
2023-10-30,3099.81,802316
2023-10-27,3118.26,1050608
2023-10-26,3127.11,1124281
2023-10-25,3208.21,762466
2023-10-23,3241.11,566920
2023-10-20,3264.55,657550
2023-10-19,3273.34,698767
2023-10-18,3295.91,324535
2023-10-17,3312.35,584625
2023-10-16,3309.45,778014
2023-10-13,3285.32,920545
2023-10-12,3278.14,429096
2023-10-11,3280.21,546575
2023-10-10,3276.9,633934
2023-10-09,3271.7,822467
2023-10-06,3280.22,1102120
2023-10-05,3214.82,1109881
2023-10-04,3169.01,486969
2023-10-03,3180.93,1007308
2023-09-29,3156.54,697564
2023-09-28,3173.58,1214383
2023-09-27,3222.12,1464192
2023-09-26,3274.87,1054827
2023-09-25,3292.58,623515
2023-09-22,3271.63,1019051
2023-09-21,3298.89,1091384
2023-09-20,3324.2,1201025
2023-09-18,3320.22,1423507
2023-09-15,3248.79,1397407
2023-09-14,3265.49,1264935
2023-09-13,3234.59,1370306
2023-09-12,3193.3,591509
2023-09-11,3210.29,544452
2023-09-08,3191.9,700158
2023-09-07,3167.08,805295
2023-09-06,3159.17,1163154
2023-09-05,3136.78,721199
2023-09-04,3105.57,539813
2023-09-01,3114.05,423739
2023-08-31,3102.82,1420498
2023-08-30,3095.49,582766
2023-08-29,3066.27,482639
2023-08-28,3054.51,471698
2023-08-25,3055.72,648003
2023-08-24,3078.24,618626
2023-08-23,3074.01,602197
2023-08-22,3067.29,714220
2023-08-21,3066.18,706621
2023-08-18,3053.2,860782
2023-08-17,3057.5,1699758
2023-08-16,2994.57,544441
2023-08-14,3006.65,542561
2023-08-11,3029.48,1823274
2023-08-10,2958.98,970990
2023-08-09,2937.7,600081
2023-08-08,2922.69,474417
2023-08-07,2897.68,580359
2023-08-04,2913.55,709334
2023-08-03,2916.69,3319847
2023-08-02,2979.5,1152335
2023-08-01,3004.71,602288
2023-07-31,2987.66,656048
2023-07-28,2972.41,837051
2023-07-27,3000.64,595544
2023-07-26,3016.11,588487
2023-07-25,3009.07,874788
2023-07-24,2976.0,523141
2023-07-21,2987.73,599594
2023-07-20,2983.37,1021556
2023-07-19,2998.37,568891
2023-07-18,2993.38,1359863
2023-07-17,3041.42,866575
2023-07-14,3061.7,721349
2023-07-13,3096.73,932018
2023-07-12,3102.14,1300168
2023-07-11,3066.87,1141925
2023-07-10,3065.98,1777220
2023-07-07,3181.19,3630808
2023-07-06,3095.08,976956
2023-07-05,3081.05,643663
2023-07-04,3073.6,1291238
2023-07-03,3039.44,429100
2023-06-30,3048.44,946112
2023-06-28,3024.33,1525117
2023-06-27,2953.65,913730
2023-06-26,2966.21,839713
2023-06-23,2940.24,869340
2023-06-22,2973.26,496441
2023-06-21,2971.13,509602
2023-06-20,2966.73,672298
2023-06-19,2991.42,1382633
2023-06-16,2941.55,1022389
2023-06-15,2911.59,564711
2023-06-14,2906.64,617700
2023-06-13,2905.13,776313
2023-06-12,2848.82,1112274
2023-06-09,2889.14,727880
2023-06-08,2897.1,560514
2023-06-07,2894.23,862821
2023-06-06,2878.11,1148132
2023-06-05,2854.64,724102
2023-06-02,2854.47,1116501
2023-06-01,2824.91,538550
2023-05-31,2816.22,1394580
2023-05-30,2816.6,1263691
2023-05-29,2788.87,1107678
2023-05-26,2737.12,811400
2023-05-25,2693.13,651488
2023-05-24,2705.62,814553
2023-05-23,2694.59,713749
2023-05-22,2719.35,559506
2023-05-19,2700.82,846419
2023-05-18,2736.39,612441
2023-05-17,2764.87,539547
2023-05-16,2791.89,548885
2023-05-15,2784.69,772914
2023-05-12,2773.48,705516
2023-05-11,2752.3,621067
2023-05-10,2745.98,522149
