DATE,VWAP,VOLUME
2024-01-25,2474.39,287050
2024-01-24,2500.07,170599
2024-01-23,2505.86,306184
2024-01-20,2521.18,225132
2024-01-19,2465.76,117583
2024-01-18,2454.27,131306
2024-01-17,2461.72,306575
2024-01-16,2458.47,246441
2024-01-15,2471.88,112984
2024-01-12,2462.41,166278
2024-01-11,2450.59,693516
2024-01-10,2345.47,221790
2024-01-09,2347.32,235412
2024-01-08,2340.54,249754
2024-01-05,2348.54,324466
2024-01-04,2364.88,337858
2024-01-03,2343.36,292829
2024-01-02,2312.1,235455
2024-01-01,2302.75,99208
2023-12-29,2293.0,194385
2023-12-28,2254.87,549145
2023-12-27,2272.48,244967
2023-12-26,2263.8,277523
2023-12-22,2211.76,288655
2023-12-21,2179.02,272796
2023-12-20,2169.97,352547
2023-12-19,2165.38,342287
2023-12-18,2135.85,568660
2023-12-15,2091.66,550534
2023-12-14,2096.73,183980
2023-12-13,2059.0,267134
2023-12-12,2062.56,279183
2023-12-11,2064.79,254019
2023-12-08,2064.8,221098
2023-12-07,2093.58,145283
2023-12-06,2091.2,183439
2023-12-05,2120.44,676468
2023-12-04,2134.26,272694
2023-12-01,2144.68,308776
2023-11-30,2119.96,529836
2023-11-29,2100.59,209338
2023-11-28,2089.55,306047
2023-11-24,2102.32,157910
2023-11-23,2102.49,189688
2023-11-22,2105.45,164055
2023-11-21,2127.73,288221
2023-11-20,2099.99,318186
2023-11-17,2072.85,147474
2023-11-16,2043.55,342090
2023-11-15,2055.22,179655
2023-11-13,2062.14,188309
2023-11-12,2067.41,17428
2023-11-10,2059.46,206637
2023-11-09,2039.67,308733
2023-11-08,2029.26,439459
2023-11-07,1987.42,295281
2023-11-06,1967.22,221392
2023-11-03,1953.95,401602
2023-11-02,1930.81,220680
2023-11-01,1925.85,249601
2023-10-31,1926.18,184243
2023-10-30,1933.24,287857
2023-10-27,1926.41,695215
2023-10-26,1888.79,433022
2023-10-25,1916.86,1682093
2023-10-23,1894.38,224516
2023-10-20,1912.71,299259
2023-10-19,1912.57,101361
2023-10-18,1918.11,405999
2023-10-17,1923.26,300335
2023-10-16,1908.68,510628
2023-10-13,1899.51,276953
2023-10-12,1882.27,162795
2023-10-11,1894.16,267605
2023-10-10,1874.67,88144
2023-10-09,1892.77,169472
2023-10-06,1883.07,408253
2023-10-05,1852.77,517609
2023-10-04,1859.93,187618
2023-10-03,1898.38,458399
2023-09-29,1919.17,509887
2023-09-28,1861.46,381282
2023-09-27,1845.65,434743
2023-09-26,1836.16,502205
2023-09-25,1846.8,284735
2023-09-22,1849.05,498682
2023-09-21,1872.5,386004
2023-09-20,1882.18,318131
2023-09-18,1880.98,246025
2023-09-15,1864.07,525652
2023-09-14,1850.87,593724
2023-09-13,1860.97,338259
2023-09-12,1859.29,359243
2023-09-11,1869.74,707356
2023-09-08,1875.2,498277
2023-09-07,1906.86,528543
2023-09-06,1916.24,1201476
2023-09-05,1860.71,811765
2023-09-04,1828.37,1189152
2023-09-01,1790.37,2429819
2023-08-31,1874.76,1411236
2023-08-30,1962.41,441134
2023-08-29,1957.2,342802
2023-08-28,1948.11,206578
2023-08-25,1945.2,228849
2023-08-24,1962.74,430022
2023-08-23,1950.99,400707
2023-08-22,1971.59,294912
