DATE,VWAP,VOLUME
2024-01-25,3214.18,489321
2024-01-24,3204.74,339968
2024-01-23,3183.7,344687
2024-01-20,3216.95,196720
2024-01-19,3181.16,406436
2024-01-18,3146.35,439730
2024-01-17,3153.56,420338
2024-01-16,3170.4,370700
2024-01-15,3204.83,381958
2024-01-12,3201.9,597455
2024-01-11,3192.26,485141
2024-01-10,3165.07,951897
2024-01-09,3118.03,723237
2024-01-08,3056.75,303947
2024-01-05,3067.98,258565
2024-01-04,3081.02,299498
2024-01-03,3057.5,714968
2024-01-02,2982.39,408928
2024-01-01,3016.19,421730
2023-12-29,3040.42,430702
2023-12-28,3027.04,503705
2023-12-27,3016.32,584065
2023-12-26,2974.99,315645
2023-12-22,2964.58,518707
2023-12-21,2934.31,631420
2023-12-20,2971.72,713170
2023-12-19,2987.39,533290
2023-12-18,2978.85,646708
2023-12-15,2999.24,682553
2023-12-14,2970.05,425400
2023-12-13,2944.51,887243
2023-12-12,2883.16,462633
2023-12-11,2881.18,577553
2023-12-08,2837.64,688323
2023-12-07,2866.9,961559
2023-12-06,2876.07,487235
2023-12-05,2865.92,676125
2023-12-04,2808.87,685830
2023-12-01,2803.85,1049846
2023-11-30,2772.11,2343154
2023-11-29,2687.46,460234
2023-11-28,2663.57,535972
2023-11-24,2653.72,325606
2023-11-23,2654.4,398832
2023-11-22,2632.25,395438
2023-11-21,2624.83,519349
2023-11-20,2615.12,568578
2023-11-17,2576.43,717236
2023-11-16,2524.96,766675
2023-11-15,2554.41,599328
2023-11-13,2543.1,1131761
2023-11-12,2498.24,75038
2023-11-10,2483.71,644072
2023-11-09,2472.22,684007
2023-11-08,2465.26,2652822
2023-11-07,2361.56,3419427
2023-11-06,2230.49,537580
2023-11-03,2191.74,230437
2023-11-02,2193.19,474395
2023-11-01,2185.73,1081257
2023-10-31,2147.8,749792
2023-10-30,2107.48,483782
2023-10-27,2117.6,999445
2023-10-26,2003.3,966275
2023-10-25,1990.77,512770
2023-10-23,2009.95,488451
2023-10-20,2037.2,353937
2023-10-19,2052.09,350097
2023-10-18,2049.8,432748
2023-10-17,2085.04,373789
2023-10-16,2103.04,446019
2023-10-13,2091.32,321887
2023-10-12,2079.61,285544
2023-10-11,2089.81,729470
2023-10-10,2058.99,351329
2023-10-09,2068.02,487722
2023-10-06,2067.58,444220
2023-10-05,2046.08,461744
2023-10-04,2022.63,551771
2023-10-03,2066.8,543387
2023-09-29,2066.32,767501
2023-09-28,2068.82,3956535
2023-09-27,2112.25,582180
2023-09-26,2166.7,1021206
2023-09-25,2118.98,1841241
2023-09-22,2063.11,394776
2023-09-21,2053.11,298279
2023-09-20,2062.13,451829
2023-09-18,2057.16,323336
2023-09-15,2067.08,359579
2023-09-14,2058.9,287994
2023-09-13,2051.88,355761
2023-09-12,2054.99,722560
2023-09-11,2088.81,623499
2023-09-08,2092.76,548262
2023-09-07,2072.54,303430
2023-09-06,2067.31,331114
2023-09-05,2058.1,536090
2023-09-04,2043.79,744599
2023-09-01,2068.58,785674
2023-08-31,2050.97,682000
2023-08-30,2065.66,844098
2023-08-29,2031.45,352814
2023-08-28,2003.9,696730
2023-08-25,2014.9,766297
2023-08-24,2057.74,462418
2023-08-23,2050.72,707284
2023-08-22,2020.72,647887
2023-08-21,1997.36,1066063
2023-08-18,1997.49,1571201
2023-08-17,1975.95,969098
2023-08-16,1947.01,1232266
2023-08-14,1916.53,1480009
2023-08-11,1890.17,697959
2023-08-10,1868.05,4043720
2023-08-09,1763.1,2491542
2023-08-08,1695.15,322580
2023-08-07,1688.24,395041
2023-08-04,1706.12,396908
2023-08-03,1686.18,269065
2023-08-02,1695.87,752736
2023-08-01,1720.41,260609
2023-07-31,1751.44,346064
2023-07-28,1715.51,344569
2023-07-27,1709.52,215362
2023-07-26,1709.35,273042
2023-07-25,1707.38,221128
2023-07-24,1719.22,392933
2023-07-21,1718.78,331260
2023-07-20,1712.91,235107
2023-07-19,1711.11,383674
2023-07-18,1688.43,173675
2023-07-17,1697.28,473571
2023-07-14,1675.0,268107
2023-07-13,1677.14,270100
2023-07-12,1683.75,502653
2023-07-11,1695.23,457955
2023-07-10,1687.32,299305
2023-07-07,1719.02,248389
2023-07-06,1740.87,240874
2023-07-05,1721.0,502769
2023-07-04,1755.9,399795
2023-07-03,1758.94,238418
2023-06-30,1770.3,336262
2023-06-28,1761.27,322724
2023-06-27,1751.54,320512
2023-06-26,1737.82,445964
2023-06-23,1721.52,732596
2023-06-22,1708.09,213389
2023-06-21,1707.21,369391
2023-06-20,1713.56,273300
2023-06-19,1710.74,199840
2023-06-16,1709.73,484881
2023-06-15,1691.95,465902
2023-06-14,1705.63,1207550
2023-06-13,1661.95,1634306
2023-06-12,1592.24,223661
2023-06-09,1606.9,437123
2023-06-08,1599.91,286923
2023-06-07,1597.45,632805
2023-06-06,1595.38,208474
2023-06-05,1597.88,231024
2023-06-02,1584.39,514635
2023-06-01,1558.88,452507
2023-05-31,1567.76,1279601
2023-05-30,1551.13,341563
2023-05-29,1533.4,347260
2023-05-26,1525.55,415204
2023-05-25,1510.82,475551
2023-05-24,1495.61,362122
2023-05-23,1502.6,368971
2023-05-22,1491.51,276941
2023-05-19,1487.73,468553
2023-05-18,1502.32,245900
2023-05-17,1498.18,469701
2023-05-16,1512.59,481416
2023-05-15,1507.0,496686
2023-05-12,1479.73,326598
