DATE,VWAP,VOLUME
2024-01-25,1950.45,2078701
2024-01-24,1994.28,903005
2024-01-23,2005.09,910575
2024-01-20,2017.94,208112
2024-01-19,2026.93,747716
2024-01-18,2007.24,815604
2024-01-17,2027.56,727553
2024-01-16,2023.22,1347953
2024-01-15,2032.31,1349721
2024-01-12,2075.18,765951
2024-01-11,2075.3,1305313
2024-01-10,2009.2,650058
2024-01-09,2021.6,1424396
2024-01-08,2033.29,2195125
2024-01-05,1992.84,2259906
2024-01-04,1986.56,982876
2024-01-03,1984.59,837553
2024-01-02,1980.44,1407673
2024-01-01,2030.06,474552
2023-12-29,2019.14,476136
2023-12-28,2007.01,1261169
2023-12-27,2011.72,477198
2023-12-26,1998.63,890867
2023-12-22,1962.2,1070784
2023-12-21,1949.6,733570
2023-12-20,1968.47,743248
2023-12-19,1972.17,1139789
2023-12-18,2008.65,936244
2023-12-15,2022.13,902030
2023-12-14,2029.43,1066303
2023-12-13,1994.31,2224533
2023-12-12,1940.69,716644
2023-12-11,1919.4,674733
2023-12-08,1905.03,493461
2023-12-07,1915.52,720562
2023-12-06,1889.15,1053331
2023-12-05,1906.81,970173
2023-12-04,1906.03,818769
2023-12-01,1904.29,1269657
2023-11-30,1861.65,2171737
2023-11-29,1854.05,1212566
2023-11-28,1810.66,957141
2023-11-24,1800.16,1298959
2023-11-23,1769.59,1599755
2023-11-22,1736.04,2016499
2023-11-21,1724.43,521686
2023-11-20,1733.68,1110928
2023-11-17,1724.65,1721816
2023-11-16,1681.17,468330
2023-11-15,1667.9,1011532
2023-11-13,1646.27,364986
2023-11-12,1649.18,97965
2023-11-10,1636.5,390701
2023-11-09,1643.73,442148
2023-11-08,1638.84,589975
2023-11-07,1610.77,342837
2023-11-06,1608.89,505748
2023-11-03,1591.69,552856
2023-11-02,1562.79,802352
2023-11-01,1576.65,1697994
2023-10-31,1601.25,2389756
2023-10-30,1596.04,912901
2023-10-27,1590.4,737466
2023-10-26,1565.74,988912
2023-10-25,1590.75,890501
2023-10-23,1597.71,950311
2023-10-20,1599.25,597980
2023-10-19,1604.86,830994
2023-10-18,1594.57,359998
2023-10-17,1607.98,456174
2023-10-16,1604.94,582454
2023-10-13,1595.17,810988
2023-10-12,1584.63,1822514
2023-10-11,1552.29,1007780
2023-10-10,1541.82,1691714
2023-10-09,1521.96,1131037
2023-10-06,1506.24,537906
2023-10-05,1498.54,586529
2023-10-04,1500.46,797755
2023-10-03,1528.58,791678
2023-09-29,1520.41,775781
2023-09-28,1526.41,4734327
2023-09-27,1527.86,1087855
2023-09-26,1534.38,1247558
2023-09-25,1505.8,1238681
2023-09-22,1491.36,1048434
2023-09-21,1498.83,542059
2023-09-20,1518.53,537988
2023-09-18,1517.43,1464894
2023-09-15,1493.98,1369061
2023-09-14,1459.5,285610
2023-09-13,1450.98,801352
2023-09-12,1473.95,623844
2023-09-11,1487.3,754214
2023-09-08,1479.73,515325
2023-09-07,1479.85,645256
2023-09-06,1474.66,1249970
2023-09-05,1458.18,554308
2023-09-04,1454.62,1530060
2023-09-01,1442.79,1801951
2023-08-31,1425.05,2229952
2023-08-30,1414.59,2457022
2023-08-29,1375.11,1231116
2023-08-28,1345.42,784438
2023-08-25,1343.37,1437121
2023-08-24,1369.0,1183583
2023-08-23,1357.41,919117
2023-08-22,1347.91,819736
2023-08-21,1351.37,1480040
2023-08-18,1337.3,727872
2023-08-17,1332.22,702360
2023-08-16,1335.59,1426246
2023-08-14,1334.61,951927
2023-08-11,1352.73,724490
2023-08-10,1344.74,960273
2023-08-09,1336.79,1333966
2023-08-08,1330.55,1246119
2023-08-07,1338.62,866160
2023-08-04,1363.62,539333
2023-08-03,1372.63,1042110
2023-08-02,1380.07,1941995
2023-08-01,1369.84,325587
2023-07-31,1364.17,771838
2023-07-28,1353.34,722899
2023-07-27,1360.81,991461
2023-07-26,1384.46,1745448
2023-07-25,1361.37,5467323
2023-07-24,1333.01,2508323
2023-07-21,1338.75,768440
2023-07-20,1340.43,898508
2023-07-19,1338.29,810110
2023-07-18,1353.94,1011369
2023-07-17,1347.68,739899
2023-07-14,1335.22,1109229
2023-07-13,1337.01,841814
2023-07-12,1339.9,831708
2023-07-11,1342.52,1492542
2023-07-10,1317.61,588008
2023-07-07,1325.14,1205329
2023-07-06,1314.13,1151516
2023-07-05,1307.34,1700571
2023-07-04,1311.82,576982
2023-07-03,1321.58,651040
2023-06-30,1329.77,875476
2023-06-28,1313.45,1266056
2023-06-27,1296.16,882785
2023-06-26,1294.66,607694
2023-06-23,1308.37,705445
2023-06-22,1333.92,558699
2023-06-21,1346.64,846723
2023-06-20,1339.81,1139873
2023-06-19,1348.25,445580
2023-06-16,1341.3,1182213
2023-06-15,1342.94,808772
2023-06-14,1342.96,663045
2023-06-13,1347.68,651920
2023-06-12,1352.92,2237766
2023-06-09,1342.3,805323
2023-06-08,1332.16,511069
2023-06-07,1341.4,1067501
2023-06-06,1320.19,1703583
2023-06-05,1296.09,551021
2023-06-02,1299.89,1923687
2023-06-01,1281.08,727641
2023-05-31,1301.02,3346979
2023-05-30,1292.73,531133
2023-05-29,1296.78,875198
2023-05-26,1292.63,1409077
2023-05-25,1277.02,1004944
2023-05-24,1266.4,1070539
2023-05-23,1251.64,793692
2023-05-22,1236.08,418657
2023-05-19,1237.42,615310
2023-05-18,1243.3,516649
2023-05-17,1243.46,691664
2023-05-16,1245.93,673132
2023-05-15,1234.56,436418
2023-05-12,1239.36,482504
2023-05-11,1238.44,555502
2023-05-10,1236.9,801636
2023-05-09,1231.0,848071
2023-05-08,1231.56,2132720
2023-05-05,1215.59,5319185
2023-05-04,1163.34,632211
2023-05-03,1151.96,642953
2023-05-02,1154.19,932329
2023-04-28,1135.28,713046
2023-04-27,1130.65,733407
2023-04-26,1121.59,1009517
2023-04-25,1110.35,908834
2023-04-24,1100.9,1329750
2023-04-21,1097.52,2877179
2023-04-20,1139.16,2592124
2023-04-19,1172.21,2292305
2023-04-18,1157.12,1071740
2023-04-17,1168.02,2075441
2023-04-13,1151.59,2035284
2023-04-12,1132.48,1393983
2023-04-11,1119.44,1112123
2023-04-10,1104.13,1236292
2023-04-06,1092.49,630530
2023-04-05,1091.12,739800
2023-04-03,1088.04,842497
2023-03-31,1074.52,911502
2023-03-29,1062.92,977216
2023-03-28,1036.16,435620
2023-03-27,1047.3,521344
2023-03-24,1050.07,753161
2023-03-23,1055.03,1063113
2023-03-22,1064.67,658312
2023-03-21,1052.54,972168
2023-03-20,1038.21,816115
2023-03-17,1048.14,1797251
2023-03-16,1043.57,747118
2023-03-15,1043.34,590578
2023-03-14,1046.83,1076802
2023-03-13,1055.44,972966
2023-03-10,1077.17,1066823
2023-03-09,1096.54,906722
2023-03-08,1095.89,1206161
2023-03-06,1094.01,950986
2023-03-03,1069.25,847485
2023-03-02,1063.28,1068509
2023-03-01,1068.51,1907551
2023-02-28,1080.66,1418799
2023-02-27,1074.91,1555124
2023-02-24,1113.64,979359
2023-02-23,1116.8,871201
2023-02-22,1115.55,746146
2023-02-21,1125.03,1622529
