DATE,VWAP,VOLUME
2024-01-25,9951.09,296269
2024-01-24,9935.02,272419
2024-01-23,9981.48,580285
2024-01-20,10033.95,138261
2024-01-19,10001.75,567616
2024-01-18,9866.62,278338
2024-01-17,9898.9,252817
2024-01-16,9976.31,146779
2024-01-15,9931.17,273931
2024-01-12,9844.19,376816
2024-01-11,9845.4,375210
2024-01-10,9779.81,374333
2024-01-09,9936.08,242925
2024-01-08,9976.51,176843
2024-01-05,10031.09,163191
2024-01-04,10051.84,313755
2024-01-03,10155.84,179575
2024-01-02,10212.57,337528
2024-01-01,10466.4,97677
2023-12-29,10446.98,243089
2023-12-28,10398.26,421406
2023-12-27,10353.96,658122
2023-12-26,10016.45,226114
2023-12-22,9947.16,226940
2023-12-21,9911.52,216730
2023-12-20,10029.9,501448
2023-12-19,10009.1,675166
2023-12-18,9972.1,266562
2023-12-15,9973.25,439516
2023-12-14,9906.42,710415
2023-12-13,9854.3,1501931
2023-12-12,9864.15,1060266
2023-12-11,9570.9,588082
2023-12-08,9381.38,311761
2023-12-07,9328.64,346830
2023-12-06,9206.7,308912
2023-12-05,9320.96,448461
2023-12-04,9240.83,473570
2023-12-01,9029.75,353015
2023-11-30,8944.83,1025481
2023-11-29,8735.76,207727
2023-11-28,8698.02,343335
2023-11-24,8586.0,197278
2023-11-23,8639.64,344271
2023-11-22,8688.37,325320
2023-11-21,8696.67,183507
2023-11-20,8698.73,174311
2023-11-17,8815.37,151817
2023-11-16,8778.98,233428
2023-11-15,8763.22,192348
2023-11-13,8688.14,64412
2023-11-12,8721.08,13691
2023-11-10,8680.43,149939
2023-11-09,8648.3,128138
2023-11-08,8692.21,132370
2023-11-07,8658.43,206360
2023-11-06,8621.26,194715
2023-11-03,8502.35,243686
2023-11-02,8429.16,200590
2023-11-01,8400.71,209234
2023-10-31,8411.86,218908
2023-10-30,8343.47,244073
2023-10-27,8215.43,227682
2023-10-26,8190.53,637430
2023-10-25,8270.44,255678
2023-10-23,8414.13,217546
2023-10-20,8478.55,539291
2023-10-19,8389.18,837498
2023-10-18,8292.71,322136
2023-10-17,8304.65,205234
2023-10-16,8346.95,363990
2023-10-13,8359.0,285076
2023-10-12,8342.7,177704
2023-10-11,8319.77,439622
2023-10-10,8155.13,187020
2023-10-09,8140.74,152525
2023-10-06,8191.32,158491
2023-10-05,8165.1,310506
2023-10-04,8113.03,884369
