DATE,VWAP,VOLUME
2024-01-25,141.6,14886698
2024-01-24,140.45,25283547
2024-01-23,140.68,42032631
2024-01-20,141.67,37359672
2024-01-19,133.51,29183335
2024-01-18,131.35,21609345
2024-01-17,132.72,23673815
2024-01-16,136.93,30974573
2024-01-15,134.04,25866683
2024-01-12,129.87,42620166
2024-01-11,124.13,7312380
2024-01-10,122.87,8604396
2024-01-09,123.3,8045492
2024-01-08,123.0,12122073
2024-01-05,124.19,12856589
2024-01-04,124.25,16066005
2024-01-03,122.63,13474009
2024-01-02,121.45,15399801
2024-01-01,120.67,8090321
2023-12-29,118.54,10246266
2023-12-28,119.32,17861879
2023-12-27,119.11,12995015
2023-12-26,117.41,7968782
2023-12-22,118.44,11610568
2023-12-21,116.7,16148701
2023-12-20,119.95,24393889
2023-12-19,122.59,18919618
2023-12-18,124.05,32148228
2023-12-15,126.59,39463828
2023-12-14,123.41,15736169
2023-12-13,121.13,21772175
2023-12-12,122.93,33413850
2023-12-11,119.64,24053871
2023-12-08,116.61,17952489
2023-12-07,116.54,22636562
2023-12-06,115.42,36097019
2023-12-05,115.71,33498381
2023-12-04,113.99,44134018
2023-12-01,109.13,20204953
2023-11-30,108.67,16707894
2023-11-29,110.69,23355610
2023-11-28,108.45,14394577
2023-11-24,107.4,10524311
2023-11-23,106.27,9202339
2023-11-22,107.59,12094255
2023-11-21,109.1,11767774
2023-11-20,109.34,14988918
2023-11-17,107.57,23593164
2023-11-16,110.73,16349925
2023-11-15,113.96,37833489
2023-11-13,109.64,55306838
2023-11-12,104.79,2923273
2023-11-10,103.46,7759750
2023-11-09,103.99,10424368
2023-11-08,104.34,13363461
2023-11-07,104.54,14018306
2023-11-06,104.31,9368161
2023-11-03,105.17,12041882
2023-11-02,105.51,28172342
2023-11-01,103.04,24198194
2023-10-31,102.23,26692147
2023-10-30,100.63,32368940
2023-10-27,99.59,32310058
2023-10-26,93.1,20883382
2023-10-25,96.5,30434337
2023-10-23,96.96,29890296
2023-10-20,101.82,14709256
2023-10-19,102.19,11787202
2023-10-18,103.33,13345912
2023-10-17,105.67,14025820
2023-10-16,104.93,18681567
2023-10-13,103.35,14614632
2023-10-12,104.15,13892071
2023-10-11,104.51,18507914
2023-10-10,102.94,23803904
2023-10-09,101.03,33400853
2023-10-06,105.61,25813134
