DATE,VWAP,VOLUME
2024-01-25,1243.53,3331395
2024-01-24,1264.8,3071911
2024-01-23,1261.11,1907173
2024-01-20,1268.45,370668
2024-01-19,1242.24,2841357
2024-01-18,1227.71,1854390
2024-01-17,1244.89,2159125
2024-01-16,1267.45,1320740
2024-01-15,1266.97,1502401
2024-01-12,1265.23,2631987
2024-01-11,1278.11,923775
2024-01-10,1279.06,1530973
2024-01-09,1295.89,1773125
2024-01-08,1277.94,1654957
2024-01-05,1266.52,2029763
2024-01-04,1256.11,2387192
2024-01-03,1226.31,1631101
2024-01-02,1239.74,982195
2024-01-01,1246.93,789487
2023-12-29,1233.91,1149608
2023-12-28,1235.18,1480983
2023-12-27,1241.82,2397414
2023-12-26,1247.78,1695813
2023-12-22,1243.55,6445595
2023-12-21,1255.59,4779722
2023-12-20,1301.01,13090036
2023-12-19,1160.43,2653390
2023-12-18,1119.59,1830640
2023-12-15,1103.08,1160389
2023-12-14,1106.7,1232073
2023-12-13,1083.32,1155820
2023-12-12,1083.93,1579857
2023-12-11,1101.23,2160526
2023-12-08,1069.8,1260433
2023-12-07,1077.61,758520
2023-12-06,1068.9,1100798
2023-12-05,1064.27,1129042
2023-12-04,1077.9,1900286
2023-12-01,1094.74,1371021
2023-11-30,1097.43,5190698
2023-11-29,1066.35,734545
2023-11-28,1064.63,1563201
2023-11-24,1065.53,1515670
2023-11-23,1055.93,2439087
2023-11-22,1026.14,1370191
2023-11-21,1036.95,2046220
2023-11-20,1044.67,1052356
2023-11-17,1035.08,1843610
2023-11-16,1039.65,3074266
2023-11-15,1008.19,2353248
2023-11-13,1011.68,1299695
2023-11-12,1014.89,286132
2023-11-10,1009.22,1218861
2023-11-09,1008.31,1256722
2023-11-08,1010.06,2631091
2023-11-07,981.94,4915974
2023-11-06,952.06,3596930
2023-11-03,945.34,1888793
2023-11-02,926.95,1070165
2023-11-01,919.58,1697834
2023-10-31,911.53,2231765
2023-10-30,918.74,1778116
2023-10-27,915.21,2410663
2023-10-26,851.42,4594411
2023-10-25,893.81,3644050
2023-10-23,921.97,1297542
2023-10-20,923.39,1706260
2023-10-19,924.66,2419958
2023-10-18,920.31,2589087
2023-10-17,927.73,1841031
2023-10-16,921.48,1820084
2023-10-13,922.79,1345837
2023-10-12,920.88,1749190
2023-10-11,927.78,2740385
2023-10-10,926.35,1392621
2023-10-09,924.49,858676
2023-10-06,925.46,1438968
2023-10-05,922.23,1918273
2023-10-04,917.99,2472796
2023-10-03,931.0,2331492
2023-09-29,956.87,2440479
2023-09-28,957.78,1086819
2023-09-27,967.01,1927748
2023-09-26,962.36,4971977
2023-09-25,924.08,1190495
2023-09-22,914.87,1478798
2023-09-21,906.38,1114688
2023-09-20,908.65,1283808
2023-09-18,913.19,1172282
2023-09-15,918.78,779234
2023-09-14,915.76,788084
2023-09-13,912.4,1148032
2023-09-12,920.03,2431229
2023-09-11,913.09,1015039
2023-09-08,911.49,1788138
2023-09-07,927.83,1207135
2023-09-06,922.32,1148148
2023-09-05,934.29,1412612
2023-09-04,920.43,1713949
2023-09-01,907.26,973530
2023-08-31,899.27,2172164
2023-08-30,894.45,1073236
2023-08-29,885.7,1133167
2023-08-28,868.78,1054338
2023-08-25,874.23,1301554
2023-08-24,883.16,1334248
2023-08-23,894.16,1478508
2023-08-22,911.29,1428858
2023-08-21,899.29,1211362
2023-08-18,903.46,2529422
2023-08-17,912.34,4035945
2023-08-16,890.73,3032284
2023-08-14,861.61,2376829
2023-08-11,841.93,3306996
2023-08-10,823.18,1384548
2023-08-09,820.41,2779124
2023-08-08,821.55,1260415
2023-08-07,828.34,1564872
2023-08-04,832.32,3281000
2023-08-03,822.25,3626281
2023-08-02,806.5,1302623
2023-08-01,802.76,1619746
2023-07-31,801.39,1243742
2023-07-28,801.63,872944
2023-07-27,802.3,1064361
2023-07-26,805.34,1142539
2023-07-25,803.98,1595429
2023-07-24,808.75,1187664
2023-07-21,804.95,1723154
2023-07-20,814.52,682293
2023-07-19,820.78,1152379
2023-07-18,826.43,1190878
2023-07-17,829.72,1014792
2023-07-14,829.57,2867467
2023-07-13,834.26,1999048
2023-07-12,841.92,2108364
2023-07-11,822.85,1263675
2023-07-10,814.35,1168151
2023-07-07,822.13,1394598
2023-07-06,814.8,2335648
2023-07-05,823.53,2773841
2023-07-04,812.81,4681610
2023-07-03,813.95,1933461
2023-06-30,790.65,2768487
2023-06-28,795.34,1896416
2023-06-27,806.68,2183861
2023-06-26,790.54,2481282
2023-06-23,772.78,3998287
2023-06-22,808.69,1296116
2023-06-21,816.52,2411903
2023-06-20,814.08,2465530
2023-06-19,802.76,2013822
2023-06-16,820.92,5484855
2023-06-15,836.25,3020929
2023-06-14,1620.65,1636909
2023-06-13,1617.46,1563048
2023-06-12,1581.72,1072543
2023-06-09,1600.57,1201289
2023-06-08,1598.61,2000351
2023-06-07,1647.38,3252740
2023-06-06,1697.59,1532463
2023-06-05,1700.35,676308
2023-06-02,1699.64,677338
2023-06-01,1702.34,861705
2023-05-31,1677.08,2026705
2023-05-30,1665.63,1179431
2023-05-29,1698.27,1017630
2023-05-26,1697.21,2712827
2023-05-25,1611.59,702883
2023-05-24,1599.45,1125676
2023-05-23,1556.44,688552
2023-05-22,1586.61,395693
2023-05-19,1591.08,665121
2023-05-18,1588.6,817331
2023-05-17,1600.14,2154131
2023-05-16,1586.72,798406
2023-05-15,1573.2,655413
2023-05-12,1560.95,805430
2023-05-11,1605.37,1731909
2023-05-10,1576.23,3373907
2023-05-09,1501.7,2215622
2023-05-08,1457.1,331574
2023-05-05,1449.67,1323906
2023-05-04,1436.22,1305493
2023-05-03,1439.31,1943021
2023-05-02,1442.99,3986097
2023-04-28,1452.59,1656562
2023-04-27,1459.24,1144993
2023-04-26,1448.82,1456926
2023-04-25,1441.97,2020746
2023-04-24,1442.17,2011401
2023-04-21,1394.89,1807712
2023-04-20,1399.5,1468724
2023-04-19,1439.55,2645677
2023-04-18,1433.17,2220965
2023-04-17,1435.12,2204715
2023-04-13,1434.91,885874
2023-04-12,1438.14,1135496
2023-04-11,1432.98,1146244
2023-04-10,1406.87,817541
2023-04-06,1411.19,2230254
2023-04-05,1457.16,3399871
2023-04-03,1400.89,1484084
2023-03-31,1385.12,1265168
2023-03-29,1365.25,3373797
2023-03-28,1355.12,675360
2023-03-27,1360.33,781832
2023-03-24,1374.47,2033540
2023-03-23,1352.95,928510
2023-03-22,1339.03,872839
2023-03-21,1322.62,841871
2023-03-20,1299.93,563951
2023-03-17,1306.9,1957056
2023-03-16,1290.63,3100233
2023-03-15,1357.28,1756431
2023-03-14,1317.65,1072336
2023-03-13,1326.76,688145
2023-03-10,1341.92,650695
2023-03-09,1353.15,1390394
2023-03-08,1349.19,1187179
2023-03-06,1368.59,1180704
2023-03-03,1357.27,1218910
2023-03-02,1342.85,677083
2023-03-01,1342.93,2149139
2023-02-28,1300.3,2191636
2023-02-27,1289.48,1105639
2023-02-24,1300.77,1284563
2023-02-23,1293.78,1506255
2023-02-22,1318.52,831050
2023-02-21,1333.06,1790721
2023-02-20,1315.35,1808117
2023-02-17,1282.16,510280
2023-02-16,1282.53,628566
2023-02-15,1264.39,682935
2023-02-14,1265.58,910652
2023-02-13,1278.86,1087945
2023-02-10,1257.98,1191468
2023-02-09,1287.72,1388222
2023-02-08,1329.52,2044056
2023-02-07,1289.67,3886822
2023-02-06,1210.61,3266668
2023-02-03,1125.41,2436799
2023-02-02,1142.73,1735600
2023-02-01,1152.22,2007980
2023-01-31,1161.55,2069289
2023-01-30,1203.16,1401997
