DATE,VWAP,VOLUME
2024-01-25,263.33,5195068
2024-01-24,259.53,6563186
2024-01-23,257.01,8740319
2024-01-20,265.96,2943766
2024-01-19,267.75,4537034
2024-01-18,265.29,9930238
2024-01-17,267.22,10649774
2024-01-16,274.02,12507371
2024-01-15,272.42,9881531
2024-01-12,272.68,10048702
2024-01-11,271.8,24108269
2024-01-10,261.3,19849401
2024-01-09,259.09,10284498
2024-01-08,260.74,7890414
2024-01-05,267.09,12327980
2024-01-04,267.05,10745140
2024-01-03,263.11,22285124
2024-01-02,256.8,5803881
2024-01-01,258.56,6352734
2023-12-29,257.26,9136816
2023-12-28,256.68,15441735
2023-12-27,252.73,10673963
2023-12-26,261.51,12322864
2023-12-22,260.01,9677532
2023-12-21,253.9,10812029
2023-12-20,257.73,15309407
2023-12-19,262.68,17762921
2023-12-18,261.12,12388584
2023-12-15,257.41,17235864
2023-12-14,253.52,18271383
2023-12-13,252.58,15557190
2023-12-12,248.87,5675356
2023-12-11,247.18,5346227
2023-12-08,247.91,13224817
2023-12-07,248.66,6937185
2023-12-06,247.06,17430210
2023-12-05,242.44,10005319
2023-12-04,241.74,12552937
2023-12-01,238.37,9817732
2023-11-30,233.18,19036194
2023-11-29,233.66,7774049
2023-11-28,233.52,7469037
2023-11-24,233.46,3866099
2023-11-23,234.77,3977608
2023-11-22,236.81,5432510
2023-11-21,240.94,4018369
2023-11-20,239.83,4219360
2023-11-17,240.63,9273728
2023-11-16,237.81,6844037
2023-11-15,243.16,6420011
2023-11-13,242.61,4210127
2023-11-12,245.3,3439225
2023-11-10,242.18,17676902
2023-11-09,235.71,3824543
2023-11-08,237.77,5322427
2023-11-07,235.84,8362338
2023-11-06,233.16,7768055
2023-11-03,233.76,9794909
2023-11-02,227.3,7719938
2023-11-01,223.68,11714180
2023-10-31,216.46,3233237
2023-10-30,215.81,2745365
2023-10-27,215.54,4623399
2023-10-26,212.49,7706350
2023-10-25,217.59,6955789
2023-10-23,218.61,7384814
2023-10-20,225.05,5244069
2023-10-19,228.33,4657398
2023-10-18,230.52,5784720
2023-10-17,230.2,5064750
2023-10-16,229.44,10185425
2023-10-13,227.29,7221397
2023-10-12,226.42,7239091
2023-10-11,227.23,12216514
2023-10-10,220.94,5621177
2023-10-09,219.31,5142409
2023-10-06,222.41,5523734
2023-10-05,222.57,10155103
2023-10-04,225.5,15548752
2023-10-03,229.98,46754460
2023-09-29,219.01,27711678
2023-09-28,210.36,17396618
2023-09-27,211.28,35505658
2023-09-26,225.19,4392920
2023-09-25,224.93,4962618
2023-09-22,225.08,7322963
2023-09-21,227.61,11856688
2023-09-20,232.97,8778511
2023-09-18,236.88,4974748
2023-09-15,236.96,20035443
2023-09-14,236.41,8069630
2023-09-13,232.69,6192848
2023-09-12,234.14,10667079
2023-09-11,237.77,7148576
2023-09-08,238.23,6836165
2023-09-07,238.88,6429626
2023-09-06,242.89,10891500
2023-09-05,240.91,5648932
2023-09-04,240.61,14056203
2023-09-01,235.46,6220159
2023-08-31,233.66,11631767
2023-08-30,237.54,3960361
2023-08-29,237.74,4115948
2023-08-28,238.07,8338095
