DATE,VWAP,VOLUME
2024-01-25,472.58,6426490
2024-01-24,472.97,5854375
2024-01-23,477.07,9986168
2024-01-20,479.48,6045801
2024-01-19,487.18,7749310
2024-01-18,478.52,13072462
2024-01-17,483.21,14334466
2024-01-16,485.37,12956246
2024-01-15,504.57,63922132
2024-01-12,465.19,18043367
2024-01-11,451.39,4319409
2024-01-10,452.29,4437338
2024-01-09,456.18,7232524
2024-01-08,453.95,5041443
2024-01-05,458.35,8444565
2024-01-04,454.67,7585168
2024-01-03,458.42,9767182
2024-01-02,469.7,7141257
2024-01-01,477.34,10173639
2023-12-29,471.63,7980570
2023-12-28,471.54,8419978
2023-12-27,470.25,12631496
2023-12-26,466.73,27314322
2023-12-22,455.69,23040407
2023-12-21,433.27,5331504
2023-12-20,441.59,13224971
2023-12-19,439.32,8032347
2023-12-18,447.94,10091036
2023-12-15,444.43,20783617
2023-12-14,431.28,12340688
2023-12-13,418.87,4848408
2023-12-12,424.02,5951682
2023-12-11,420.33,5042121
2023-12-08,420.5,7739561
2023-12-07,418.75,5625276
2023-12-06,414.25,11041035
2023-12-05,404.44,5582684
2023-12-04,408.63,5331236
2023-12-01,408.45,4915213
2023-11-30,410.05,9912979
2023-11-29,405.24,7772043
2023-11-28,395.55,4072657
2023-11-24,398.14,3125283
2023-11-23,402.65,4838680
2023-11-22,400.78,2659291
2023-11-21,401.1,2720124
2023-11-20,399.28,4305248
2023-11-17,396.56,3943464
2023-11-16,395.6,6921788
2023-11-15,389.52,5396259
2023-11-13,381.07,1792951
2023-11-12,382.46,1011662
2023-11-10,378.54,5355350
2023-11-09,381.44,4615563
2023-11-08,383.2,3551026
2023-11-07,384.53,2846089
2023-11-06,384.95,2469968
2023-11-03,384.03,2645764
2023-11-02,383.61,2371365
2023-11-01,382.86,2120976
2023-10-31,381.65,3076768
2023-10-30,382.15,2344372
2023-10-27,382.23,3101406
2023-10-26,377.98,5497791
2023-10-25,383.88,3339147
2023-10-23,387.22,4418913
2023-10-20,393.33,4214668
2023-10-19,394.25,12814551
2023-10-18,409.96,2440533
2023-10-17,412.2,2989694
2023-10-16,410.0,2638826
2023-10-13,410.98,5457027
2023-10-12,418.19,5117199
2023-10-11,419.91,9546114
2023-10-10,407.33,2564007
2023-10-09,407.5,3015225
2023-10-06,408.13,3182502
2023-10-05,407.32,4062652
2023-10-04,402.85,3452935
2023-10-03,405.49,2864052
2023-09-29,405.07,6390136
2023-09-28,408.35,8438058
2023-09-27,413.64,3886997
2023-09-26,413.45,3240283
2023-09-25,415.19,4650566
2023-09-22,420.35,9909130
2023-09-21,427.56,4446535
2023-09-20,432.84,4551350
2023-09-18,437.38,3012598
2023-09-15,440.99,9917938
2023-09-14,438.52,7447505
2023-09-13,435.68,3722835
2023-09-12,435.47,7272664
2023-09-11,434.97,4126657
2023-09-08,430.93,2874205
2023-09-07,431.34,4661325
2023-09-06,429.42,6765956
2023-09-05,433.8,8986713
2023-09-04,427.34,13817324
2023-09-01,413.12,4238065
2023-08-31,408.26,11030976
2023-08-30,408.74,2009091
2023-08-29,409.17,1999281
2023-08-28,409.23,1700987
2023-08-25,409.68,3299255
2023-08-24,415.93,2888478
2023-08-23,416.1,3067117
