DATE,VWAP,VOLUME
2024-01-25,135.31,60682540
2024-01-24,133.67,54612769
2024-01-23,134.37,72520625
2024-01-20,135.04,25861344
2024-01-19,132.41,81155018
2024-01-18,125.57,111946831
2024-01-17,128.27,76780526
2024-01-16,133.44,47043428
2024-01-15,135.24,53570266
2024-01-12,139.33,45508277
2024-01-11,137.36,41809415
2024-01-10,134.14,29917881
2024-01-09,134.13,33803263
2024-01-08,131.62,38912423
2024-01-05,131.64,55608923
2024-01-04,128.74,45285624
2024-01-03,128.86,39101172
2024-01-02,127.69,69395959
2024-01-01,124.77,24228685
2023-12-29,124.13,27512604
2023-12-28,123.19,72865479
2023-12-27,126.64,21757560
2023-12-26,126.3,25499782
2023-12-22,128.74,63113800
2023-12-21,125.12,52326124
2023-12-20,127.12,49006056
2023-12-19,129.75,64117314
2023-12-18,126.86,89553155
2023-12-15,123.7,39542770
2023-12-14,123.6,74178495
2023-12-13,119.19,48092329
2023-12-12,117.1,40800538
2023-12-11,119.16,32372287
2023-12-08,121.33,44213196
2023-12-07,120.93,52483562
2023-12-06,117.8,48171753
2023-12-05,117.07,57483305
2023-12-04,117.08,66057180
2023-12-01,116.63,57261076
2023-11-30,118.44,225208168
2023-11-29,117.13,115274058
2023-11-28,114.78,61963724
2023-11-24,114.16,49980086
2023-11-23,113.73,56329090
2023-11-22,115.71,52799865
2023-11-21,117.26,45193553
2023-11-20,119.46,52784478
2023-11-17,123.22,43882213
2023-11-16,121.86,36895083
2023-11-15,122.48,60088818
2023-11-13,122.21,28348143
2023-11-12,123.22,10534365
2023-11-10,121.61,43388163
2023-11-09,123.31,50307832
2023-11-08,124.04,75041688
2023-11-07,123.16,120886007
2023-11-06,120.87,186288904
2023-11-03,114.09,238833377
2023-11-02,106.53,47086204
2023-11-01,105.18,47911258
2023-10-31,106.0,49382539
2023-10-30,107.19,48282252
2023-10-27,106.95,43738547
2023-10-26,104.19,108605538
2023-10-25,107.55,59685089
2023-10-23,110.79,70944550
2023-10-20,112.96,64427436
2023-10-19,112.25,43517012
2023-10-18,112.13,100553806
2023-10-17,112.96,55351894
2023-10-16,111.74,47455521
2023-10-13,110.95,55786063
2023-10-12,111.52,117710894
2023-10-11,108.4,93838782
2023-10-10,106.34,67712329
2023-10-09,103.51,53811658
2023-10-06,105.56,65041435
2023-10-05,105.02,140096809
2023-10-04,101.89,68727969
2023-10-03,103.84,82983688
2023-09-29,101.48,49524816
2023-09-28,99.85,25885383
2023-09-27,99.75,34894254
2023-09-26,99.66,36822528
2023-09-25,98.78,34410972
2023-09-22,99.76,39492725
2023-09-21,99.5,40591612
2023-09-20,100.97,104115507
2023-09-18,103.67,69476642
2023-09-15,102.68,148853172
2023-09-14,99.27,45226055
2023-09-13,98.58,71661116
2023-09-12,99.34,90911794
2023-09-11,101.18,83850675
2023-09-08,99.87,63482366
2023-09-07,100.23,111222776
2023-09-06,98.22,28329667
2023-09-05,98.17,51133944
2023-09-04,98.03,37447917
2023-09-01,97.34,47561928
2023-08-31,99.13,113063640
2023-08-30,99.07,250111714
2023-08-29,94.14,86708316
2023-08-28,92.93,141118441
2023-08-25,91.19,65076321
2023-08-24,94.11,47597101
2023-08-23,93.38,64768237
2023-08-22,92.94,104409241
2023-08-21,89.2,36755760
2023-08-18,90.09,50513070
2023-08-17,91.91,45657095
2023-08-16,93.18,76333138
2023-08-14,92.63,46668447
2023-08-11,93.71,38156809
2023-08-10,94.83,87598556
2023-08-09,93.27,109240947
2023-08-08,95.25,160236123
2023-08-07,99.88,249331637
2023-08-04,95.03,405751648
2023-08-03,85.16,123480816
2023-08-02,84.83,54844625
2023-08-01,84.97,34950470
2023-07-31,84.91,49093355
2023-07-28,85.91,74798625
2023-07-27,84.43,77249384
2023-07-26,83.52,59291226
2023-07-25,81.56,72459586
2023-07-24,81.63,64291285
2023-07-21,79.68,74991213
2023-07-20,78.12,40495235
2023-07-19,78.39,42130927
2023-07-18,78.31,71215775
2023-07-17,81.13,43377345
2023-07-14,82.83,91571303
2023-07-13,81.77,192605002
2023-07-12,77.94,64212629
2023-07-11,76.34,42946892
2023-07-10,74.69,33812208
2023-07-07,73.55,26599778
2023-07-06,74.81,24467816
2023-07-05,74.33,25459694
2023-07-04,75.25,24150257
2023-07-03,76.07,49243205
2023-06-30,74.93,49245376
2023-06-28,75.46,30574521
2023-06-27,76.16,59078137
2023-06-26,74.82,30411621
2023-06-23,74.2,51775728
2023-06-22,74.55,40419764
2023-06-21,75.76,31896510
2023-06-20,75.52,30591595
2023-06-19,76.12,62744981
2023-06-16,74.95,45783616
2023-06-15,75.05,93321136
2023-06-14,75.51,83186945
2023-06-13,78.07,81857154
2023-06-12,78.97,105388190
