DATE,VWAP,VOLUME
2024-01-25,2444.75,2364765
2024-01-24,2419.24,1551469
2024-01-23,2403.1,4369332
2024-01-20,2485.54,2467648
2024-01-19,2554.87,1323064
2024-01-18,2549.61,1273095
2024-01-17,2551.45,3047652
2024-01-16,2575.05,1599406
2024-01-15,2556.75,1391204
2024-01-12,2533.1,2979841
2024-01-11,2556.72,2399600
2024-01-10,2574.77,881278
2024-01-09,2581.97,1017205
2024-01-08,2579.15,1189828
2024-01-05,2617.84,1150738
2024-01-04,2603.3,1376844
2024-01-03,2611.68,1008270
2024-01-02,2620.25,1310629
2024-01-01,2649.64,526353
2023-12-29,2654.72,1305681
2023-12-28,2625.73,1635216
2023-12-27,2597.27,1073278
2023-12-26,2580.02,893776
2023-12-22,2568.92,1174984
2023-12-21,2560.42,1945695
2023-12-20,2558.72,1468642
2023-12-19,2556.88,1656220
